Massachusetts,マサチューセッツ州
Narragansett Park,ナラガンセットパーク競馬場
National Airlines Flight 967,ナショナル航空967便墜落事故
National Petroleum Reserve–Alaska,アラスカ国家石油保留地
Library Hotel,図書館ホテル
1980 Los Angeles Film Critics Association Awards,第6回ロサンゼルス映画批評家協会賞
2004 Los Angeles Film Critics Association Awards,第30回ロサンゼルス映画批評家協会賞
Los Angeles Airport Police,ロサンゼルス空港警察
Lucin Cutoff,ルーシン短絡線
Harry Reid International Airport Automated People Movers,マッカラン国際空港全自動ピープル・ムーバー
Maryland statistical areas,メリーランド州の都市圏の一覧
Memoirs v. Massachusetts,メモワール判決
Metropolitan Handicap,メトロポリタンハンデキャップ・(アメリカ合衆国)
Mickey's Not-So-Scary Halloween Party,ディズニー・ハロウィーン
Museum of Making Music,音楽制作博物館
National Society of Film Critics Award for Best Foreign Language Film,全米映画批評家協会賞・外国語作品賞
MARC Train,MARC・(鉄道)
New York statistical areas,ニューヨーク州の都市圏の一覧
Nexstar Media Group,ネクスター・メディア・グループ
Patheos,Patheos
PC LOAD LETTER,PC・LOAD・LETTER
Pawling station,ポーリング駅
Pearl Meister Greengard Prize,パール・マイスター・グリーンガード賞
Philipse Manor station,フィリップス・マナー駅
Phillie Phanatic,フィリー・ファナティック
Piano Row District,ピアノ・ロウ地区
Piedmont Airlines Flight 349,ピードモント航空349便墜落事故
Pimlico Special,ピムリコスペシャル
Pioneer Courthouse Square,パイオニア・コートハウス・スクウェア
Pleasantville station,プレザントビル駅
Pleasure Island (North Carolina),プレジャー島・(ノースカロライナ州)
Point State Park,ポイント州立公園
2006 Platte Canyon High School hostage crisis,プラットキャニオン高校人質事件
Parx Casino and Racing,パークスレーシング競馬場
Qualtrics,クアルトリクス
Reinhardt University,ラインハルト大学
"Midway, Hot Spring County, Arkansas",ミッドウェイ・(アーカンソー州ホットスプリング郡)
Miletich Fighting Systems,ミレティッチ・マーシャルアーツ・センター
Minority Business Development Agency,アメリカ合衆国商務省マイノリティ企業開発局
Modesto Nuts,モデスト・ナッツ
Mohegan Tribe,モヒガン族
Montgomery station (West Virginia),モンゴメリー駅
Montpelier station (Vermont),モントピリア駅
Spectrum News 1 North Carolina,Spectrum・News・1・North・Carolina
WJLA 24/7 News,WJLA・24/7・News
1990 Wayne County Airport runway collision,デトロイト空港衝突事故
North Central College,ノースセントラル・カレッジ
Northwest Airlink Flight 5719,ノースウエスト・エアリンク5719便墜落事故
Nuʻuanu Pali,ヌウアヌパリ・ルックアウト
Old Kona Airport State Recreation Area,旧コナ空港州立リクリエーションエリア
Olde English (sketch comedy),オールディ・イングリッシュ
Oldest McDonald's restaurant,最古のマクドナルド店舗
Pan Am Flight 7,パンアメリカン航空007便失踪事故
Panama Limited,パナマ・リミテッド
Parque Yldefonso Solá Morales,パルケ・イルデフォンソ・ソラ・モラレス
Norman station,ノーマン駅
Online Film Critics Society Awards 2011,第15回オンライン映画批評家協会賞
Port Jefferson Branch,ロングアイランド鉄道ポート・ジェファーソン支線
Port of Beaumont,ボーモント港
Pro Football Writers of America,プロフットボール記者協会
Ral Partha Enterprises,ラルパーサ
Reading Railers,レディング・レイラーズ
Red Clay Creek,レッド・クレイ・クリーク
Red Square (restaurant),赤の広場・(レストラン)
"Reed, Portland, Oregon",リード・(ポートランド)
Republic station,リパブリック駅・(LIRR)
Taiwan–United States relations,米台関係
AN/APG-83,AN/APG-83
Saco Transportation Center,ソコー・トランスポーテーション・センター
Salem Red Sox,セイラム・レッドソックス
San Francisco Film Critics Circle Awards 2003,第2回サンフランシスコ映画批評家協会賞
Second Battle of Ream's Station,第二次リーム駅の戦い
Second Battle of Sacket's Harbor,第二次サケッツ港の戦い
Sedona Airport,セドナ空港
Sempra,センプラ・エナジー
R.A.V. v. City of St. Paul,R.A.V.対セントポール市事件
RCA Studio B,RCAスタジオB
Richfield Oil Corporation,リッチフィールド石油
River Trail (Arizona),リバー・トレイル・(アリゾナ州)
Riverside station (Metro-North),リバーサイド駅・(コネチカット州)
Roberts Court,ロバーツ・コート
Rocketplane XP,ロケットプレーンXP
Russell %26 Company,ラッセル商会
Tulsa Riverside Airport,リチャード・ロイド・ジョーンズ・ジュニア空港
Wrights Lake,ライツ湖
Shimoda Conference,下田会議
S5G reactor,S5G・(原子炉)
Safari Books Online,Safari・Books・Online
STAR (interbank network),STAR・(ATMネットワーク)
ServiceNow,ServiceNow
Shepherd School of Music,シェパード音楽学校
Shibe Park,シャイブ・パーク
Sir Ivor,サーアイヴァー
Snug Harbor (jazz club),スナッグ・ハーバー
Sojourners,ソージャナーズ
South Bend station,サウスベンド駅
South Dakota statistical areas,サウスダコタ州の都市圏の一覧
South Side Park,サウス・サイド・パーク
Southern Pacific class AC-11,サザン・パシフィック鉄道AC-11形蒸気機関車
Southport station (Metro-North),サウスポート駅・(コネチカット州)
Southwestern Oregon Community College,サウスウェスタン・オレゴン・コミュニティ・カレッジ
Spendthrift (horse),スペンドスリフト
"Spring Township, Berks County, Pennsylvania",スプリング郡区・(ペンシルベニア州バークス郡)
Springfield station (Illinois),スプリングフィールド駅・(イリノイ州)
Spuyten Duyvil station,スパイテン・ダイヴィル駅
St. Albans station (Vermont),セント・オールバンズ駅・(アムトラック)
St. John River campaign,セントジョン川方面作戦
St. Johnsbury Academy,セントジョンズベリーアカデミー
St. Joseph station,セントジョセフ・ベントンハーバー駅
Stamford Transportation Center,スタンフォード駅・(コネチカット州)
Ronkonkoma station,ロンコンコマ駅
Sony Ericsson Xperia acro,Xperia・acro
Squarespace,Squarespace
U.S. Express,USエクスプレス
Sacahuista,サカウイスタ
"Saddleback (Orange County, California)",サドルバック・(カリフォルニア州オレンジ郡)
San Antonio Bay,サンアントニオ湾
San Bernardino train disaster,サンバーナーディーノ列車脱線事故
Santa Maria Stakes,サンタマリアハンデキャップ
Satterlee General Hospital,サタリー総合病院
SEA Underground,サテライト・トランジット・システム
Statements on Auditing Standards (United States),米国監査基準書
Staten Island Tunnel,スタテンアイランドトンネル
Stewart Manor station,スチュアート・マナー駅
Stretch Records,ストレッチ・レコード
"Stripe, Inc.",ストライプ・(企業)
Sugar Island (Michigan),シュガー島・(ミシガン州)
Super Bowl LI,第51回スーパーボウル
Supreme Committee for the Liberation of Lithuania,リトアニア解放最高委員会
Patrol Squadron 4 (United States Navy),第4哨戒飛行隊・(アメリカ海軍)
"Vernon Township, Humboldt County, Iowa",ヴァーノン郡区・(アイオワ州ハンボルト郡)
William Street (Manhattan),ウィリアム・ストリート・(マンハッタン)
Wilmington Blue Rocks,ウィルミントン・ブルーロックス
Wilmington/Newark Line,ウィルミントン/ニューアーク線
Windsor Locks station,ウィンザー・ロックス駅
Wyss Institute for Biologically Inspired Engineering,ヴィース研究所
Yale Golf Course,エール大学ゴルフコース
Yari Film Group,ヤーリ・フィルム・グループ
Yazoo Brewing Company,ヤズー・ブリューイング・カンパニー
World Airways Flight 30,ワールド・エアウェイズ30H便大破事故
Grammy Museum at L.A. Live,グラミー・ミュージアム
Hollywood Blonds,ハリウッド・ブロンズ
Third Avenue Bridge (New York City),3番街橋
Air Indiana Flight 216,エア・インディアナ216便墜落事故
List of ambassadors of the United States to the Philippines,在フィリピンアメリカ合衆国大使
U.S.–Japan Status of Forces Agreement,日米地位協定
"Ultrasonic Studios, New Orleans",ウルトラソニック・スタジオ
United States Army Aviation Center of Excellence,アメリカ陸軍航空教育研究センター
United States Army Band,アメリカ陸軍軍楽隊
United States declaration of war on Germany (1917),アメリカ合衆国の対独宣戦布告・(1917年)
United States declaration of war on Germany (1941),アメリカ合衆国の対独宣戦布告・(1941年)
United States District Court for the Eastern District of Texas,テキサス州東部地区連邦地方裁判所
United States House of Representatives House Resolution 121,アメリカ合衆国下院121号決議
United States Sports Academy,アメリカ合衆国スポーツアカデミー
United Streetcar,ユナイテッド・ストリートカー
Unocal Corp. v. Mesa Petroleum Co.,ユノカル対メサ・ペトロリアム事件
USS Pickerel (SS-177),ピカーレル・(SS-177)
USS Pollack (SS-180),ポラック・(潜水艦)
USS Stingray (SS-186),スティングレイ・(潜水艦)
USS Tarpon (SS-175),ターポン・(潜水艦)
USS Walrus (SS-437),ウォルラス・(SS-437)
Utah Transit Authority,ユタ・トランジット・オーソリティー
USS Toro,トロ・(潜水艦)
Toyota Technological Institute at Chicago,豊田工業大学シカゴ校
VIA 57 West,VIA・57・ウエスト
WETA-TV,WETA-TV
WLFL,WLFL
WMBC-TV,WMBC-TV
WMC-TV,WMC-TV
WRC-TV,WRC-TV
WRMF,WRMF
Ybor City Museum State Park,イーボー・シティ・ミュージアム州立公園
Yemassee station,イェマシー駅
Strikeforce: Los Angeles,Strikeforce:・Los・Angeles
Strikeforce: Shamrock vs. Baroni,Strikeforce:・Shamrock・vs.・Baroni
Blaze Media,ブレイズ・メディア
New York Comic Con,ニューヨーク・コミコン
Tableau Software,タブローソフトウェア
Tarrytown station,タリータウン駅
Tennessee Tech,テネシー工科大学
Texas School for the Deaf,テキサスろう学校
The Coyote (mascot),ザ・コヨーテ
United States-Hong Kong Policy Act,米国-香港政策法
VP-9,第9哨戒飛行隊・(アメリカ海軍)
X Corps (Union Army),第10軍団・(北軍)
USS C-2,C-2・(潜水艦)
USS C-3,C-3・(潜水艦)
Charleston Dirty Birds,チャールストン・ダーティーバーズ
Madison Stakes,マディソンステークス
Vosburgh Stakes,ヴォスバーグステークス
Wahweap Formation,ワーウィープ累層
Waikoloa Beach,ワイコロア・ビーチ
Wakefield station (Metro-North),ウェイクフィールド駅・(ニューヨーク州)
Walker tariff,ウォーカー関税
War Emblem,ウォーエンブレム
Wassaic station,ワセイク駅
Weatherhead East Asian Institute,ウェザーヘッド東アジア研究所
Weizmann Women %26 Science Award,ワイツマン女性科学賞
Westinghouse J30,ウェスティングハウス・J30
Zondervan,ゾンダーヴァン
