Silbo gomero,シルボ
International Champions Cup 2013,インターナショナル・チャンピオンズ・カップ・2013
Traje de buceo,潜水服
Dictadura de Francisco Franco,フランコ体制下のスペイン
Canaryfly,カナリーフライ
Final del Grand Prix de patinaje artístico sobre hielo 2014-2015,2014/2015・ISUグランプリファイナル
Primera División de España 2014-15,リーガ・エスパニョーラ2014-2015
Zorrozaurre,ソロサウレ
Copa Mundial de Fútbol de 2030,2030・FIFAワールドカップ
CARTO,CartoDB
Anexo:Torneo Conde de Godó 2014 (individual masculino),2014年バルセロナ・オープン・バンコ・サバデル男子シングルス
Anexo:Masters de Madrid 2014 (individual masculino),2014年ムチュア・マドリード・オープン男子シングルス
Esponsorama Racing,エスポンソラマ・レーシング
Arte mudéjar,ムデハル様式
Primera División de España 2015-16,リーガ・エスパニョーラ2015-2016
Reinado de Fernando VII de España,フェルナンド7世治世下のスペイン
Sidra del País Vasco,サガルド
Zárate (apellido),サラテ
Amazon Locker,Amazonロッカー
Anexo:Temporada 2014-15 del Club Atlético de Madrid,2014-15・アトレティコ・マドリード
Anexo:Trayectoria de la Unión Deportiva Almería,UDアルメリアの年度別成績一覧
Club Balonmano Puente Genil,クルブ・バロンマーノ・プエンテ・ヘニル
Roscón de Reyes,ロスカ・デ・レジェス
Airbus Defence and Space,エアバス・ディフェンス・アンド・スペース
Vuelta a España 2014,ブエルタ・ア・エスパーニャ2014
Vox (partido político),Vox・(スペインの政党)
Selección de fútbol de Madrid,サッカーマドリード州代表
El Museo Universal,エル・ムセオ・ウニベルサル
Rakuten TV,Rakuten・TV
Elecciones al Parlamento de Cataluña de 2015,2015年カタルーニャ自治州議会選挙
Manos de cerdo,豚足
Premios Feroz,フェロス賞
Liga Europa de la UEFA 2015-16,UEFAヨーロッパリーグ・2015-16
La Ilustración (revista),ラ・イルスタシオン
Diada de Sant Jordi,サン・ジョルディの日
Barcelona en Comú,バルサローナ・アン・クムー
Vuelta a España 2015,ブエルタ・ア・エスパーニャ2015
Cuartel General Terrestre de Alta Disponibilidad (España),北大西洋条約機構スペイン緊急展開軍団
Premios Nacionales del Deporte,スポーツ国民賞
Grupo familiar ante un paisaje,風景の中の家族
España en los Juegos Olímpicos de Río de Janeiro 2016,2016年リオデジャネイロオリンピックのスペイン選手団
Plus Ultra Líneas Aéreas,プラス・ウルトラ航空
Ticketbis,Ticketbis
Festival Internacional de Cine de Madrid,マドリード国際映画祭
Copa Mundial de Baloncesto Femenino de 2018,2018年FIBA女子バスケットボール・ワールドカップ
Proceso participativo sobre el futuro político de Cataluña de 2014,2014年カタルーニャ独立住民投票
Anexo:Gran Premio de España de 2015,2015年スペイングランプリ
Aena,Aena
Torneo Conde de Godó 2015,2015年バルセロナ・オープン・バンコ・サバデル男子シングルス
Ahora Madrid,アオーラ・マドリード
Club Deportivo Ibaeta,CDイバエタ
Retrato de un hombre robusto,太った男性の肖像
Tour de Francia 2016,ツール・ド・フランス2016
Final del Grand Prix de patinaje artístico sobre hielo 2015-2016,2015/2016・ISUグランプリファイナル
Batalla del cabo Finisterre (1761),フィニステレ岬の海戦・(1761年)
Marea Atlántica,マレーア・アトランティカ
Aeropuerto de Valencia,バレンシア空港
Conflicto entre Uber y los taxistas,国別のライドシェア会社の合法性
Gernika KESB,ゲルニカKESB
Unionistas de Salamanca Club de Fútbol,ウニオニスタス・デ・サラマンカCF
Catalunya Sí que es Pot,カタルーニャ・シ・カ・アス・ポット
Payá Hermanos,Payá・Hermanos
Campo de O'Donnell,カンポ・デ・オドンネル
Junts pel Sí,ジュンツ・パル・シ
Vuelta a España 2016,ブエルタ・ア・エスパーニャ2016
Girona Fútbol Club "B",ジローナFC・B
Club Baloncesto San Pablo Burgos,CBミラフローレス
Estadio Municipal de La Albuera,エスタディオ・ムニシパル・デ・ラ・アルブエラ
Unidad Popular (España),人民連合・(スペイン)
Araski AES,アラスキAES
En Comú Podem,アン・クムー・プデム
Democracia y Libertad,民主主義と自由
Casa de Saboya-Aosta,サヴォイア＝アオスタ家
Ataques corsarios a Fuerteventura en 1740,フエルテベントゥラ島襲撃
SEAT Ateca,セアト・アテカ
Primera División de España 2016-17,リーガ・エスパニョーラ2016-2017
Tenis en España,スペインのテニス
En Marea,エン・マレーア
Elecciones generales de España de 2016,2016年スペイン総選挙
Parques nacionales de España,スペインの国立公園の一覧
Anexo:Gran Premio de España de 2016,2016年スペイングランプリ
Parque Yamaguchi,ヤマグチ公園
Relaciones España-Kazajistán,カザフスタンとスペインの関係
Primera División de España 2017-18,リーガ・エスパニョーラ2017-2018
Unidas Podemos,ウニダス・ポデモス
Cabify,Cabify
Selección juvenil de rugby de España,U-20ラグビースペイン代表
Elecciones a las Cortes Valencianas de 2019,2019年バレンシア州議会選挙
Clasificación de Asia para los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのサッカー競技・アジア予選
Vuelta a España 2017,ブエルタ・ア・エスパーニャ2017
Referéndum de independencia de Cataluña de 2017,2017年カタルーニャ独立住民投票
Segundo gobierno de Mariano Rajoy,第2次ラホイ内閣
Relaciones España-Guinea,ギニアとスペインの関係
Sitio de Badajoz (1705),バダホス包囲戦・(1705年)
Paisaje con las tentaciones de San Antonio,聖アントニウスの誘惑のある風景・(クロード・ロラン)
SEAT Arona,セアト・アローナ
Anexo:Trayectoria del Club Atlético de Madrid,アトレティコ・マドリードの年度別成績一覧
Mad Cool,マッド・クール
Universidad Católica de Murcia Club de Fútbol "B",UCAMムルシアCF・B
Tour de Francia 2018,ツール・ド・フランス2018
Estadio Johan Cruyff,エスタディ・ヨハン・クライフ
Final de la Liga de Campeones de la UEFA 2018-19,UEFAチャンピオンズリーグ・2018-19・決勝
Level,レベル・(航空会社)
Copa del Rey de fútbol 2017-18,コパ・デル・レイ2017-2018
Partido de Liga de Campeones de la UEFA entre F. C. Barcelona y París Saint-Germain (vuelta de octavos de 2017),カンプ・ノウの奇跡・(2017年)
Segunda División B de España 2017-18,セグンダ・ディビシオンB2017-2018
Segunda División de España 2017-18,セグンダ・ディビシオン2017-2018
Anexo:Gran Premio de España de 2017,2017年スペイングランプリ
Museo del Bonsái (Villagonzalo Pedernales),盆栽博物館・(ブルゴス県)
España en los Juegos Olímpicos de Pyeongchang 2018,2018年平昌オリンピックのスペイン選手団
SEAT Tarraco,セアト・タラッコ
Unión Deportiva Ibiza,UDイビサ
Atentados de Cataluña de 2017,2017年バルセロナテロ攻撃事件
Operación Anubis,アヌビス作戦
Declaración unilateral de independencia de Cataluña de 2017,カタルーニャ独立宣言
España en los Juegos Olímpicos de Pekín 2022,2022年北京オリンピックのスペイン選手団
España en los Juegos Olímpicos de Tokio 2020,2020年東京オリンピックのスペイン選手団
Embajada de Japón en España,在スペイン日本国大使館
Tabarnia,タバルニア
Junts per Catalunya (coalición),ジュンツ・パル・カタルーニャ
Copa del Rey de fútbol 2018-19,コパ・デル・レイ2018-2019
Anexo:Gran Premio de España de 2018,2018年スペイングランプリ
Elecciones generales de España de abril de 2019,2019年4月スペイン総選挙
San Francisco (1586),サン・フランシスコ・(ガレオン)
Fun %26 Serious Game Festival,Fun・%26・Serious・Game・Festival
Primera División de España 2018-19,リーガ・エスパニョーラ2018-2019
Vuelta a España 2018,ブエルタ・ア・エスパーニャ2018
Elecciones al Parlamento de Cataluña de 2021,2021年カタルーニャ自治州議会選挙
Base de Hidroaviones del Atalayón,エル・アタラヨン水上機基地
Segunda División de España 2018-19,セグンダ・ディビシオン2018-2019
Primer gobierno de Pedro Sánchez,第1次サンチェス内閣
Casa de Mendoza,メンドーザ家
Una esclava en venta,販売中の奴隷の少女
Temporada 1996 del Campeonato de España de Superturismos,1996年のスペインツーリングカー選手権
Temporada 1995 del Campeonato de España de Superturismos,1995年のスペインツーリングカー選手権
Copa del Rey de fútbol 2019-20,コパ・デル・レイ2019-2020
Vuelta a España 2019,ブエルタ・ア・エスパーニャ2019
Anexo:Final de la Copa Libertadores 2018,コパ・リベルタドーレス2018・決勝
Extinction Rebellion,エクスティンクション・レベリオン
Pote,ピプキン
Vuelta a España 2020,ブエルタ・ア・エスパーニャ2020
Conferencia de las Naciones Unidas sobre el Cambio Climático de 2019,第25回気候変動枠組条約締約国会議
Campeonato Mundial de Bádminton de 2021,2021年世界バドミントン選手権大会
Primera División de España 2019-20,リーガ・エスパニョーラ2019-2020
Lechazo,乳飲み子羊
Casajús,カサフス
Anexo:Gran Premio de España de 2019,2019年スペイングランプリ
Segunda División de España 2019-20,セグンダ・ディビシオン2019-2020
Elecciones generales de España de noviembre de 2019,2019年11月スペイン総選挙
Laboratorios Rovi,ラボラトリ・ファーマシューティカル・ロビ
Anexo:Gran Premio de España de 2020,2020年スペイングランプリ
Elecciones al Parlamento Europeo de 2024,2024年欧州議会議員選挙
Córdoba CF Futsal,コルドバCFフットサル
Primera División de España 2020-21,リーガ・エスパニョーラ2020-2021
Elecciones a la Asamblea de Madrid de 2021,2021年マドリード自治州議会選挙
Pandemia de COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
Pandemia de COVID-19 en España,スペインにおける2019年コロナウイルス感染症の流行状況
Segundo gobierno de Pedro Sánchez,第2次サンチェス内閣
Elecciones generales de España de 2023,2023年スペイン総選挙
Pandemia de COVID-19 en Europa,ヨーロッパにおける2019年コロナウイルス感染症の流行状況
Toro Jubilo de Medinaceli,トロ・フビロ
Final de la Liga Europa de la UEFA 2021-22,UEFAヨーロッパリーグ・2021-22・決勝
Anexo:Temporada 2020-21 del Club Atlético de Madrid,2020-21・アトレティコ・マドリード
Real Madrid Club de Fútbol (femenino),レアル・マドリード・フェメニーノ
Segunda División de España 2020-21,セグンダ・ディビシオン2020-2021
Torre de la Calahorra (Córdoba),カラオーラの塔
Vuelta a España 2021,ブエルタ・ア・エスパーニャ2021
Segunda Federación,セグンダ・フェデラシオン
Tercera Federación,テルセーラ・フェデラシオン
European League of Football,ヨーロピアン・リーグ・オブ・フットボール
Primera Federación,プリメーラ・フェデラシオン
Primera División de España 2021-22,リーガ・エスパニョーラ2021-2022
Anexo:Gran Premio de España de 2021,2021年スペイングランプリ
Segunda División de España 2021-22,セグンダ・ディビシオン2021-2022
Primera División RFEF 2021-22,プリメーラ・ディビシオンRFEF・2021-22
Anexo:Temporada 2021-22 del Club Atlético de Madrid,2021-22・アトレティコ・マドリード
Tour de Francia 2023,ツール・ド・フランス2023
Gran Premio de España de Motociclismo de 2021,2021年のスペイングランプリ・(ロードレース)
Gran Premio de Cataluña de Motociclismo de 2021,2021年のカタルーニャグランプリ
Vuelta a España 2022,ブエルタ・ア・エスパーニャ2022
Castilla y León Iberians,カスティーリャ・イ・レオン・イベリアンス
Gran Premio de Aragón de Motociclismo de 2021,2021年のアラゴングランプリ
Gran Premio de la Comunidad Valenciana de 2021,2021年のバレンシアグランプリ
Gran Premio de España de Motociclismo de 2022,2022年のスペイングランプリ・(ロードレース)
Gran Premio de Aragón de Motociclismo de 2022,2022年のアラゴングランプリ
Primera División de España 2022-23,リーガ・エスパニョーラ2022-2023
Gran Premio de la Comunidad Valenciana de 2022,2022年のバレンシアグランプリ
Anexo:Gran Premio de España de 2022,2022年スペイングランプリ
España en la Copa Mundial de Fútbol de 2022,2022・FIFAワールドカップスペイン代表
Colegio Japonés de Barcelona,バルセロナ日本人学校
Hepatitis aguda grave de causa desconocida en niños,2022年原因不明の小児肝炎
Brote de mpox de 2022-2023,2022年のエムポックス流行
Sumar (coalición),スマール
Segunda División de España 2022-23,セグンダ・ディビシオン2022-2023
Anexo:Temporada 2022-23 del Club Atlético de Madrid,2022-23・アトレティコ・マドリード
Anexo:Gran Premio de España de 2023,2023年スペイングランプリ
Gran Premio de Cataluña de Motociclismo de 2023,2023年のカタルーニャグランプリ
