Hebe Camargo,赫柏·卡马戈
Andy Gercker,安迪·格克
Assucena Assucena,阿苏塞纳·阿苏塞纳
Raquel Virgínia,拉奎尔·弗吉尼亚
Guilherme Held,吉尔赫姆·赫德
Rafael Dragaud,拉斐尔·德拉戈
Arthur,阿图尔
Vanderlan,范德兰·巴博萨·达席尔瓦
Manaira Carneiro,马奈拉·卡尔内罗
Avelar Love,阿维拉尔·勒沃
Selvagem Big Abreu,布边·比格·阿布鲁
Janja Lula da Silva,罗桑杰拉·卢拉·达席尔瓦
Vinicius Leonel,维尼修斯·莱昂内尔
Eduardo Riedel,愛德華多·里德爾
Inah Canabarro Lucas,伊娜·卡納巴羅·盧卡斯
João Lucas Reis da Silva,若昂·卢卡斯·雷斯·达席尔瓦
Pedro Boscardin Dias,佩德罗·博斯卡丁·迪亚斯
Getúlio Vargas Filho,热图利奥·瓦加斯.小
Maria Brechane,玛丽亚·布雷坎
Erenice Lohan,埃伦尼斯·罗汉
Deivid Washington,戴維治·華盛頓
Lucas Beraldo,卢卡斯·贝拉尔多
Jeffinho,杰斐逊·阮·佩雷拉·多斯·桑托斯
Emerson Caperbat,埃默生·卡佩巴特
Darcy Cazarré,达西·卡扎雷
Bel Kowarick,贝尔·科瓦里克
Rikelme,里克尔梅
Rômulo Azevedo Simão,罗穆洛
Eduardo Bartolomeo,柏安铎
Bruno Campos,布魯諾·坎波斯
Pedro Clerot,佩德罗·克莱罗特
Bruno Tálamo,布鲁诺-塔拉莫
Mateusinho,马特乌西尼奥
Alexsander,亚历山大
Amaury Lorenzo,阿莫里·勞倫佐
