Diego Velázquez,ディエゴ・ベラスケス
Ander Guevara,アンデル・ゲバラ
Sergio González Testón,セルジ・ゴンサレス
Augusto Fernández (motociclista),アウグスト・フェルナンデス・(オートバイレーサー)
Mateu Morey,マテウ・モレイ
Fernando López Miras,フェルナンド・ロペス・ミラス
Fernando Calero,フェルナンド・カレロ
Gaizka Campos,ガイスカ・カンポス
Raúl Guti,ラウール・グティ
Gonzalo Ortiz Díez-Tortosa,ゴンサロ・オルティス・ディエス＝トルトサ
Rodrygo Goes,ロドリゴ・シウバ・デ・ゴエス
Antonio Moya Vega,トニ・モジャ
Oriol Busquets,オリオル・ブスケツ
Darío Poveda,ダリオ・ポベダ
Hugo Duro,ウーゴ・ドゥロ
Dani Raba,ダニ・ラバ
Enrique Barja,キケ・バルハ
Juan Miranda González,フアン・ミランダ・ゴンサレス
Pedro Díaz Fanjul,ペドロ・ディアス
Nuria Párrizas,ヌリア・パリサス・ディアス
Sergio Arenas,セルヒオ・アレナス
Saúl Coco,サウール・ココ
Eduardo Expósito Jaén,エドゥ・エスポジト
Hugo Guillamón,ウーゴ・ギジャモン
Javier Fernández Hernández (futbolista),ハビエル・フェルナンデス・エルナンデス
Kike Pérez (futbolista),キケ・ペレス
Dani Martín Fernández,ダニエル・マルティン・フェルナンデス
Sergio Gómez Martín,セルヒオ・ゴメス
Víctor Chust,ビクトル・チュスト
César Gelabert,セサル・ヘラベルト
Juan Berrocal González,フアン・ベロカル
Nacho Méndez (futbolista),ナチョ・メンデス
Moha Traoré,モハメド・トラオレ・(1994年生のサッカー選手)
Josh Peters,ジョシュ・ペーターズ
Andoni Gorosabel,アンドニ・ゴロサベル
Brais Méndez,ブライス・メンデス
Alejandro Davidovich Fokina,アレハンドロ・ダビドビッチ・フォキナ
Amaia Romero,アマイア・ロメロ
Pol Valentín Sancho,ポル・バレンティン
Pau Torres,パウ・トーレス
Manu Morlanes,マヌ・モルラネス
Sergio González Poirrier,セルヒオ・ゴンサレス・ポイリエル
Eugenia Osterberger,エウヘニア・オステルベルヘル
Aitor Arregi Galdos,アイトル・アレギ
José Carlos Lazo,ホセ・カルロス・ラソ
Joana Pastrana,ジョアナ・パストラーナ
Álvaro Aguado,アルバロ・アグアド
Martí Vigo del Arco,マルティ・ビーゴ・デル・アルコ
Pedro Porro,ペドロ・ポロ
Ramón Rodríguez Jiménez,モンチュ・(サッカー選手)
Paolo Fernandes,パオロ・フェルナンデス
Martín Aguirregabiria,マルティン・アギーレガビリア
Ferran Torres,フェラン・トーレス
Junior Firpo,ジュニオル・フィルポ
Lluís López Mármol,ジュイス・ロペス
Angelo Chol,アンジェロ・チョル
Iñigo Vicente,イニゴ・ビセンテ
Peru Nolaskoain,ペル・ノラスコアイン
Josep Maria Abella Batlle,ヨゼフ・アベイヤ
Tatxo Benet,ジョゼップ・マリア・ベネ・フェラン
Álex Pina,アレックス・ピナ
Carlos Isaac,カルロス・イサーク
Chris Ramos,クリス・ラモス
Patxi Xabier Lezama,パクシ・レザマ
Riqui Puig,リキ・プッチ
Teresa Ribera,テレサ・リベラ
Pilar Llop,ピラール・リョップ
Fran Gámez,フラン・ガメス
Luis Milla Manzanares,ルイス・ミジャ・マンサナレス
Waldo Rubio,ワルド・ルビオ
Aitor Ruibal,アイトール・ルイバル
Pablo Martínez Andrés,パブロ・マルティネス・アンドレス
Ángela Ponce,アンヘラ・ポンセ
Mujaid,ムハイド・サディク
Félix Sánchez Bas,フェリックス・サンチェス・バス
Juan Cruz Díaz Espósito,フアン・クルス・ディアス・エスポーシト
Bernabé Zapata Miralles,ベルナベ・サパタ・ミラジェス
Dolores Delgado,ドローレス・デルガド
Reyes Maroto,レジェス・マロト
Pedro Martínez Portero,ペドロ・マルティネス・(テニス選手)
Alejandro Catena Marugán,アレハンドロ・カテナ
José Corpas Serna,ホセ・コルパス
Gonzalo Villar,ゴンサロ・ビジャール・デル・フライレ
Álex Collado,アレックス・コリャード
Loren Morón García,ロレンソ・モロン・ガルシア
Pol Lozano,ポル・ロサーノ
Miguel Ángel Rubio Lestan,ミゲル・アンヘル・ルビオ・レスタン
Alejandro López Moreno,アレックス・ロペス
Pejiño,フランシスコ・ヘスス・クレスポ・ガルシア
Isabel Díaz Ayuso,イサベル・ディアス・アジュソ
Nikoloz Sherazadishvili,ニコロス・シェラザディシビリ
Joaquín Muñoz Benavides,ホアキン・ムニョス・ベナビデス
Álex Blanco,アレックス・ブランコ
Miguel Ángel Morro,ミゲル・モロ
Roberto López Alcaide,ロベルト・ロペス・アルカイデ
Javier Sánchez de Felipe,ハビ・サンチェス
Ander Barrenetxea Muguruza,アンデル・バレネチェア
Eric García,エリク・ガルシア・マルトレット
Gonzalo Ávila Gordón,ゴンサロ・アビラ・ゴルドン
Andrés Martín García,アンドレス・マルティン・ガルシア
Javier Hernández Carrera,ハビエル・エルナンデス・カレーラ
José Alberto López,ホセ・アルベルト・ロペス
Iván Martos Campillo,イバン・マルトス
Iván Jaime Pajuelo,イバン・ハイメ
Carolina Ceca,カロリーナ・セカ
Robert Navarro,ロベルト・ナバーロ
Borja Garcés Moreno,ボルハ・ガルセス
María Teresa de Borbón-Parma,マリア・テレサ・デ・ボルボン＝パルマ
Robert Sánchez,ロベルト・サンチェス
Javi Puado,ハビ・プアド
Juan Manuel Pérez Ruiz,フアン・マヌエル・ペレス・ルイス
Luis Rioja González,ルイス・リオハ
Óscar Gil Regaño,オスカル・ヒル
Óscar Valentín,オスカル・バレンティン・マルティン
Adrián Bernabé,アドリアン・ベルナベ
Alberto Soro,アルベルト・ソロ
Celia Barquín,セリア・バルキン
Manu Vallejo,マヌ・バジェホ
Aihen Muñoz,アイヘン・ムニョス
Bruno Guimarães,ブルーノ・ギマランイス・ホドリゲス・モウラ
Chumi,フアン・ブランダリス・モビージャ
Rodrigo Zalazar,ロドリゴ・サラサール
Jairo Quinteros,ハイロ・キンテロス
Sergio Moreno Martínez,セルヒオ・モレノ・マルティネス
Adrià Pedrosa,アドリア・ペドロサ
Valery Fernández Estrada,バレリー・フェルナンデス
Ricardo Requejo Retegui,リカルド・レケホ
Enric Gallego,エンリク・ガジェゴ
Miguel de la Fuente Escudero,ミゲル・デ・ラ・フエンテ
Usman Garuba,ウスマン・ガルバ
Javier Avilés,ハビエル・アビレス
Iván Martín Núñez,イバン・マルティン
Salma Paralluelo,サルマ・パラジュエロ
Eric Curbelo,エリック・クルベロ
Dani Vivian,ダニエル・ビビアン
Salva Ferrer,サルバ・フェレール
Francisco Javier Montero Rubio,フランシスコ・モンテーロ
Álex Sola,アレックス・ソラ
Cameron Puertas,カメロン・プエルタス
Jesús Reina,ヘスス・レイナ
Roberto González Bayón,ロベルト・ゴンサレス・バヨン
Víctor Mollejo,ビクトル・モジェホ
Bryan Gil,ブライアン・ヒル・サルバティエラ
Takeshi Motomiya,本宮健史
Javier Díaz Sánchez,ハビ・ディアス
Sergio Camello,セルヒオ・カメージョ
Thierry Futeu,ティエリー・フェウテウ
Jesús Areso,ヘスス・アレソ
Joel Álvarez,ヨエル・アルバレス
Pablo Moreno,パブロ・モレノ
Martín Zubimendi,マルティン・スビメンディ
Josep Martínez,ジョゼップ・マルティネス
Ilaix Moriba,イライクス・モリバ
Pedro Ortiz Bernat,ペドロ・オルティス
Álex Suárez,アレックス・スアレス
José Gragera Amado,ホセ・グラゲラ
Sergi Cardona,セルジ・カルドナ
Kirian Rodríguez,キリアン・ロドリゲス
Robert Moreno,ロベルト・モレノ・ゴンサレス
José Ignacio Fernández García,ホセ・イグナシオ・フェルナンデス・ガルシア
Borja Sainz,ボルハ・サインス
Ansu Fati,アンス・ファティ
Jaume Grau Ciscar,ハウメ・グラウ
Javier Martínez Calvo,ハビエル・マルティネス・カルボ
Ataúlfo de Orleans,アタウルフォ・デ・オルレアンス
Enric Franquesa,エンリク・フランケサ
Francisco Javier Hidalgo Gómez,フランシスコ・ハビエル・イダルゴ・ゴメス
Ainhoa Fernández,アイノア・フェルナンデス
Enrique Clemente Maza,エンリケ・クレメンテ
Cristian Rodríguez Pérez,クリスティアン・ロドリゲス・ペレス
Carlos Neva,カルロス・ネバ
Aimar Oroz,アイマル・オロス
Esty Quesada,エスティ・ケサダ
Salvador Illa,サルバドール・イジャ
Rodrigo Riquelme Reche,ロドリゴ・リケルメ
Jorge de Frutos Sebastián,ホルヘ・デ・フルートス
Alberto Rodríguez Baró,アルベルト・ロドリゲス・(1997年生のサッカー選手)
Rubén López Huesca,ルベン・ロペス・ウエスカ
Alberto Ginés,アルベルト・ヒネス・ロペス
José Manuel Albares,ホセ・マヌエル・アルバレス
Jorge Azcón,ホルヘ・アスコン
Miguel San Román Ferrándiz,ミゲル・サン・ロマン
Miguel Ángel Ramírez Medina,ミゲル・アンヘル・ラミレス
Raúl García de Haro,ラウール・ガルシア・デ・アーロ
Pedri,ペドロ・ゴンサレス・ロペス
Daniel Gómez Alcón,ダニ・ゴメス
Jon Moncayola,ホン・モンカヨラ
Martín Pascual Castillo,マルティン・パスクアル
Sergio Ruiz Alonso,セルヒオ・ルイス
Fran Navarro,フラン・ナバーロ
Vicente Esquerdo,ビセンテ・エスケルド
Iñaki Peña,イニャキ・ペーニャ
Andoni Zubiaurre,アンドニ・スビアウレ
Nico Melamed,ニコ・メラメド
Oihan Sancet,オイアン・サンセト
Antonio Sánchez Navarro,アントニオ・サンチェス・ナバーロ
Santi Aldama Toledo,サンティ・アルダマ
Álvaro Valles,アルバロ・バジェス
Álex Centelles,アレックス・センテジェス
Lorenzo José González,ロレンソ・ホセ・ゴンサレス・モンテスデオカ
Ai Tsunoda,アイ・ツノダ・ロウスタント
Víctor Gómez Perea,ビクトル・ゴメス
Manuel Sánchez de la Peña,マヌ・サンチェス
Alejandro Francés,アレハンドロ・フランセス
Ricard Sánchez,リカール・サンチェス
José Fontán,ホセ・フォンタン
Manu Hernando,マヌ・エルナンド
Edgar González Estrada,エドガル・ゴンサレス
Miguel Atienza,ミゲル・アティエンサ
Germán Valera,ヘルマン・バレラ
Iván Martínez Gonzálvez,イバン・バルベロ
Maria Branyas Morera,マリア・ブラニャス・モレラ
Javier López Carballo,ハビエル・ロペス・カルバージョ
Arnau Tenas,アルナウ・テナス
Carlos Alcaraz,カルロス・アルカラス
Unai Vencedor,ウナイ・ベンセドール
Belén García,ベレン・ガルシア
Rafael Gómez Nieto,ラファエル・ゴメス・ニエト
Antoñín,アントニオ・コルテス・エレディア
A-Kid,カルロス・ルイス・(プロレスラー)
Óscar Clemente,オスカル・クレメンテ
Kike Saverio,キケ・サベリオ
José Pinós i Comes,ホセ・ピノス・イ・コメス
Fer Niño,フェルナンド・ニーニョ
Miguel Gutiérrez Ortega,ミゲル・グティエレス・オルテガ
Saturnino de la Fuente García,サトゥルニノ・デ・ラ・フエンテ・ガルシア
Joan Femenías,ホアン・フェメニアス
Ismael Saibari,イスマエル・サイバリ
Jon Pacheco,ジョン・パチェコ
Cristian Rivero Sabater,クリスティアン・リベロ
Alfonso Pastor Vacas,アルフォンソ・パストール
Ilia Topuria,イリア・トプリア
Miguel Baeza,ミゲル・バエサ
Pilar Palomero,ピラール・パロメロ
Diego Fuoli,ディエゴ・フオーリ
Martín Calderón,マルティン・カルデロン
Marvin Park,マルビン・パーク
Joan Monterde,ホアン・モンテルデ
Daniel Poyatos Algaba,ダニエル・ポヤトス
Raúl Moro,ラウール・モロ
Diego Conde,ディエゴ・コンデ
Sergio Arribas,セルヒオ・アリバス・カルボ
Pep Chavarría,ペップ・チャバリア
Miguel Rodríguez Vidal,ミゲル・ロドリゲス
José Pascual Alba,ホセ・パスカル・アルバ・セバ
John Joe Patrick Finn,ジョン・パトリック・(2003年生のサッカー選手)
Fran García,フランシスコ・ホセ・ガルシア・トーレス
Alejandro Baena Rodríguez,アレックス・バエナ
Luka Romero,ルカ・ロメロ
Jon Morcillo,ホン・モルシージョ
Óscar Mingueza,オスカル・ミンゲサ
Max Svensson Río,マックス・スヴェンソン・(2001年生のサッカー選手)
Abel Góngora,アベル・ゴンゴラ
Jaume Cuéllar,ジャウメ・クエジャル
Guille Rosas,ギジェ・ロサス
Aitor Paredes,アイトール・パレデス
Rodrigo Sánchez Rodríguez,ロドリゴ・サンチェス・ロドリゲス
Álex Millán,アレックス・ミジャン
Nico Williams,ニコ・ウィリアムズ
Guillem Molina Gutiérrez,ギジェム・モリーナ
Eder González,エデル・ゴンサレス
Sergio Carreira,セルヒオ・カレイラ
Yéremi Pino,ジェレミ・ピノ
Gabri Veiga,ガブリ・ベイガ
Iker Pozo,イケル・ポソ
Hugo Novoa,ウーゴ・ノボア
Alejandro Balde,アレックス・バルデ
Ramón Terrats Espacio,ラモン・テラッツ
Juan Antonio Iglesias Sánchez,フアン・イグレシアス
Beñat Prados,ベニャト・プラードス
Pedro Acosta (motociclista),ペドロ・アコスタ
Julen Lobete,フレン・ロベテ
Julen Agirrezabala,フレン・アギレサバラ
Nicolás González Iglesias,ニコ・ゴンサレス
Taz Skylar,タズ・スカイラー
Mario Soriano,マリオ・ソリアーノ
Pablo Marín,パブロ・マリン
Ez Abde,アブデ・エザルズリ
Raúl Torrente,ラウール・トレンテ
Ferran Jutglà,フェラン・ジュグラ
Javier Guerra Moreno,ハビ・ゲラ
Carlos Martín Domínguez,カルロス・マルティン・ドミンゲス
Adriana Cerezo,アドリアーナ・セレソ
Ana Pérez Box,アナ・ペレス・ボクス
Arnau Puigmal,アルナウ・ピグマル
Xeber Alkain,シェベル・アルカイン
Gavi (futbolista),パブロ・パエス
Alberto Moleiro,アルベルト・モレイロ
Alejandro Cantero,アレハンドロ・カンテロ
Nico Serrano,ニコ・セラーノ
Juan Artola Canales,フアン・アルトラ
Imanol García de Albéniz,イマノル・ガルシア・デ・アルベニス
Niko Takahashi,髙橋センダゴルタ仁胡
Martín García García,マルティン・ガルシア・ガルシア
Carlos Domínguez Cáceres,カルロス・ドミンゲス・カセレス
Félix Plasencia,フェリックス・プラセンシア
Jon Magunazelaia,ジョン・マグナセライア
Sergio Santos,セルヒオ・サントス
Josep Gayá,ジョゼップ・ガヤ
Bryan Zaragoza,ブライアン・サラゴサ
Álvaro Fernández Carreras,アルバロ・フェルナンデス・カレーラス
Juan Luis Sánchez Velasco,フアン・ルイス・サンチェス・ベラスコ
Rubén Iranzo,ルベン・イランソ
Juanmi Latasa,フアン・ミゲル・ラタサ
Mika Mármol,ミカ・マルモル
José Ángel Carmona,ホセ・アンヘル・カルモナ
