Григорий Яковлевич Перельман,グリゴリー・ペレルマン
Михаил Владимирович Светов,ミハイル・スヴェトフ
Владимир Владимирович Сипягин,ウラジーミル・シピャーギン
"Мурадов, Рустам Усманович",ルスタム・ムラドフ
Геннадий Валериевич Жидко,ゲンナージー・ジトコ
Ксения Алексеевна Синицына,クセニア・シニツィナ
Аделина Галявиева,アデリナ・ガリャビエワ
Александр Андреевич Ерёмин,アレクサンダー・エリョーミン
Анастасия Игоревна Москалёва,アナスタシア・モスカレワ
Анастасия Владимировна Ракова,アナスタシア・ラコヴァ
Александр Витальевич Цыбульский,アレクサンドル・ツィブルスキー
Егор Дмитриевич Клинаев,エゴール・クリナエフ
"Ильясов, Нияз Анварович",ニヤス・イリアソフ
Константин Килимник,コンスタンティン・キリムニック
Элджей,オールジ
Елена Кошка,エレナ・コシュカ
Александр Евгеньевич Мишкин,アレクサンドル・ミシュキン
Маргарита Позоян,マルガリータ・ポゾヤン
Екатерина Самсонов,エカテリーナ・サムソノフ
Василий Александрович Орлов,ヴァシリー・オルロフ
Казбек Валерьевич Коков,カズベク・ココフ
Павел Николаевич Грудинин,パーヴェル・グルジーニン
Вера Георгиевна Щербина,ベラ・シェルビーナ
Андрей Владимирович Тарасенко,アンドレイ・タラセンコ
Андрей Александрович Травников,アンドレイ・トラフニコフ
Михаил Александрович Игнатов,イグナトフ
"Баранов, Егор Геннадьевич",イゴール・バラノフ
Вероника Саркисова,ベロニカ・サルキソワ
Светлана Олеговна Кузнецова,スヴェトラーナ・クズネツォワ
Андрей Михайлович Мозалёв,アンドレイ・モザリョフ
Анатолий Владимирович Чепига,アナトリー・チェピガ
Александр Лапин,アレクサンドル・ラパン
Александр Владимирович Горбатов,アレクサンデル・ゴルバトフ
Александр Викторович Комлев,アレクサンドル・コムレフ
Михаил Михайлович Ходарёнок,ミハイル・ホダリョノク
Полина Андреевна Щербакова,ポリーナ・シェルバコワ
Александр Анатольевич Сивцев,アレクサンドル・シフツェフ
Grivina,グリヴィーナ
Мовсар Евлоев,モフサル・エフロエフ
Ульяна Яновна Синецкая,ウリヤナ・シネツカヤ
"Курашев, Филипп Константинович",フィリップ・クラシェフ
Данила Игоревич Якушев,ダニラ・ヤクシェフ
Марк Кондратюк,マルク・コンドラチュク
Леонид Аркадьевич Брусин,レオニード・ブルーシン
Ульяна Иващенко,ウリアナ・イヴァシチェンコ
"Комарова, Мария Андреевна",マリア・コマロヴァ
Грета Ониогу,グレタ・オニエゴウ
Валентина Чеботарёва,ヴァレンティナ・チェボタリョーワ
"Терентьев, Александр Васильевич",アレクサンドル・チェレンチエフ
Пётр Александрович Коврижных,ピーター・コヴリジニク
Александра Ревенко,アレクサンドラ・レベンコ
"Игольников, Михаил Сергеевич",ミハイル・イゴルニコフ
Дубкова Ирина Анатольевна,イリーナ・デュブコワ
Азамат Мурзаканов,アザマト・ムルザカノフ
Сергей Алексеевич Походаев,セルゲイ・ポカダエフ
Валентин Садики,バレンティン・サディキ
Дмитрий Сергеевич Ендальцев,ドミトリー・エンドタルセフ
Игорь Хрипунов,イゴール・フリプリノフ
Валерий Викторович Колесов,ワレリー・コレソフ
Кристина Дмитриевна Пакарина,クリスティーナ・パカリーナ
Наталья Григорьевна Галкина,ナタリア・プラギーナ
Дмитрий Александрович Галкин,ディミトリー・ガルキン
Оксана Андреевна Воеводина,オクサーナ・ヴォエヴォジナ
"Петрунин, Николай Юрьевич",ニコライ・ペトルニン
Юлия Борисовна Навальная,ユリア・ナヴァリナヤ
Эдуард Мкртычевич Сперцян,エドゥアルド・スペルツァン
"Керин, Максим Евгеньевич",マクシム・ケリン
Маркус Дюпри,マーカス・デュプリー
"Мизинов, Василий Витальевич",ワシリー・ミジノフ
"Шишкин, Владимир Игоревич",ウラジミール・シシュキン
Максим Александрович Сурайкин,マクシム・スライキン
"Фадеечев, Алексей Николаевич",アレクセイ・ファジェーチェフ
Алёна Буздуган,アリョーナ・ブズドゥガン
"Сизикова, Яна Дмитриевна",ヤナ・シジコワ
electronic,デニス・シャリポフ
