Россия,俄罗斯
Каширское шоссе,卡希拉公路
Койонсаари,科伊翁薩里島
Косино (станция метро),科西諾站
Классный чин,衔级·(俄罗斯)
Козинка (Белгородская область),科津卡
Кежемское муниципальное образование,克热姆斯基市镇
Кедровый (посёлок городского типа),克德罗维·(克拉斯诺亚尔斯克边疆区)
Кезадра,克扎德拉湖
Коршуновское сельское поселение (Киренский район),科尔舒诺沃市镇
Кондрашкинское сельское поселение,孔德拉什基诺农村居民点
Козловское сельское поселение (Терновский район),科兹洛夫卡农村居民点·(捷尔诺夫卡区)
"Козлово (посёлок городского типа, Конаковский район)",科兹洛沃·(科纳科沃区)
Козловское сельское поселение (Бутурлиновский район),科兹洛夫卡农村居民点·(布图尔利诺夫卡区)
Клетско-Почтовское сельское поселение,克列茨基-波奇托夫斯基农村居民点
Кокинское сельское поселение,科基诺农村居民点
Кемское (озеро),克姆斯科耶湖
Кенашка,克納什卡河
Кельмрак,克利姆拉克河
Кокуй (Забайкальский край),科奎
Козинское сельское поселение (Белгородская область),科津卡农村居民点
Кондостров,孔多斯特羅夫島
Кондопожская губа,孔多波加灣
Климовское сельское поселение (Вологодская область),克利莫夫斯科耶农村居民点
Криниченское сельское поселение,克里尼察农村居民点
Криничанское сельское поселение,克里尼奇诺耶农村居民点
Крильонский полуостров,克里利翁半岛
Копылье (река),科佩利耶河
"Колласъярви (озеро, Карелия, северное)",科拉斯湖
Омский завод транспортного машиностроения,鄂木斯克运输机器制造厂
Кенозеро,克洛澤羅湖
Кенсол,肯索爾河
Кенон,克農湖
Конопер,科諾佩爾湖
Котельники (станция метро),科捷利尼基站
Криволукское муниципальное образование,克里瓦亚卢卡市镇
Кривоносовское сельское поселение,克里沃诺索沃农村居民点
Краснобратское сельское поселение,红联谊农村居民点
