François Hollande,弗朗索瓦·奥朗德
Pierre Thomas Nicolas Hurtaut,皮耶-托馬-尼寇拉·余赫多
Pierre Gauthier (voile),皮埃尔·戈捷
Prosper Giquel,日意格
Philippe Rozier,菲利普·罗齐耶
Pierre Rabot,皮埃尔·拉博
Pierre Blondiaux,皮埃尔·布隆迪奥
Pom Klementieff,庞·克莱门捷夫
Pierre Hardy (tir),皮埃尔·阿迪
Ramzy Bedia,朗茲·貝迪亞
Ramdane Touhami,拉姆丹·图哈米
Pierre Risch,皮埃尔·里什
Philippe Renaud,菲利普·雷诺
Pierre Autin-Grenier,皮埃爾·奧坦-格雷涅
Pierre Barlaguet,皮埃尔·巴拉盖
Philippe Tondre,菲利普·通德尔
René Belbenoît,勒内·贝尔伯努瓦
Vincent Collet,樊尚·科莱
Raoul Paoli,拉乌尔·保利
René Duhamel (aviron),勒内·迪阿梅尔
Pierre Valentin,华朗廷
Pierre Léna,皮埃尔·莱纳
Robert Boutigny,罗贝尔·布蒂尼
René Gutman,勒內·古特曼
Pierre Lemaitre,皮耶·勒梅特
Pierre Vincent (basket-ball),皮埃尔·樊尚
Roger Vivier,罗杰·维维亚
Robert Chabbal,罗贝尔·沙巴尔
Robert Citerne,罗贝尔·西泰纳
Roland Chassain,罗兰·沙桑
René Cornu,勒内·科尔尼
René Crabos,勒内·克拉博
Raymond Daudel,雷蒙·多代爾
René Kapel,撒姆耳·勒內·卡普爾
René Hirschler,勒內·赫斯勒
Robert Dumontois,罗贝尔·迪蒙图瓦
Robert Girardet,罗贝尔·吉拉尔代
Robert Guillin,罗贝尔·吉兰
Scholastique Mukasonga,斯科拉斯蒂克·姆卡松加
Robert Linzeler,罗贝尔·林策勒
Scott Spedding,斯科特·斯佩丁
Sarah Michel,萨拉·米歇尔
Robert Gufflet,罗贝尔·居夫莱
Rory Kockott,罗里·科科特
Romain Saïss,路曼·沙斯
Renée Garilhe,勒妮·加里耶
Robert Monclar,罗贝尔·蒙克拉尔
Roland Pozzo di Borgo,羅蘭·波佐·迪·博爾戈
Rebecca Zlotowski,蕾貝卡·斯洛托維斯基
Roland Mousnier,罗纳德·莫斯涅
Émile Licent,桑志華
Romain Millo-Chluski,罗曼·米洛-什吕斯基
Raymonde Allain,雷蒙德·艾倫
Serge Telle,塞爾日·特勒
Serge Sur,塞尔日·苏尔
Émile Boitelle,埃米尔·马特尔
Simon Gauzy,西蒙·高茨
Rodolphe Antrim,鲁道夫·安特里姆
Rodolphe Guilland,鲁道夫·吉扬
René-Samuel Sirat,勒內-薩繆爾·西拉特
Roger Antoine,罗歇·安托万
Robert Jacquinot de Besange,饶家驹
Rodolphe de Maistre,鲁道夫·德·迈斯特
Sylvie Blocher,西勒維·布洛雪
Sylvie Brunel,西尔维·布吕内尔
Renaud Sainsaulieu,雷諾·聖索利厄
Robin Campillo,羅賓·康皮洛
Rudy Gobert,鲁迪·戈贝尔
Simone Segouin,西蒙·塞古瓦
Rémy Grosso,雷米·格羅索
Régine Le Jan,蕾吉娜·勒让
Gerberge de Bourgogne,格貝爾加·德·勃艮第
Richard Texier,理查德·塔克西埃
Djidingar Dono Ngardoum,吉丁加爾·多諾·恩加杜姆
Sébastien Lespès,利士比
Gontchomé Sahoulba,貢喬梅·薩烏爾巴
Sylvain Curinier,西尔万·屈里尼耶
Salomon Ulmann,薩洛蒙·烏爾曼
Valérie Zenatti,法蕾莉·珊娜蒂
Sofiane Guitoune,索菲亚纳·吉图纳
Victor Gustave Robin,维克多·古斯塔夫·罗宾
Samuel Boutal,萨姆埃尔·布塔尔
Vera Trefilova,维拉·特雷弗洛娃
Sébastien Foucras,塞巴斯蒂安·富克拉
Théodore Ducos,泰奥多尔·迪科
Samir Aït Saïd,萨米尔·艾特·赛义德
Victor Duvant,维克托·迪旺
Théodore-Augustin Forcade,狄鐸-奧斯定·福爾卡德
Stanislas Joseph François Xavier Rovère,斯坦尼斯拉斯·约瑟夫·弗朗索瓦·格扎维埃·罗维尔
Victor-Auguste Godinet,奥古斯特·戈迪内
Victor-Gabriel Lemaire,李梅·(法國外交官)
William Nadylam,威廉·奈迪蘭
William Chervy,威廉·谢尔维
Sébastien Tillous-Borde,塞巴斯蒂安·蒂尤-博尔德
Ahmed Mohamed,穆罕默德·艾哈迈德
Xavier Legrand,泽维尔·勒格朗
Tidjane Thiam,譚天忠
Vincent Boury,樊尚·布里
Stéphane Bonduel,斯特凡纳·邦迪埃尔
Stéphane Pasquier,柏士祺
Xu Yi,徐仪
Ursula Gauthier,郭玉·(法国记者)
Thibaud Chapelle,蒂博·沙佩勒
Yann Le Cun,杨立昆
Valérie Garnier,瓦莱丽·加尼耶
Xavier Rohart,格扎维埃·罗阿尔
Stéphane Joulin,斯特凡纳·茹兰
Stéphane Corcuff,高格孚
Stéphane Dujarric,斯特凡·杜加里克
Thierry Frémaux,蒂埃里·弗雷莫
Thierry Jarnet,查爾尼
Valériane Vukosavljević,瓦莱丽安·武科萨夫列维奇
Valère Germain,瓦里爾·吉爾曼
Vincent Maraval,文森·馬拉瓦爾
Yohann Delattre,约昂·德拉特
Yannick Forestier,扬尼克·福雷斯捷
Vincent Sasso,文森·沙素
Vincent Thierry,樊尚·蒂埃里
Émile Michelet,埃米尔·米舍莱
Yoshua Bengio,约书亚·本希奥
Thomas Boudat,托马·布达
Thomas Charvériat,托马斯·沙韦里亚
Vincent Gérard,樊尚·热拉尔
Alfred Dubois (voile),A·迪布瓦
Évelyne Pisier,艾芙丽纳·皮茜叶
Émile Rumeau,埃米尔·吕莫
Yves Bréchet,伊夫·布雷歇
Yeni Ngbakoto,耶尼·恩格巴科托
Yoann Jaumel,約安·約梅爾
Émile Jean-Fontaine,埃米尔·让-方丹
Yin Hang (actrice),尹航·(演员)
Yoann Huget,约安·于热
Odile Jacob,奧迪勒·賈克柏
Anita Blaze,阿妮塔·布拉兹
Virginie Efira,薇吉妮·愛菲亞
Bruno Rossetti,布鲁诺·罗塞蒂·(射击运动员)
Virginie Besson-Silla,維吉妮亞·席拉
Émilie Busquant,埃米莉·布斯奎特
Yves Delacour,伊夫·德拉库尔
Yves Pajot,伊夫·帕若
Éric Amalou,埃里克·阿马卢
Charles-Théodore Millot,米樂
Éric Delaunay,埃里克·德洛奈
Robert Cohu,罗贝尔·科于
Hoàng Xuân Hãn,黃春瀚
Éric Judor,艾瑞克·裘德
Édouard Levé,爱德华·勒维
Alexandre Letellier,亞歷山大·萊特利爾
Étienne-Théodore Cuenot,祁诺
Vincent Simon,雲遜·西蒙
Jordan Ferri,喬丹·費里
Édouard Philippe,爱德华·菲利普
Étienne Klein,艾蒂安·克萊因
Heimano Bourebare,波利巴爾
Eugène Coulon (water-polo),欧仁·库隆
Joseph Bertrand (natation),约瑟夫·贝特朗
Jacques Guerlain,雅克·嬌蘭
Jacques Flouret,雅克·弗卢雷
Jules Dubois (voile),J·迪布瓦
H. F. Roques,H·F·罗克
Timothée Jordan,蒂莫泰·若尔丹
Houda Benyamina,胡妲·班亞米納
Xavier Samin,沙維亞·沙文
William Anderson (cricket),威廉·安德森·(板球运动员)
Juan de Borgoña,胡安·德·博古纳
Élisa Blanc,埃莉薩·布朗
Tony Andreu,托尼·安德魯
Ivan Trevejo,伊万·特雷韦霍
Cyril Abiteboul,西里尔·阿比特波尔
Étienne Roland,艾蒂安·罗兰
Étienne Richaud,艾蒂安·里绍
Élodie Clouvel,艾洛蒂·克劳威尔
André Cassagnes,安德烈·卡薩涅
Olivier Grandjean,奥利弗·格朗让
Marius Canard,马吕斯·卡纳尔
Aymeric Laporte,埃梅里克·拉波爾特
Brigitte Lacombe,布莉姬·拉孔柏
François Dupré,弗朗索瓦·迪普雷
Bernard Boursicot,伯纳德·布尔西科
Félix-Auguste Clément,费利克斯·奥古斯特·克莱芒
"Raphaël Guerreiro (football, 1993)",拉斐爾·古埃雷羅
Charles Leroux (chef d'orchestre),夏尔·勒鲁
Marie-Henriette de La Tour d'Auvergne,瑪麗-亨麗埃特·德·拉圖爾·奧弗涅
Bouna Sarr,布纳·萨尔
Louis Marc (water-polo),路易·马克
Louis Auguste-Dormeuil,路易·奥古斯特-多默伊
Fabrice Desvignes,法布里斯·德维涅
Fabrice Martin,法布里斯·马丁
Charles Amable Lenoir,查尔斯·阿玛布尔·勒努瓦
François Mignard,弗朗索瓦·米尼亚尔
Émile Clerc,埃米尔·克莱尔
Gabriella Papadakis,加布里埃拉·帕帕达吉斯
Gary Hunt,蓋瑞·亨特
Pierre Caque,皮埃尔·卡克
Pierre Boël,皮埃尔·博埃
Charles Maigrot,颜珰
Monique Baudot,莫尼克·博多
Charlène Guignard,沙莱娜·吉尼亚尔
Georges de Paris,喬治·德巴黎
Georges Jules Piquet,喬治·朱爾·皮蓋
Geraldine Seydoux,杰拉尔丁·赛杜
Ghislaine Maxwell,格希萊恩·麥克斯韋爾
Albert-Édouard Le Brethon de Caligny,勒伯勒東
A. Théophile Piry,帛黎
Léa Moutoussamy,梅利莎·莫道薩米
Guillaume Cizeron,纪尧姆·西泽龙
Jacques Paganel,雅克·巴加内尔
Louis Aucoc,路易·奥科克
Indila,英蒂拉
Jacques Pic,雅克·皮克
Jason Kouchak,杰森·库查克
Alfred Saint-Yves,阿尔弗雷德·圣伊夫
Marley Watkins,馬瑞·沃特金斯
Jean-Yves M'voto,讓-伊維斯·姆沃托·奧沃諾
Alassane Pléa,阿拉桑·普莱亚
Desmond Seward,德斯蒙德·苏厄德
Léo Rispal,萊昂·里斯帕爾
Paul-Georges Ntep,保羅·尼特普
Étienne Guibourg,艾蒂安·吉布
Jean Dupuis (explorateur),涂普義
Peter de Rome,彼得·德·羅馬
Philippe Couprie,菲利普·库普里
Philippe Schaaf,菲利普·沙夫
Philippe de Clermont,菲利普·克莱蒙
Jean Umansky,让·乌曼斯基
Océane Zhu,朱璇
Étienne Manac'h,艾蒂安·马纳克
Elizabeth Debicki,伊莉莎白·戴比基
Hervé Jacquet,埃尔韦·雅凯
Jean-Pierre Boccardo,让-皮埃尔·博卡尔多
Jonathan Kodjia,乔纳森·科德吉
Antoine de Bourbon-Siciles (1929-2019),安托万王子·(两西西里)
Marie Bochet,玛丽·博歇
Édouard Gourévitch,愛德華·古列維奇
Moustapha Fall,穆斯塔法·法尔
Olivier de Puymanel,奧利維耶·德·皮曼紐爾
Edson Lemaire,艾臣·拿馬尼
Jean Couturier (basket-ball),让·库蒂里耶
Georges Carrier,乔治·卡里耶
Justin Goudot,朱斯坦·古多
Edmond Leclère,埃德蒙·勒克莱尔
Vincent Faucheux,樊尚·福舍
Fernand Prudhomme,费尔南·普吕多姆
Morgan Sanson,摩根·桑松
Honel Meiss,霍內爾·邁斯
Bửu Lộc,阮福宝蔍
Édouard Nignon,愛德華·尼尼翁
Nguyễn Văn Vĩnh,阮文永·(作家)
Philip Sassoon,菲利普·沙逊
Romain Le Gac,罗曼·勒加克
Éric Pras,埃里克·普拉斯
Kate Barry,凯特·巴莉·(摄影师)
Olivier Derivière,奥利维尔·德里维耶
Kingsley Coman,金斯利·科芒
Serge Dumont,杜孟
Scott Tixier,史考特·蒂克西爾
Sébastien Haller,塞巴斯蒂安·阿莱
Matthieu Androdias,马蒂厄·安德罗迪亚
Riyad Mahrez,列恩·馬列斯
Larry Azouni,阿祖尼
Clémence Calvin,克莱芒丝·卡尔文
Thierry Gillet,紀禮·(騎師)
Gustave Deswazières,祝福·(主教)
Laurent Estienne Barisy,洛朗·安德烈·巴里西
Philippe Vannier (marin),菲利普·瓦尼埃
Auguste Gaspais,高德惠
Évelyne Prouvost,埃弗利娜·普鲁沃
Pierre-Emile Højbjerg,皮埃尔-埃米尔·霍伊比约
Jean-Frédéric Chapuis,让-弗雷德里克·沙皮伊
Pascal Soriot,苏博科
Emmanuel Verrolles,方若望
Annet-Théophile Pinchon,洪广化
Pierre Braunstein,皮埃尔·布朗斯坦
Louis-Gabriel-Xavier Jantzen,尚惟善
Damien Margat,达米安·马尔加
Vincent Arnardi,文森特·阿纳迪
Victor Collin de Plancy,葛林德·普兰西
Chhean Vam,钱万
Béryl Gastaldello,贝丽尔·加斯塔德洛
Stanislas Chevalier,蔡尚質
Jeffrey John (athlétisme),杰弗里·約翰
Mario Lemina,馬里奧·勒米納
Jean Rémusat,让·莱缪沙特
Franciscus Verellen,傅飛嵐
Laurent Mekies,劳伦特·梅基斯
Marie Martinod,玛丽·马蒂诺
Bernard Meynadier,贝尔纳·梅纳迪耶
Pierre Gasly,皮埃爾·蓋斯利
Zhu Xiao-Mei,朱晓玫
Youssouf Sabaly,尤素夫·沙巴利
Hugo Nys,雨果·尼斯
David Asavanond,大卫·亚沙维侬
Anne Tran,安妮·特兰
Émilie Andéol,埃米莉·昂代奥尔
Sanjin Prcić,桑津·普爾西奇
Corentin Tolisso,科朗坦·托利索
Moussa Dembélé (football),穆萨·德姆贝勒·(法国足球运动员)
Florence Faivre,佛羅倫斯·費佛瑞
Guillaume Brac,吉翁·布賀
Farès Bahlouli,法雷斯·巴路利
Bernard Vaussion,貝爾納·沃雄
Nabil Fekir,納比勒·費基爾
Élisabeth de Gaulle,伊丽莎白·戴高乐
Hervin Ongenda,安根達
Mehdi Jomaa,馬哈地·賈馬
Christian Allard,克里斯蒂安·阿拉德
Jonas Aguenier,喬納斯·阿格尼耶
Florent Mollet,弗洛朗·莫雷特
Marcel Marnat,馬塞爾·馬爾納
"Brice Samba (football, 1994)",布里斯·桑巴
Pierre Nanterme,南佩德
Aimé Dupont,艾米·杜邦
Geoffrey Palis,杰弗里·帕利
Louise Saumoneau,路易莎·索莫诺
Esteban Ocon,埃斯特班·奧康
Thibaut Ruggeri,蒂博·鲁杰里
Yann Demange,亞恩·迪曼奇
Bernard Brizay,伯纳·布立赛
Gaëtan Mittelheisser,加埃唐·米特莱尔泽
Guéshé Lobsang Tengyé,洛桑丹傑格西
Allan Saint-Maximin,阿蘭·聖-麥斯文
Yohan Goutt Goncalves,約翰·古特·干卡維斯
Joseph Desflèches,范若瑟
Eugène-Paul Coupat,顾巴德
Philippe Sands,菲利普·桑兹
Tiémoué Bakayoko,蒂莫埃·巴卡約科
Jordan Amavi,佐敦·艾馬維
Delphine Lansac,戴尔芬·兰萨克
Lucas Corvée,卢卡斯·科维
Vincent Laurini,文森特·勞里尼
Moungi G. Bawendi,蒙吉·巴文迪
Frédéric Mion,弗雷德里克·米翁
Stacy Martin,斯塔西·马汀
Thomas Rouxel (badminton),托马斯·鲁克塞尔
Sébastien Lepape,塞巴斯蒂安·勒帕普
Nabil Bentaleb,拿比爾·賓特納
Marie Harel,玛丽·阿雷尔
Jonathan Midol,若纳唐·米多尔
Abdoulaye Doucouré,阿卜杜拉耶·杜哥尼
Lucas Pouille,盧卡斯·普耶
Marina Maljković,玛丽娜·马利科维奇
Justine Triet,潔絲汀·楚特
Marie-Louise Gagneur,瑪麗·路易絲·加涅爾
Evan Spiegel,伊万·斯皮格
Michel Ferlus,米歇尔·费吕
Marcel Tisserand,馬塞爾·迪沙拿德
Thomas Lemar,湯馬士·林馬
Perrine Laffont,佩里娜·拉丰
Paul Nardi,保羅·納爾迪
Maxwel Cornet,麥克斯韋爾·科爾內
Saïd Benrahma,沙特·賓華馬
Rémi Walter,雷米·沃爾特
Vincent Peirani,雲信·皮哈里
Georges-Kévin Nkoudou,乔治斯-凯文·恩库多
Hugo Duminil-Copin,雨果·迪米尼-科潘
Paul Bordier,保罗·博尔迪埃
Christine and the Queens,克莉丝汀和皇后
Marina Ginestà,瑪麗娜·吉娜絲塔
Lucas Claerbout,卢卡斯·克拉尔布特
Marthe Gautier,玛尔特·戈蒂埃
Maël Renouard,马埃尔·勒努阿尔
Quentin Fillon Maillet,康坦·菲永·馬耶
Philippe Honoré,菲利普·奥诺雷
Jean-Charles Castelletto,让-查尔斯·卡斯特莱托
Pierre Marsone,马颂仁
Philippe Le Sourd,菲利浦·勒苏德
Fiona Sze-Lorrain,菲奧娜·施·羅琳
Chloé Bulleux,克洛艾·比勒
Marie Batomene,玛丽·巴托梅内
Jérémy Cadot,热雷米·卡多
Pierre Lataillade,皮埃尔·拉塔亚德
Amandine Buchard,阿芒迪娜·比沙尔
Marguerite Bise,瑪格麗特·比斯
Louis-Constantin Boisselot,路易斯·波伊塞洛特
Joel Embiid,乔尔·恩比德
Bryan Pelé,布萊恩·佩萊
Florian Martin,科利安·馬田
Jean-Marie Blois,衛忠藩
Jean Lefeuvre (jésuite),雷煥章
Hélène de Portes,埃莱娜·德·波尔特
Jean-Louis Ducarme,让-路易·杜卡姆
Michel Gugenheim,米歇爾·古根海姆
Gaston Kahn,甘世东
Jean de Neuflize,让·德纳夫利兹
Arthur Masuaku,亞瑟·馬蘇阿庫
Bastian Kersaudy,巴斯蒂安·凯尔索迪
Fabio Quartararo,法比奧·夸特拉羅
Estelle Nze Minko,埃丝特勒·恩泽·明科
Rémi Cavagna,雷米·卡瓦尼亚
Casimir Moisson,卡西米尔·穆瓦松
Jiang Qiong Er,蒋琼耳
Daniel Gottlieb,达尼埃尔·戈特利布
Jean Larrart,蓝士谦
Constant Lestienne,康斯坦·莱斯蒂耶纳
Anthoine Hubert,安托万·于贝尔
Leroy Sané,里羅·薩內
Clément Lenglet,克萊芒·朗格萊
Pierre Yovanovitch,皮埃尔·约万诺维奇
Trévor Clévenot,崔佛·克里夫諾
Pauline Coatanea,波利娜·科阿塔尼亚
Jean-Louis Nomicos,讓-路易·諾米科斯
Hugo Descat,雨果·德卡
Béatrice Edwige,贝亚特丽斯·埃德维热
Camille Cottin,卡米尔·科坦·(演员)
Loann Goujon,洛安·古容
Xavier Arnozan,澤維爾·阿諾桑
Mikhaël Hers,米夏埃爾·艾斯
Bruno Léchevin,布律诺·莱舍万
Laura Glauser,劳拉·格洛塞
Laura Marino,劳拉·马里诺
Manon Houette,玛农·韦特
Coralie Lassource,科拉莉·拉苏尔斯
Cyrille Maret,西里尔·马雷
Daniel Jérent,达尼埃尔·热朗
Christophe de Quénetain,克里斯朵夫·宇谁·德·肯纳坦
DJ Snake,DJ蛇王
Marine Johannès,马琳·若阿内斯
Nathalie Loiseau,纳塔莉·卢瓦索
Jacques Senard,雅克·塞纳尔
Julien Mertine,朱利安·梅尔蒂纳
N'Golo Kanté,尼高路·簡迪
Marie-Claude Vayssade,玛丽-克劳德·韦萨德
Axel Reymond,阿克塞尔·雷蒙
Clément Mignon (natation),克莱芒·米尼翁
Thomas Clarion,托马·克拉里翁
Haris Belkebla,哈里斯·比爾克貝拉
Jean-Christophe Gay,盖思洲
Auguste Texier,特谢尔·(船员)
François Villette,弗朗索瓦·维莱特
François Texier,特谢尔·(舵手)
Albert Duval,阿尔贝·杜瓦尔
Jacques Doucet (voile),雅克·杜塞
Henri Gilardoni,亨利·吉拉尔多尼
Henri Mialaret,亨利·米亚拉雷
Albert Dubosq (voile),迪博斯克
Alain Roux (historien),阿蘭·魯林
Mathias Bourgue,馬提亞斯·布格
Xiao Xin Yang,楊曉欣
Marie-Florence Candassamy,玛丽-弗洛朗丝·康达萨米
Sylvie Bermann,白林·(1953年)
Olivier Cadic,奥利维尔·卡迪奇
Agnès Callamard,阿涅斯·卡拉馬爾
Benjamin Daviet,邦雅曼·达维耶
Estelle Mossely,埃丝特勒·莫瑟利
Mason Ewing,梅森·尤因
Corentin Ermenault,科朗坦·埃尔默诺
Ibrahim Amadou,易卜拉欣·阿马杜
Emmanuelle Charpentier,埃玛纽埃勒·沙尔庞捷
Charles Vogel,荷敬谦
Stanislas Jarlin,林懋德
Patrick Roger (chocolatier),帕特里克·羅歇
François Nicoullaud,弗朗索瓦·尼库洛
Kendji Girac,肯吉·季拉克
Charles Ollivon,夏尔·奥利翁
Sophie Massieu,蘇菲·馬修
Charlotte Lembach,夏洛特·朗巴克
Mike Maignan,麥克·邁尼昂
Michaël Bodegas,米夏埃尔·博德加斯
Laura Valette,劳拉·瓦莱特
Romain Arneodo,罗曼·阿内奥多
Élisabeth de Feydeau,伊丽莎白·德·费多
Cassandre Beaugrand,卡桑德尔·博格朗
Catherine Chamié,凯瑟琳·夏米
Quentin Halys,康坦·阿利斯
Presnel Kimpembe,普雷斯内尔·金彭贝
Océane Dodin,奧塞昂·多丹
Benjamin Thomas,邦雅曼·托马
Patrick Pouyanné,潘彦磊
Valentin Lavigne,瓦倫汀·拉維涅
Stéphane Sparagna,斯蒂芬·斯帕拉尼亞
Léon Gautier (militaire),莱昂·戈蒂埃·(士兵)
Benjamin Bonzi,邦雅曼·邦齐
Harmony Tan,陳夏莉妮
Damien Chazelle,达米恩·查泽雷
Serhou Guirassy,塞尔乌·吉拉西
Sofiane Boufal,蘇菲亞·保化爾
Fabien Incardona,INCA·(歌手)
Moussa Niakhaté,穆萨·尼亚卡特
Célestin Chouvellon,舒福隆
Louane,露安·艾梅拉
Toma Junior Popov,小托馬·波波夫
Julia Simon,朱莉娅·西蒙
Lucas Hernandez,盧卡斯·埃爾南德斯
Richard Jouve,里夏尔·茹夫
Clément Parisse,克萊芒·帕里斯
Marina Tchebourkina,玛丽娜·切布基娜
Olivier Brandicourt,白理惟
Colette Privat,科莱特·普里瓦
Nicolas Tournat,尼古拉·图尔纳
Abdou Diallo,阿卜杜·迪亚洛
Benjamin Pavard,邦雅曼·帕瓦尔
Cédric Nicolas-Troyan,賽德瑞克·尼可拉斯-托楊
Justine Braisaz-Bouchet,朱斯蒂娜·布雷萨-布歇
Léa Palermo,莉亚·巴莱尔莫
Fabien Claude,法比安·克洛德
Émile-Coriolan Guillemin,埃米勒·吉勒曼
Cyprien Eugène Boulet,西普里安·欧仁·布莱
Michel Raynal,米歇尔·雷纳尔
Alpha Kaba,阿尔法·卡巴
Jean Delaveyne,讓·德拉韋恩
Timothée Chalamet,提摩西·夏勒梅
Marcus Thuram,马库斯·图拉姆
Petr Cornelie,彼得·科尔纳利
Olivier Boscagli,奧利維爾·博斯卡利
Grejohn Kyei,域莊·卡耶
Gilberte Beaux,吉尔贝特·博
Stéphanie Frappart,斯蒂芬妮·弗拉帕尔
Magda Wiet-Hénin,玛格达·维耶特-埃南
Manon Brunet,玛农·阿皮蒂-布吕内
Odsonne Édouard,欧德桑·爱德华
Axel Maraval,阿克塞爾·馬拉瓦爾
Alexis Raynaud,亚历克西·雷诺
Val (sculpteur),瓦萊麗·古塔
Jean Quiquampoix,让·基康普瓦
Maxime Kaltenmark,康德谟
Jeff Reine-Adélaïde,杰夫·雷内-阿德莱德
François Gouin,弗朗索瓦·古恩
Seko Fofana,施高·科芬拿
Élisabeth Borne,伊莉莎白·博恩
KennyS,KennyS
Nordi Mukiele,诺尔迪·穆凯莱
Xintian Zhu,朱新天
Pierre Houin,皮耶·烏恩
Marie Wattel,玛丽·瓦泰尔
Ousmane Dembélé,奥斯曼·登贝莱
Alain Bouffard,阿兰·布法尔
Yann Genty,扬·让蒂
Léo Dubois,里歐·杜布瓦
Théophile Onfroy,泰奥菲勒·翁弗鲁瓦
Augustin Mouterde,奥古斯丁·穆泰德
Ruben Aguilar,魯本·阿吉拉爾
Thomas Didillon,托馬斯·迪德隆
Sébastien Lecornu,塞巴斯蒂安·勒科尔尼
Hugo Boucheron,雨果·布舍龙
Lucas Tousart,卢卡斯·图萨尔
Nicolas Pépé,尼高拉斯·比比
Ellyes Skhiri,埃尔耶斯·斯希里
Tom Tugendhat,托馬斯·圖根達特
Alfred Barye,阿尔弗雷德·巴里
Jordan Siebatcheu,蒂奧森·希巴切烏
Thibault Colard,蒂博·科拉尔
Brigitte Macron,碧姬·馬克宏
Guerschon Yabusele,盖尔雄·亚布塞莱
Jonathan Ikoné,納尼塔莫·伊科內
Jean Sulpice,讓·敘爾皮斯
Jain (chanteuse),杰因
Jérémie Boga,謝利美·保加
Morgan Maunoir,摩根·莫努瓦
Maxime Demontfaucon,马克西姆·德蒙福孔
Lily-Rose Depp,莉莉-蘿絲·戴普
Alexis Guérinot,亚历克西·盖里诺
Florian Picasso,弗洛里安·畢卡索
Aldo Kalulu,阿爾多·卡盧盧
Deniz Gamze Ergüven,丹妮兹·盖姆泽·厄古文
Adam Ounas,亚当·乌纳斯
Dayot Upamecano,達約特·烏帕梅卡諾
Iris Mittenaere,伊麗絲·米騰奈爾
