Россия,ロシア
Кёрлинг на зимней Универсиаде 2019,2019年冬季ユニバーシアードのカーリング競技
Усть-Юрибей,ウスチ＝ユリベイ
Заозёрное (станция),樫保温泉駅
Иркутская нефтяная компания,イルクーツク石油
Авария Boeing 737 в Сочи,UTエアー579便着陸失敗事故
Вышестеблиевская (станция),ヴィシェステブリエフスカヤ駅
Россия будущего,未来のロシア・(政党)
2019 год в России,2019年のロシア
Летучая мышь (театр-кабаре),蝙蝠座・(キャバレー)
Rostelecom Cup 2018,2018年ロステレコム杯
UFC Fight Night: Хант vs. Олейник,UFC・Fight・Night:・Hunt・vs.・Oliynyk
Моррасале,モルラサレ
33-я отдельная мотострелковая бригада,第33独立自動車化狙撃旅団・(ロシア陸軍)
Мордыяха (Ямальский район),モルディヤハ
Таркосале,タルコサレ
Дровяной (посёлок),ドロヴャノイ
Инцидент в Керченском проливе,ケルチ海峡事件
"Костюков, Игорь Олегович",イーゴリ・コスチュコフ
Взрыв в жилом доме в Магнитогорске,マグニトゴルスク集合住宅ガス爆発事故
14-й армейский корпус (Российская Федерация),第14軍団・(ロシア連邦)
Александр Усик — Мурат Гассиев,オレクサンドル・ウシク・対・ムラト・ガシエフ戦
Разлив сока в Лебедяни,ペプシ果物ジュース洪水
Катастрофа SSJ 100 в Шереметьеве,アエロフロート1492便炎上事故
Ракетные войска стратегического назначения Российской Федерации,ロシア戦略ロケット軍
С-70 «Охотник»,S70・オホートニク-B
UFC Fight Night: Забит vs. Каттар,UFC・Fight・Night:・Zabit・vs.・Kattar
"Резанцев, Яков Владимирович",ヤコフ・レザンツェフ
Ancient North Eurasian,古代北ユーラシア人
Гран-при России 2019 года,2019年ロシアグランプリ
Аварийная посадка A321 под Жуковским,ウラル航空178便不時着事故
One Tower,ワン・タワー
Небанковская кредитная организация,ネット銀行
Верхнепышминский трамвай,ヴェルフナヤ・ピシュマ市電
Катастрофа Ан-24 в Нижнеангарске,アンガラ航空200便着陸失敗事故
Rostelecom Cup 2019,2019年ロステレコム杯
Прогресс МС-13,プログレスMS-13
Мост Благовещенск — Хэйхэ,黒河・ブラゴヴェシチェンスク大橋
Дом путешественника Арсеньева,アルセーニエフの家記念館
Пандемия COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
РА3,ロシア鉄道RA3形気動車
