код автора на ФантЛабе,ファントラブ 作者ID
Усть-Пристанский сельсовет,ウスチ＝プリスタンスキー村ソヴィエト
Церковь Михаила Архангела с Городца,ゴロデツの大天使ミハイル教会
Теракты в Волгограде в декабре 2013,2013年12月ヴォルゴグラード爆弾テロ事件
Российская военная операция в Крыму (2014),2014年のロシアによるクリミア侵攻
RT America,ロシアタイムアメリカ
Россия на зимних Паралимпийских играх 2014,2014年ソチパラリンピックのロシア選手団
Церемония закрытия зимних Олимпийских игр 2014,2014年ソチオリンピックの閉会式
Диссернет,ディザーネット
российская оккупация Крыма,ロシアによるクリミア占領
Российско-украинская война,クリミア危機・ウクライナ東部紛争
Алабино,アラビノ
Чайковский,チャイコフスキー
Силы специальных операций Российской Федерации,特殊作戦軍
Акулово,アクロヴォ
Комаровка,コマロフカ
Смоленский государственный университет спорта,スモレンスク国立体育スポーツ観光大学
аннексия Крыма Российской Федерацией,ロシアによるクリミア・セヴァストポリの編入
Котик,コティク
Федеральное дорожное агентство,ロシア連邦道路局
Наумовская,ナウモフスカヤ
Силы специального назначения Главного управления Генерального штаба ВС РФ,スペツナズ GRU
Ура (губа),ウラ・グバ
Ляхово,リャーホヴォ
Могсохон,マクソホン村
Большие Горы,ボリシエ・ゴールィ
Государственный Совет Республики Крым,国務院 (クリミア)
сельсовет в России,ロシアの村議会
Крымский федеральный округ,クリミア連邦管区
Азиатское Шоссе 82,アジアハイウェイ82号線
губернатор Чукотского автономного округа,チュクチ自治管区知事
Апсуа,アプスワ
Прохаско,プロハスコ駅
Уссуна,ウシュナ
Промежицы,プロメジツァ
Пулково,プルコヴォ
Амурский Залив,アムールスキー・ザリーフ駅
Ананкино,アナンキノ
Анжерская,アンジェルスカヤ駅
Тетерино,チェチェリノ
Республика Крым,クリミア共和国
Саккало,サッカロ
Ачинск I,アチンスクI駅
Алексино-Туголес,アレクシノ＝トゥゴレス
2-я гвардейская общевойсковая армия,第2親衛諸兵科連合軍
36-я армия,第36軍
юбилейная медаль «70 лет Победы в Великой Отечественной войне 1941—1945 гг.»,大祖国戦争戦勝70周年記念記章
Corpus,Corpus (出版社)
Победино — Первомайское,樺太セメント工業石灰山軌道
Сычики,シチキ村
"Евменов, Николай Анатольевич",ニコライ・エブメトフ
медаль «За возвращение Крыма»,「クリミア奪還」メダル
