España,スペイン
Condado de la Monclova,モンクローバ伯爵
Condado del Valle de Orizaba,バリエ・デ・オリザバ伯爵
Diario de León,ディアリオ・デ・レオン
Dolmen de Alberite,アルベリテ遺跡
Tholos de El Romeral,トロス・デ・エル・ロメラル
Diputación Provincial de Jaén,ハエン県議会
embalse del Amadorio,アマドリオ貯水池
Copa del Atlántico (Canarias),コパ・デル・アトランティコ
Copa del Rey de Béisbol,コパ・デル・レイ・デ・ベイスボル
Condado de Miranda del Castañar,ミランダ・デル・カスタニャル伯爵
Condado de Morata de Jalón,モラタ・デ・ハロン伯
Condado de Priego,プリエゴ伯爵
Elecciones en Cantabria,カンタブリア州の選挙
Els Verds-Opció Verda,緑の党＝緑の選択
El Dueso,エル・ドゥエソ地区
Condado de Vilches,ビルチェス伯爵
Cruz Roja Española,スペイン赤十字
Club Atlético de Ceuta,ADセウタFC
elecciones a la Asamblea Regional de Cantabria de 1991,1991年カンタブリア自治州議会選挙
elecciones a la Asamblea Regional de Cantabria de 1995,1995年カンタブリア自治州議会選挙
elecciones a la Junta General del Principado de Asturias de 2007,2007年アストゥリアス自治州議会選挙
Ducado de San Carlos,サン・カルロス公爵位
Duque de San Jaime,サン・ハイメ公
Ducado de Segovia,セゴビア公
Estadio Municipal de Deportes El Mazo,エル・マソ
División de Honor de Vizcaya,ディビシオン・デ・オノール・レヒオナル
Escuela Oficial de Cine,スペイン国立映画学校
Entesa pel Progrés de Catalunya,カタルーニャ進歩協定
Entierro de la cuba,キューバの埋葬
Entrenadores del Club Atlético de Madrid,アトレティコ・マドリードの監督一覧
Club Deportivo Agustinos Alicante,CDアグスティノス・アリカンテ
Club Deportivo Atlético Paso,CDアトレティコ・パソ
Club Deportivo Elemental Sinfín Balonmano,バロンマノ・シンフィン
Embalse de Elda,エルダ・ダム
Embalse de Estremera,エストレメラ貯水池
Ducado de Bournonville,ブルノンヴィル公爵
Ducado de Linares,リナレス公爵
Duque de Madrid,マドリード公
Ducado de Medina de las Torres,メディーナ・デ・ラス・トレス公爵
Ducado de Monteleón,モンテレオーネ公爵
Ducado de Arión,アリオン公爵
Ducado de Atrisco,アトリスコ公爵
España en el Campeonato Mundial de Atletismo de 2007,2007年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 2009,2009年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 2011,2011年世界陸上競技選手権大会スペイン選手団
Vuelta al País Vasco 1984,バスク一周1984
Ducado de la Conquista,ラ・コンキスタ公爵
Ducado de la Vega,ラ・ベガ公爵
Costa de Almería (equipo ciclista),アミカ・チップス
Cotiella,コティエーリャ山
Antena 3 Radio,アンテナ・3・ラジオ
Crucifixión,キリストの磔刑 (フアン・デ・フランデス)
Escabas,エスカバス川
Marquesado de Moya,モヤ侯爵
Ermita de San Félix,サン・フェリウ
Línea Madrid-Hendaya,ノルテ線
España en el Campeonato Mundial de Atletismo de 1983,1983年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1987,1987年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1991,1991年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1993,1993年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1995,1995年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1997,1997年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 1999,1999年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 2001,2001年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 2003,2003年世界陸上競技選手権大会スペイン選手団
España en el Campeonato Mundial de Atletismo de 2005,2005年世界陸上競技選手権大会スペイン選手団
FS Nazareno,レアル・ベティス・フットサル
Estación de Alfaro,アルファロ駅
Estación de Bobadilla,ボバディージャ駅
Estación de Calahorra,カラオラ駅
Ducado de Ripperdá,リッペルダ公爵
Ermita del Pópul,ポプル庵
Los Verdes de Andalucía,アンダルシーア緑の党
Embalse de María Cristina,マリア・クリスティーナ貯水池
Ediciones Siruela,エディシオネス・シルエラ
Farinato,ファリナート
Faro Punta de Rasca,プンタ・ラスカ灯台
Estrellados burgaleses,ブルゴスの星
Día de Asturias,アストゥリアスの日
Día de Castilla-La Mancha,カスティーリャ＝ラ・マンチャの日
Dúo Sacapuntas,ドゥオ・サカプンタス
Sindicatos de Trabajadores de la Enseñanza,教育労働者組合連合
Villaescusa de Ecla,ビジャエスクサ・デ・エクラ
Davalillo,ダバリーリョ
Espárragos montañeses,山のアスパラガス
Esquerra Republicana de Catalunya-Catalunya Sí,カタルーニャ共和主義左翼＝カタルーニャ・シ
Esquerra Republicana del País Valencià (Segunda República Española),バレンシア共和主義左翼 (1934-1936)
Esquerra de Menorca,メノルカ左翼
Esquivel,エスキベル
Estación de Aguilar de Campoo,アギラル・デ・カンポオ駅
Faro de Punta Delgada,プンタ・デルガーダ灯台
Faro de Punta Orchilla,オルチーリャ岬
salacenco,サラサル方言
Salamandra,サラマンドラ
Estación de Cercedilla,セルセディーリャ駅
Estación de Azitain,アシタイン駅
Círculo de Escritores Cinematográficos,映画作家サークル勲章
Llano de la Consolación,ジャノ・デ・ラ・コンソラション
Premio Tusquets de Novela,トゥスケ小説賞
Estación de Bembibre,ベンビブレ駅
Estación de La Robla,ラ・ロブラ駅
Fundación Infante de Orleans,オルレアン・インファンテ財団
Fundación Princesa de Asturias,アストゥリアス公妃財団
Carrera de San Jerónimo,カレラ・デ・サン・ヘロニモ
Sierra de Villafranca,ビリャフランカ山地
Hospital Universitario Ramón y Cajal,ラモン・イ・カハル大学病院
Estación de Manzanares,マンサナーレス駅
Hospital Universitario 12 de Octubre,ドセ・デ・オクトゥブレ病院
Fundación Blanquerna,ブランケルナ財団
Fundación Española del Corazón,スペイン・ハート財団
Hospital Virgen de la Victoria,ビルヘン・デ・ラ・ビクトリア大学病院
Estación de Guadalmedina,グアダルメディナ駅
Estación de Haro,アーロ駅
Estación de Haro-El Pardo,アーロ＝エル・パルド駅
Estación de Huelva,ウエルバ駅
Fábrica de La Felguera,フェルゲラ工場
Figón,フィゴン
Ferrocarril de Valdepeñas a Puertollano,バルデペナス・ア・プエルトッラノ鉄道
Ferrocarril directo Madrid-Burgos,102号線
Ferrocarriles de La Robla,ロブラ鉄道
Ferrón,フェロン
El Carracillo,カラシーリョ
Iglesia de Santiago el Real (Logroño),サンティアゴ・エル・レアル教会
Eguraldia24,エグラルディア24
Eje ferroviario transversal de Andalucía,アンダルシア横断鉄道軸
ElPozo,エルポソ・アリメンタシオン
El Chapatal,エル・チャパタル
El Confidencial,エル・コンフィデンシャル
Fernando Poo,フェルナンド・ポー
Gesto por la Paz de Euskal Herria,平和のための協会
Hoyos,オヨス
Peñíscola Fútbol Sala,ペニスコラFS
Hofmann,ホフマン
Festival Internacional de Cine de San Sebastián 1963,第11回サン・セバスティアン国際映画祭
Festival Solidario de Cine Español de Cáceres,カセレス・スペイン連帯映画祭
Festival de Cine de Islantilla,イスランティーリャ映画祭
Feudalismo en España,スペインの封建制
Fiesta de la Aceituna,オリーブ祭り
Gamonosa,ガモノーサ
Garbanzo de Fuentesaúco,フエンテサウコのヒヨコマメ
Gargantúa,ガルガントゥア
Gastronomía de la provincia de Burgos,ブルゴス料理
Gastronomía de la provincia de Palencia,パレンシア料理
Gastronomía de la provincia de Valladolid,バリャドリッド料理
Forna,フォルナ
iglesia de Nuestra Señora de la Asunción,サリェント教会
Golpe de Estado de Pavía,パビア将軍のクーデター
Gira Madrid-Los Verdes,ヒラ・マドリード＝緑の党
Fiesta de los enharinados,エルス・エンファリナッツ
Estación de Santander (Adif),サンタンデール駅
Grupo Hospitalario Quirón,バルセロナの病院
Grupo de Ejércitos de la Región Oriental,東軍
Guadiana Viejo,グアディアナ・ビエホ川
Estación de Zarzaquemada,サラサケマーダ駅
Candidatura Aragonesa de Unidad Democrática,民主的統一アラゴン候補
iglesia de Nuestra Señora de la Purificación,ヌエストラ・セニョーラ・デ・ラ・プリフィカシオン教会
Estación de Mieres-Puente,ミエレス・プエンテ駅
Estación de Monzón de Campos,モンゾン・デ・カンポス駅
Estación de Ponferrada,ポンフェラダ駅
Pico Jano,ハーノ峰
Frite,フリテ
La Paz,ラ・パス
Estación de Pola de Lena,ポラ・デ・レナ駅
Estación de Tardienta,タルディエンタ駅
Fuerte de San Carlos (Puebla de Sanabria),サン・カルロス城砦
Fuertes de Santoña,サントーニャの要塞群
La Clerecía,ラ・クレレシア
Iglesia del antiguo Hospital de la Concepción,オスピタル・デ・ラ・コンセプシオン教会
Río Luna,ルーナ川
Estación de Ramón y Cajal,ラモン・イ・カハル駅
Estación de Reinosa,レイノサ駅
Iglesia de San Andrés,アスティガリビアのサン・アンドレス教会
Estadio Camp Nou Municipal,エスタディ・ムニシパル・ダ・レウス
La Fontana de Oro (fonda),ラ・フォンタナ・デ・オロ
iglesia de El Salvador,エル・サルバドール教会 (タラベラ・デ・ラ・レイナ)
Herrera,エレーラ
Guerra hispano-rusa,スペイン・ロシア戦争
Hauser y Menet,Hauser y Menet
Hermandad General de Andalucía,エルマンダード・ヘネラル・デ・アンダルシア
"Instituto Volcanológico de Canarias, S.A.",カナリア諸島火山学研究所
Casa de Burgo,バーク家
Ingenieros Industriales Las Rozas Rugby,インヘニエロス・インドゥストリアレス・ラス・ロサス・ラグビー
Hércules Club de Fútbol (femenino),エルクレスCF (女子)
Hipódromo Municipal de San Sebastián,サン・セバスティアン市立競馬場
Hispania Nostra,イスパニア・ノストラ
historia de Badajoz,バダホスの歴史
Historia de Córdoba (España),コルドバの歴史 (スペイン)
historia de Getafe,ヘタフェの歴史
Lago Gento,エスタニー・ゲント
Laguna Grande de Gredos,グランデ・デ・グレドス湖
Laguna Negra de Urbión,ラグーナ・ネグラ・デ・ウルビオン
Laguna de Manjavacas,マンハバカス湖
Laguna de Medina,メディーナ湖
Iglesia de San Francisco Javier,サン・フランシスコ・ハビエル教会 (カセレス)
Iglesia de San Francisco Javier,サン・フランシスコ・ハビエル教会 (ピント)
La Pinareja,ラ・ピナレハ山
Fueros de Benavente,フエロ・デ・ベナベンテ
iglesia de San Lázaro,聖ラザロ教会
historia de Miranda de Ebro,ミランダ・デ・エブロの歴史
historia de Toledo,トレドの歴史
historia de la Comunidad de Madrid,マドリード州の歴史
Línea Bobadilla-Algeciras,ボバディーリャとアルヘシラスを結ぶ路線
línea 2 (Metro de Málaga),マラガ地下鉄2号線
Iscomar,イスコマー
Isolux Corsán,イソリュックス・コルサン
Depresión de Antequera,アンテケーラ盆地
Instituto de Investigaciones Biomédicas Alberto Sols,アルベルト・ソルス生物医学研究所
Instituto Borja de Bioética,ボルハ生命倫理インスティテュート
Instituto Juan de Mariana,ファン・デ・マリアナ研究所
iglesia de San Vicente (Toledo),サン・ビセンテ教会
iglesia de San Pedro,サン・ペドロ教会 (テルエル)
iglesia de Santa Cruz,サンタ・クルス教会 (エシハ)
Monasterio de Nuestra Señora de los Huertos (Sigüenza),ウエルトスの聖母修道院
iglesia de San Pedro Apóstol,サン・パレ
Instituto de la Cinematografía y de las Artes Audiovisuales,シネマトグラフィーおよびオーディオビジュアルアート研究所
Intercatia,インテルカティア
La Rioja,ラ・リオハ(新聞)
Langarto,ランガルト
basílica de Santa Maria de los Reales Alcázares,サンタ・マリア聖堂 (ウベダ)
Iglesia de Santa María del Puerto (Santoña),サンタ・マリーア・デル・プエルト教会
Línea de alta velocidad Antequera-Granada,アンテケラ - グラナダ高速線
Línea de alta velocidad Sevilla-Huelva,セビリア - ウエルバ高速線
Línea de alta velocidad Valladolid-Palencia-León,バリャドリッド - パレンシア - レオン高速線
Línea de alta velocidad Venta de Baños-Burgos-Vitoria,ベンタ・デ・バニョス-ブルゴス-ビトリア高速線
Monasterio Agaliense,アガリ修道院
La Santa Cena (Juan de Juanes),最後の晩餐
La Serrota,ラ・セロータ
Hermandad de las Cuatro Villas,カンタブリア四都市兄弟会
Marquesado de Cerralbo,セラルボ侯爵
Marquesado de Coria,コリア侯
Marquesado de Eliche,エリチェ侯爵
Marquesado de Salinas del Río Pisuerga,サリナス・デル・リオ・ピスエルガ侯爵
Marquesado de San Vicente del Barco,初代サン・ヴィセンテ・デル・バルコ侯爵
Marquesado de Lede,レーデ侯爵
