José Luis Panizo,ホセ・ルイス・パニーソ
Francisco Pérez de los Cobos,フランシスコ・ペレス・デ・ロス・コボス
Francisco de Paula Fernández,フランシスコ・デ・ポーラ・フェルナンデス
Manuel Alviach,マヌエル・アルバ
Sergi Samper,セルジ・サンペール
Samuel García Sánchez,サムエル・ガルシア・サンチェス
Víctor del Árbol,ビクトル・デル・アルボル
Ángel Víctor Torres Pérez,アンヘル・ビクトル・トーレス
David Costas Cordal,ダビド・コスタス
Fran Silvestre,Fran Silvestre
Álvaro García Rivera,アルバロ・ガルシア
Jorge Muriel Jiménez,ホルヘ・ムリエル・ヒメネス
Enrique González Casín,エンリケ・ゴンサレス・カシン
Joan Campins,ジョアン・カンピンス
Jessica Rivero,ジェシカ・リベロ
Manuel Jiménez Barrios,マヌエル・ヒメネス・バリオス
Fernando Diaz Martin-Escudero,フェルナンド・ディアス・マルティン＝エスクデロ
Leila Ouahabi Monte,レイラ・ウアハビ
Sara Moreno,サラ・モレノ
Jordi Samper Montaña,ジョルディ・サンペール＝モンターニャ
Álvaro Medrán,アルバロ・メドラン
Joaquín M. Fuster,ホアキン・フステル
Josep Sánchez Llibre,ジュゼップ・サンチェス・イ・リブレ
Carlos Fernández Luna,カルロス・フェルナンデス・ルナ
Juan de Olazábal Ramery,フアン・オラサバル・ラメリー
Kevn,ケビン・フェルナンデズ
Héctor Bellerín,エクトル・ベジェリン
José Arregui Yparaguirre,ヨセフ・アレギ・イパラギレ
Keita Baldé Diao,ケイタ・バルデ・ディアオ
Santiago Irigoyen,サンティアゴ・イリゴージェン
Adrián Gallardo Valdés,バルデス
Ana María Carrón García,アナ・マリア・カロン・ガルシア
Alejandro Sánchez Palomero,アレハンドロ・サンチェス・パロメロ
Andrés Prieto Albert,アンドレス・プリエト
Roberto Carballés,ロベルト・カルバリェス・バエナ
Aday Benítez,アダイ・ベニテス
Sandra Aguilar,サンドラ・アギラール
Marco Asensio,マルコ・アセンシオ
Hugo Álvarez,ウーゴ・アルバレス
Josep Maria Cullell,ジョセップ・マリア・カレル
Raúl Albentosa,ラウール・アルベントーサ
Alberto Jiménez Benítez,アルベルト・ヒメネス (サッカー選手)
Cristian Ceballos,クリスティアン・セバージョス
Fernando Martínez Rubio,フェルナンド・マルティネス・ルビオ
Montserrat Alcoverro,モントセラト・アルカベロ
Fernando Vérgez Alzaga,フェルナンド・ベリゲス・アルサガ
Alfonso Abelenda,アルフォンソ・アベレンダ
Eduardo Barinaga,エドゥアルド・バリナガ
"Nicolás de Carvajal, Marqués de Sarriá",サリア侯爵ニコラス・デ・カルバハル・イ・ランカストル
Manuel Romerales Quintero,マヌエル・ロメラレス・キンテロ
Jose Emilio Bertomeu Rio,ホセ・エミリオ・ベルトメウ・リオ
Fernando Arias González,フェルナンド・アリアス
Pilar Fernández de la Mora,ピラール・フェルナンデス・デ・ラ・モーラ
Adama Taoré Diarra,アダマ・トラオレ
Adrián Embarba Blázquez,アドリ・エンバルバ
José Antonio Martínez Lapeña,ホセ・アントニオ・マルティネス・ラペーニャ
Andreu Arriola,アンドリュー・アリオラ
José María Gil Tamayo,ホセ・マリア・ヒル・タマヨ
Joseba Zaldua,ホセバ・サルドゥア
Pere Aragonès,ペレ・アラゴネス
Ayoze Pérez,アジョセ・ペレス
Arturo Tamayo,アルトゥーロ・タマヨ
Raúl Pardos Peiró,ラウル・パルドス・ペイロ
José Luis Gayà Peña,ホセ・ルイス・ガヤ
Jordi Sebastià i Talavera,ジョルディ・サバスティアー
Vicente Zarzo Pitarch,ビセンテ・サルソ
Guillem Vives,ギリェム・ビベス
Juan Manuel Prieto Velasco,フアン・マヌエル・プリエト
Neus Ballús i Montserrat,ネウス・バリュス
Kenny Prince Redondo,ケニー・プリンス・レドンド
José Tomás,ホセ・トマス
Martí Gasull i Roig,マルティ・ガスル・イ・ローチ
Carlos Clerc,カルロス・クレルク
Lucas Torró,ルーカス・トロ
Lloll Bertran,ロル・バートラン
Ramón Padró y Pedret,ラモン・パドロ・イ・ペドレット
Sócrates Parri Romero,ソクラテス・パリ
Matías Nahuel Leiva,マティアス・ナウエル
Pep Cruz,ペップ・クルーズ
Josep Maria Bartomeu,ジョゼップ・マリア・バルトメウ
José Manuel Díaz Fernández,ホセ・マヌエル・ディアス
Hovik Keuchkerian,ホヴィク・ケウチケリアン
Pau Civil i Costa,パブロ・シビル
Diego Rico,ディエゴ・リコ
Antonio Llardén,アントニオ・ラルデン
Sergio del Molino,セルヒオ・デル・モリノ
Antonio Maíllo,アントニオ・マイージョ・カニャーダス
José Heriberto García de Quevedo,ホセ・エリベルト・ガルシア・デ・ケベード
Matt Cook,マット・クック
Joan Chamorro,ジョアン・チャモロ
Lourdes Mohedano,ルルデス・モエダーノ
Laura Conejero,ラウラ・コネヘーロ
Víctor Lobo Escolar,ビクトル・ロボ
Juan de Landa,ファン・デ・ランダ
Miguel Herráez,ミゲル・エッライズ
Raquel Sánchez Jiménez,ラケル・サンチェス・ヒメネス
Antonio Jesús Regal Angulo,アントニオ・ヘスス・レガル・アングロ
Raquel Barrientos,ラケル・バリエントス
Cosme de Acuña,コスメ・デ・アクニャ
Sara Sálamo,サラ・サラモ
Isabel Pagán,イサベル・パガン
Cristian Herrera,クリスティアン・エレーラ
Bernat Vilaplana,ベルナ・ビラプラーナ
Víctor Pablo Pérez,ヴィクトル・パブロ・ペレス
Lluís Corominas i Díaz,リュイス・クルミーナス
María Sefidari,マリア・セフィダリ
Pepe Juan,ペペ・フアン
Alicia Remirez,アリシア・レミレス
Julio Pleguezuelo,フリオ・プレゲスエロ
Imanol Rojo,イマノル・ロホ
Charlotte Vega,シャルロッテ・ベガ
Irene Rigau Oliver,イレーネ・リガウ・イ・オリベル
Fernando Barrachina,フェルナンド・バラチナ
Manuel Ángel Botubot,マヌエル・アンヘル・ボトゥボト
Astou Ndour,アストウ・ヌドゥール
Alexandre Cuéllar i Bassols,アレシャンドレ・クエリャール
Juan Spottorno y Topete,フアン・スポトルノ・イ・トペテ
Wilson Alfredo Jones,ウィルソン・ジョーンズ
Loreto Achaerandio,ロレート・アチャエランディオ
Laura Morera,ラウラ・モレーナ
Adelfa Calvo,アデルファ・カルボ
Alex Puente Tasias,アレックス・プエンテ・タシアス
Sebastián de Segurola,セバスティアン・デ・セグロラ
Josu Juaristi,ジョス・ジュアリスティ
Juan Manuel Moreno Bonilla,フアン・マヌエル・モレーノ
Aridane Jesús Santana Cabrera,アリダーネ・サンターナ
Josep Roca i Fontané,ジュゼップ・ロカ
Lidia Redondo,リディア・レドンド
Arancha González Laya,アランチャ・ゴンサレス・ラヤ
Rubén Yáñez,ルベン・ジャニェス
Cristian Portugués,クリスティアン・ポルトゥゲス・マンサネラ
Katia Griffiths,カティア・グリフィス
Xuso Jones,フソ・ジョーンズ
Manuel Molina García,マヌエル・モリーナ・ガルシア
Àngels Gregori,アンジェルス・グラゴリ
Pedro Díez del Corral,ペドロ・ディエス・デル・コラル
Jordi Turull,ジョルディ・トゥルイ
Juan de Valdés Carasquilla,フアン
Fernando Sainz,郭徳剛
Luis González-Mestres,ルイス・ゴンザレス・メストレ
José Cruz,ホセ・クルーズ (1984年生の外野手)
Víctor Camarasa,ビクトル・カマラサ
Carlos del Amor,カルロス・デル・アモール
Rafael Patxot i Jubert,ラファエル・パチョット
Marta García,マルタ・ガルシア
Santos Hernández,サントス・エルナンデス (ギター製作者)
Manuel Toledano,マヌエル・トレダノ
Rodrigo Corrales,ロドリゴ・コラレス
Iker Begoña,イケル・ベゴーニャ
Alvarito Ruiz,アルバリト・ルイス
Cristina de Middel,クリスティーナ・デ・ミデル
Íñigo Errejón,イニゴ・エレホン・ガルバン
Iñigo Ros,イニゴ・ロス
Aritz Elustondo,アリツ・エルストンド
Silvia Meseguer,シルビア・メセゲール
María del Mar Fernández,マリア・デル・マル・フェルナンデス
Juan Manuel Espinosa Valenzuela,フアンマ (1984年生のサッカー選手)
Julio Rodríguez Martínez,フリオ・ロドリゲス
Dani Ceballos,ダニ・セバージョス
Cristóbal de Moscoso y Montemayor,クリストバル・デ・モスコーソ・イ・モンテマイヨル
Laro Herrero,ラロ・エレーロ
Virginia Torrecilla,バージニア・トレシラ
María José Sánchez Rubio,マリア・ホセ・サンチェス・ルビオ
Noboru Kinoshita,木下登
Veronica Grigorieva,ベロニカ・グリゴリエワ
Albert Vivancos Roig,アルベルト・ビバンコス
Miguel San Román,ミゲル・サン・ロマン
Óscar Whalley,オスカル・ウォーリー
Mercedes Peñas Domingo,メルセデス・ペニャス・ドミンゴ
José Manuel Rodríguez Benito,チェマ・ロドリゲス
Olga Pericet,オルガ・ペリセット
Joan Tuset i Suau,Joan Tuset Suau
Jaume Padró i Cots,ジャウマ・パドロ・イ・コッツ
Tomàs Padró i Marot,トマース・パドロ・イ・マロー
José Luis Morales Nogales,ホセ・ルイス・モラレス
Manuel Garcia i Grau,マヌエル・モリーナ・イ・グラウ
Ander Capa,アンデル・カパ
Javier Moyano Lujano,ハビ・モジャノ
Pascual Maria Estruch,パスクアル・マリア・エストルッチ
Juan Manuel García García,フアン・マヌエル・ガルシア・ガルシア
Raúl Rodríguez Navas,ラウール・ナバス
Sergio Postigo Redondo,セルヒオ・ポスティゴ
Francisco Ballester,フランシスコ・バジェステル
Eugenia de Borbón y Vargas,エウヘニア・デ・ボルボーン・イ・バルガス
Planeta,エル・プラネータ
Pablo Martín-Aceña,パブロ・マーティン・アセニャ
Daniel García Carrillo,ダニエル・ガルシア・カリージョ
Roque Mesa,ロケ・メサ
Nahikari Garcia,ナヒカリ・ガルシア
Ramón Cobo Antoranz,ラモン・コボ
Jaime Mata Arnaiz,ハイメ・マタ
Andrés Felipe Montoya Pulgarín,アンドレス・フェリペ・モントーヤ
David Gónzalez Plata,ダビド・ゴンサレス・プラタ
Maikel Mesa,マイケル・メサ
Román Ribera Cirera,ローマ・リベラ・イ・シレラ
Pablo Echenique,パブロ・エチェニケ
Vicenç Martínez i Alama,ビセンテ・マルティネス
Alexandre Moreno Lopera,アレックス・モレノ
Juan Manuel Delgado Lloria,フアンマ・デルガド
Saladina Jota,サラディナ・ホタ
Joan Carrillo,ジョアン・カリージョ
Iván López Mendoza,イバン・ロペス・メンドーサ
Francisco Varela Martín,フランシスコ・バレーラ・マルティン
Iván López Álvarez,イバン・ロペス・アルバレス
Jason Remeseiro,ジェイソン・レメセイロ
Helia González,ヘリア・ゴンザレス
Salvador Minguijón Adrián,サルバドール・ミンギホン・アドリアン
Beñat Txoperena,ベニャト・チョペレナ
Rufo Sánchez,ルフィーノ・サンチェス
Yulen Pereira,ジュレン・ペレイラ
Jorge Navarro,ホルヘ・ナバーロ
Carlos Vigaray,カルロス・ビガライ
Isaac Gómez,イサック・ゴメス・サンチェス
Antonio Iznata,アントニオ・イズナタ・ディマス
Rubén Sobrinas,ルベン・ソブリーノ
Clément Lenglet,クレメント・ラングレ
Diego Poyet,ディエゴ・ポジェ
Narciso Blanch e Illa,ナルシス・ブランチ・イ・イラ
Masumi Mutsuda,睦田真澄
Juan Carlos Barcos Nagore,フアン・カルロス・バルコス
Fernando Coma,フェルナンド・コーマ
Alfonso González-Calero,アルフォンソ・ゴンサレス＝カレーロ
Aritz Maestu Babarro,アリツ・マエストゥ
Diego García Carrera,ディエゴ・ガルシア
Cintia Rodríguez Rodríguez,シンティア・ロドリゲス
José Manuel García Naranjo,ホセ・ナラウホ
Antonio Alonso,アントニオ・アロンソ
Monica Gimeno,モニカ・ヒメノ
Antón Martínez,アントン・マルティネス
Francisco Nortes,フランシスコ・ノルテ
Jaume Antoni Munar Clar,ハウメ・ムナル
Gregorio Chil y Naranjo,グレゴリオ・チル・イ・ナランホ
Gregorio Muro,グレゴリオ・ムロ
Carlos de Borbón,カルロス・デ・ボルボン＝ドス・シシリアス・イ・オルレアンス
Cayetana Álvarez de Toledo Peralta-Ramos,カイエターナ・アルバレス・デ・トレド
Miguel Blesa,ミゲル・ブレサ
Leonor Rodríguez,レオノール・ロドリゲス
Rubén Cortada,ルベン・コルターダ
Laia Costa,ライア・コスタ
Cristóbal de Morales,クリストバル・デ・モラーレス
Juan Manuel Canós,フアン・マヌエル・カノス
José Checa Calvo,ホセ・チェカ・カルボ
Dionisio Scarlatti y Aldama,ディオニシオ・スカルラッティ・イ・アルダマ
Josep Seguí i Pujol,ジョセップ・セギ
José Herrero Berrendero,ホセ・ベレンデーロ
Claudio Serrano,クラウディオ・セラーノ
Jordi Cruz Mas,ジョルディ・クルス
Federico de Madrazo y Ochoa,フェデリコ・デ・マドラーソ・イ・オチョア
Eva Calvo Gómez,エバ・カルボ・ゴメス
Antonio Guirau,アントニオ・ギラウ
Fernando González Molina,フェルナンド・ゴンサレス・モリナ
Natalia de Molina,ナタリア・デ・モリーナ
José Antonio Pérez Tapias,ホセ・アントニオ・ペレス・タピアス
Juan Carlos Girauta,フアン・カルロス・ヒラウタ・ビダル
Fernando Franco García,フェルナンド・フランコ
Faustino Cueli Arce,ファウスティーノ・クエリ
Margarida Minguillón i Aran,マルガリーダ・ミンギロン・イ・アラン
Pep Puigdemont,ペップ・プッチダモン
Jaime de Borbón-Dos Sicilias,ハイメ・デ・ボルボン＝ドス・シシリアス・イ・ランダルーセ
Nano Mesa,ナノ・メサ
Mateo Rubio Díaz,マテオ・ルビオ
Saúl García,サウール・ガルシア
Artemi Gavezou-Castro,アルテミ・ガヴェソ
Igor Merino,イゴール・メリーノ
Pablo Jaramillo Gallardo,パブロ・ハラミリョ ガリャルド
Ignacio Mercero,イグナシオ・メルセロ
Manuel Herrera López,マヌエル・エレーラ・ロペス
Ibai Salas,イバイ・サラス
Maria Pau Pigem,マリア・パウ・ピジェム
Isabel García Tejerina,イサベル・ガルシア・テヘリナ
Ramón Polo Pardo,ラモン・ポロ
Elena López,エレーナ・ロペス
Mar Targarona,マル・タルガローナ
Sílvia Muñoz d'Imbert,シルビア・ムニョス・ディンベルト
Pedro de Alcántara de Borbón,ペドロ・デ・アルカンタラ・デ・ボルボン
Jordi Roca i Fontané,ジョルディ・ロカ
"Manuel Críspulo González y Soto, I marqués de Bonanza",マヌエル・クリスプロ・ゴンサーレス・イ・ソト
María José Salvador,マリア・ホセ・サルバド
Alejandro Sánchez Gómez,アレハンドロ・サンチェス・ゴメス
Jesús Palacios Tapias,ヘスス・パラシオス・タピアス
