ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
jonathan bellés,ホナタン・ベール,honatan・bēru
enrique lópez pérez,エンリケ・ロペス・ペレス,enrike・ropesu・peresu
juli soler,ジュリー・ソラー,jurī・sorā
enrique laporta,エンリケ・ラポルタ,enrike・raporuta
xabi ortuzar,シャビ・オルトゥサル,shabi・orutusaru
isidoro cabanyes,イシドーロ・カバーニャス,ishidōro・kabānyasu
rosana castrillo díaz,ロサンナ・カストリーリョ・ディアス,rosanna・kasutorīryo・diasu
césar pérez gellida,セサル・ペレス・ヘリーダ,sesaru・peresu・herīda
marian arahuetes,マリアン・アラフエテス,marian・arafuetesu
álvaro morte,アルバロ・モルテ,arubaro・morute
davide salvado,ダビデ・サルバド,dabide・sarubado
enriqueta tarrés,エンリケタ・タレス,enriketa・taresu
cristo gonzález,クリスト・ゴンサレス,kurisuto・gonsaresu
adriana lastra,アドリアーナ・ラストラ,adoriāna・rasutora
francesc d'assís guixeras i viñas,フランセスク・ダシス・ギシェラス・イ・ビニャス,furansesuku・dashisu・gisherasu・i・binyasu
jose mari goenaga,ホセ・マリア・ゴエナガ,hose・maria・goenaga
juan ignacio de madariaga,フアン・イグナシオ・デ・マダリアガ,fuan・igunashio・de・madariaga
alberto díaz,アルベルト・ディアス,aruberuto・diasu
diego rubio,ディエゴ・ルビオ,diego・rubio
luis bajo,ルイス・バジョ,ruisu・bajo
payo juan manuel,パヨ・ファン・マヌエル,payo・fan・manueru
antonio pradas,アントニオ・パラーダス,antonio・parādasu
concepción aleixandre,クンセプシオン・アレイシャンドラ,kunsepushion・areishandora
amalia ulman,アマリア・ウルマン,amaria・uruman
nuria velasco,ヌリア・ベラスコ,nuria・berasuko
francesc viñas i renom,フランセスク・ビニャス・イ・レノム,furansesuku・binyasu・i・renomu
javier pulido,ハビエル・プリード,habieru・purīdo
matías barrio y mier,マティアス・バリオ・イ・ミエル,matiasu・bario・i・mieru
manuel gallardo méndez,マヌエル・ガリャルド・メンデス,manueru・garyarudo・mendesu
jaume mimó i llobet,ジャウマ・ミモー・イ・リュベット,jauma・mimō・i・ryubetto
josé barinaga,ホセ・バリナガ,hose・barinaga
david garcía vázquez,デビッド・ガルシア・バスケス,debiddo・garushia・basukesu
el risitas,エル・リシタス,eru・rishitasu
gabriel josé de zuloaga moyúa,ガブリエル・ホセ・デ・スロアガ・モユア,gaburieru・hose・de・suroaga・moyua
rafael mayoral,ラファ・マジョラル,rafa・majoraru
mauricio valiente,マウリシオ・バリエンテ,maurishio・bariente
sonia abejón,ソニア・アベホン,sonia・abehon
joaquín moya,ホアキン・モヤ,hoakin・moya
maría josé garcía borge,マリア・ホセ・ガルシア・ボルヘ,maria・hose・garushia・boruhe
gabriella morreale,ガブリエッラ・モッレアーレ,gaburierra・morreāre
david garcía zubiría,ダビド・ガルシア・スビリア,dabido・garushia・subiria
victòria pagès,ヴィクトリア・パジェス,vikutoria・pajesu
sara sorribes tormo,サラ・ソリベス・トルモ,sara・soribesu・torumo
pedro martínez losa,ペドロ・マルティネス・ロサ,pedoro・marutinesu・rosa
javier garcimartín,ハビエル・ガルシマルティン,habieru・garushimarutin
ander barrenetxea,アンデル・バレネチェア,anderu・barenechea
pedro del hierro,ペドロ・デル・イエロ,pedoro・deru・iero
cristo reyes,クリスト・レイズ,kurisuto・reizu
miriam cabeza,ミリアム・カベサ,miriamu・kabesa
jordi casals i ariet,ジョルディ・カザルス・イ・アリエット,jorudi・kazarusu・i・arietto
tini,ティニ,tini
josé antonio llorente,ホセ・アントニオ・リョレンテ,hose・antonio・ryorente
jimmy gimferrer,ジミー・ギンフェラー,jimī・ginferā
kiko matamoros,キコ・マタモロス,kiko・matamorosu
josé c vales,ホセ・カレス・ヴェイルズ,hose・karesu・vuェiruzu
román galarraga,ロマン・ガララガ,roman・gararaga
miguel urbán,ミゲル・ウルバン,migeru・uruban
jon garcía herrero,ヨン・ガルシア・エレーロ,yon・garushia・erēro
francisco martínez y martínez,フランシスコ・マルティネス・イ・マルティネス,furanshisuko・marutinesu・i・marutinesu
josé luis guarner,ホセ・ルイス・グアルネル,hose・ruisu・guaruneru
carles vilarrubí i carrió,カルレス・ビラルビ・イ・カリオ,karuresu・birarubi・i・kario
brian cross,ブライアン・クロス,buraian・kurosu
maría josé moreno,マリア・ホセ・モレノ,maria・hose・moreno
miguel ángel benito,ミゲル・アンヘル・ベニート,migeru・anheru・benīto
isaac cordal,イサーク・コルダル,isāku・korudaru
nerea barros,ネレア・バロス,nerea・barosu
laila karrouch,ライラ・カルーシュ,raira・karūshu
carlos maría esquivel,カルロス・マリア・エスキベル,karurosu・maria・esukiberu
javier rodríguez,ハビエル・ロドリゲス,habieru・rodorigesu
ester capella i farré,エステル・カペラ・イ・ファレ,esuteru・kapera・i・fare
jordi sànchez i picanyol,ジョルディ・サンチェス・イ・ピカニョル,jorudi・sanchesu・i・pikanyoru
darío brizuela,ダリオ・ブリズエラ,dario・burizuera
alicia framis,アリシア・フラミス,arishia・furamisu
benjamín prades,ベンジャミン・プラデス,benjamin・puradesu
andrés herzog,アンドレス・ヘルツォーク,andoresu・herutsōku
francisco núñez olivera,フランシスコ・ヌニェス・オリベラ,furanshisuko・nuniェsu・oribera
álvaro cuadros,アルバロ・クアドロス,arubaro・kuadorosu
lluís domènech i girbau,リュイス・ドメネク・イ・ジルバウ,ryuisu・domeneku・i・jirubau
martin merquelanz,マルティン・メルケランス,marutin・merukeransu
taurino mariano losa,タウリーノ・マリアーノ・ロサ,taurīno・mariāno・rosa
mariano royo urieta,マリアーノ・ロージョ・ウリエタ,mariāno・rōjo・urieta
ricardo arredondo calmache,リカルド・アレドンド・カルマチェ,rikarudo・aredondo・karumache
ángel amorós riquelme,アンヘル・アモロス・リケルメ,anheru・amorosu・rikerume
josé maría martínez lópez,ホセ・マリア・マルティネス・ロペス,hose・maria・marutinesu・ropesu
iñaki elizalde,イニャキ・エリサルデ,inyaki・erisarude
armando martínez,アルマンド・マルティネス,arumando・marutinesu
edurne berrio,エドゥルネ・ベリオ,edurune・berio
alex remiro,アレックス・レミロ,arekkusu・remiro
maría luisa solá,マリア・ルイサ・ソラ,maria・ruisa・sora
paulí castells i vidal,パウリ・カステルス・イ・ビダル,pauri・kasuterusu・i・bidaru
juanfer andrés,フアンフェル・アンドレス,fuanferu・andoresu
verónica pérez fernández,ベロニカ・ペレス・フェルナンデス,beronika・peresu・ferunandesu
marina castaño,マリーナ・カスターニョ,marīna・kasutānyo
marta ortega pérez,マルタ・オルテガ・ペレス,maruta・orutega・peresu
pablo iglesias gonzález,パブロ・イグレシアス・ゴンサーレス,paburo・igureshiasu・gonsāresu
mercedes león,メルセデス・レオン,merusedesu・reon
josé manuel castro,ホセ・マヌエル・カストロ,hose・manueru・kasutoro
xosé ferreiro,ショセ・フェレイロ,shose・fereiro
manuel molina jiménez,マヌエル・モリーナ・ヒメネス,manueru・morīna・himenesu
ramón maría otero,ラモン・マリア・オテロ,ramon・maria・otero
ignacio basallo,イグナシオ・バサジョ,igunashio・basajo
nacho murgui,ナチョ・ムルギ,nacho・murugi
josé manuel vela bargues,ホセ・マヌエル・ベラ・バルケス,hose・manueru・bera・barukesu
héctor sáez,エクトル・サエス,ekutoru・saesu
chechu salgado,チェチュ・サルガド,chechu・sarugado
david llorente vaquero,ダビド・リョレンテ・バケロ,dabido・ryorente・bakero
curro royo,クーロ・ロヨ,kūro・royo
maría teresa gonzález quevedo,マリア・テレサ・ゴンサレス・ケベド,maria・teresa・gonsaresu・kebedo
manuel bermúdez arias,マヌエル・ベルムデス・アリアス,manueru・berumudesu・ariasu
estacio de lacerna,エスタシオ・デ・ラセルナ,esutashio・de・raseruna
óliver laxe,オリヴェル・ラセ,orivuェru・rase
santiago rey pedreira,サンティアゴ・レイ・ペドレイラ,santiago・rei・pedoreira
albano dante fachin,アルバーノ・ダンテ・ファチン,arubāno・dante・fachin
luis borrajo,ルイス・ボラホ,ruisu・boraho
lito portela,リト・ポルテラ,rito・porutera
eduard vieta,エドゥアルド・ヴィエタ,eduarudo・vieta
guillermo zapata romero,ギジェルモ・サパータ・ロメーロ,gijerumo・sapāta・romēro
din matamoro,ディン・マタモロ,din・matamoro
xavier ríos,シャビエル・リオス,shabieru・riosu
pedro cañón fernández,ペドロ・カニョン・フェルナンデス,pedoro・kanyon・ferunandesu
isidoro brocos,イシドロ・ブロコス,ishidoro・burokosu
francisco vázquez díaz,フランシスコ・バスケズ・ディアズ,furanshisuko・basukezu・diazu
meritxell gené,メリトセル・ジェネ,meritoseru・jene
silverio rivas,シルベリオ・リバス,shiruberio・ribasu
berta álvarez cáccamo,ベルタ・アルバレス・カッカモ,beruta・arubaresu・kakkamo
josé gambino,ショセ・ガンビノ,shose・ganbino
manolo paz,マノロ・パス,manoro・pasu
arturo andrade,アルテゥロ・アンドラデ,aruteゥro・andorade
alejandro palomas,アレクサンダー・パロマス,arekusandā・paromasu
luísa merelas,ルイサ・メレラス,ruisa・mererasu
xoán anleo,ショアン・アンレオ,shoan・anreo
francisco coloma y maceda,フランシスコ・コロマ・イ・マセダ,furanshisuko・koroma・i・maseda
josé molares,ホセ・モラレス,hose・moraresu
luís torras,ルイス・トラス,ruisu・torasu
pedro antonio sánchez,ペドロ・アントニオ・サンチェス,pedoro・antonio・sanchesu
jorge ortiz mendoza,ホルヘ・オルティス・メンドーサ,horuhe・orutisu・mendōsa
peris carbonell,ペリス・カルボネイ,perisu・karubonei
iván luengo,イヴァン・ルエンゴ,ivan・ruengo
josé maría sánchez martínez,ホセ・マリア・サンチェス・マルティネス,hose・maria・sanchesu・marutinesu
ricardo de burgos bengoechea,リカルド・デ・ブルゴス・ベンゴエチェア,rikarudo・de・burugosu・bengoechea
valeria vereau,ヴァレリア・ヴェロー,vareria・vuェrō
juan alfonso garcía garcía,フアン・アルフォンソ・ガルシア・ガルシア,fuan・arufonso・garushia・garushia
guillermo cameselle,ギジェルモ・カメセジェ,gijerumo・kameseje
camilo seira,カミロ・セイラ,kamiro・seira
jabi elortegi,ジャビ・エロテギ,jabi・erotegi
dolores español,ドロレス・エスパニョール,dororesu・esupanyōru
josé sanjurjo rodríguez,ホセ・サンフルホ・ロドリゲス,hose・sanfuruho・rodorigesu
antonio latorre grueso,アントニオ・ラトーレ・グルエソ,antonio・ratōre・gurueso
alejandro ceballos casillas,アレハンドロ・セバージョス・カシージャス,arehandoro・sebājosu・kashījasu
ramón pereda,ラモン・ペレーダ,ramon・perēda
oriol roca batalla,オリオル・ロカ・バターリャ,orioru・roka・batārya
josep artigas morraja,ジョゼップ・アルティガス・モラハ,jozeppu・arutigasu・moraha
israel elejalde,イスラエル・エレハルデ,isuraeru・ereharude
lorena roldán,ロレナ・ロルダン,rorena・rorudan
alvar gordejuela,アルバー・ゴルデジュエラ,arubā・gorudejuera
manuel garnica serrano,マヌエル・ガルニカ・セラーノ,manueru・garunika・serāno
vicente unamuno,ビセンテ・ウナムノ,bisente・unamuno
josé antonio ferrández pomares,ホセ・アントニオ・フェルナンデス・ポマレス,hose・antonio・ferunandesu・pomaresu
teresa font,テレサ・フォント,teresa・fonto
lole montoya,ロレ・モントーヤ,rore・montōya
trihas gebre,トリハス・ゲブレ,torihasu・gebure
ilias fifa,イリアス・フィファ,iriasu・fifa
pablo lópez,パブロ・ロペス,paburo・ropesu
santiago méndez de vigo y méndez de vigo,サンチャゴ・メンデス・デ・ビーゴ・イ・メンデス・デ・ビーゴ,sanchago・mendesu・de・bīgo・i・mendesu・de・bīgo
ana isabel camacho,アナ・イサベル・カマーチョ,ana・isaberu・kamācho
daniel lópez,ダニエル・ロペス,danieru・ropesu
georgina cisquella,ジョルジーナ・シスケラ,jorujīna・shisukera
ángel de gracia,アンヘル・デ・グラシア,anheru・de・gurashia
ariadna jiménez,アリアドナ・ヒメネス,ariadona・himenesu
daniel albiac,ダニエル・アルビアック,danieru・arubiakku
antonio pedrero,アントニオ・ペドレロ,antonio・pedorero
javier guerra,ハビエル・ゲラ,habieru・gera
adri castellano,アドリアン・カステジャーノ,adorian・kasutejāno
eva granados,エバ・グラナードス,eba・guranādosu
jorge arcas,ホルヘ・アルカス,horuhe・arukasu
luis garcía de llera y rodríguez,ルイス・ガルシア・デ・ジェラ・イ・ロドリゲス,ruisu・garushia・de・jera・i・rodorigesu
pablo vargas gómez,パブロ・バルガス・ゴメス,paburo・barugasu・gomesu
cristián rodríguez,クリスティアン・ロドリゲス,kurisutian・rodorigesu
ivana andrés,イバナ・アンドレス,ibana・andoresu
álex cruz,アレックス・クルーズ,arekkusu・kurūzu
cristina coto,クリスティーナ・コト,kurisutīna・koto
christian rivera,クリスティアン・リベラ,kurisutian・ribera
