hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
três fronteiras,トレス・フロンテラス,toresu・furonterasu
dores do turvo,ドーレス・ド・トゥルボ,dōresu・do・turubo
jacinto,ジャシント,jashinto
capinópolis,カピノーポリス,kapinōporisu
sombrio,ソンブリーユ,sonburīyu
itanhomi,イタンホミ,itanhomi
são josé da tapera,サン・ジョゼ・ダ・タベーラ,san・joze・da・tabēra
senhor do bonfim,セニョール・ド・ボンフィン,senyōru・do・bonfin
são miguel arcanjo,サン・ミゲル・アルカンジョ,san・migeru・arukanjo
erval seco,エルヴァル・セコ,eruvaru・seko
forquilhinha,フォルキリーニャ,forukirīnya
taça guanabara,タッサ・グアナバラ,tassa・guanabara
campo formoso,カンポ・フォルモーゾ,kanpo・forumōzo
seberi,セベリ,seberi
brejo dos santos,ブレージョ・ドス・サントス,burējo・dosu・santosu
quixadá,キシャダ,kishada
barra,バーハ,bāha
são josé do xingu,サン・ジョゼー・ド・シングー,san・jozē・do・shingū
açucena,アスセーナ,asusēna
aquidauana,アキダウアーナ,akidauāna
pedra da mina,ペドラ・ダ・ミーナサン,pedora・da・mīnasan
soledade,ソレダーデ,soredāde
bicas,ビカス,bikasu
maués,マウエース,mauēsu
itapeva,イタペーヴァ,itapēva
cajazeiras,カジャゼイラス,kajazeirasu
são gabriel,サン・ガブリエル,san・gaburieru
viana,ビアナ,biana
luís eduardo magalhães,ルイス・エドゥアルド・マガリャンイス,ruisu・eduarudo・magaryanisu
alpercata,アルペルカータ,aruperukāta
carmo da mata,カルモ・ダ・マッタ,karumo・da・matta
carmo do paranaíba,カルモ・ド・パラナイバ,karumo・do・paranaiba
jacarezinho,ジャカレジーニョ,jakarejīnyo
santa fé,サンタ・フェ,santa・fe
cariús,カリウス,kariusu
conselheiro pena,コンセリェイロ・ペナ,konseriェiro・pena
candelária,カンデラーリア,kanderāria
redenção,レデンサン,redensan
balsas,バルサス,barusasu
pico das agulhas negras,ピコ・ダス・アグーリャス・ネーグラス,piko・dasu・agūryasu・nēgurasu
santana,サンタナ,santana
torneio da frança,トゥルノワ・ド・フランス,turunowa・do・furansu
passaredo linhas aéreas,パッサレド・リンハス・アエレアス,passaredo・rinhasu・aereasu
cássia,カーシア,kāshia
sobral,ソブラル,soburaru
macaíba,マカイバ,makaiba
carangola,カランゴラ,karangora
bela vista de minas,ベラ・ヴィスタ・ジ・ミナス,bera・visuta・ji・minasu
atalaia do norte,アタラヤ・ド・ノルテ,ataraya・do・norute
são roque,サン・ロケ,san・roke
novo horizonte,ノヴォ・オリゾンテ,novuォ・orizonte
pacatuba,パカチュパ,pakachupa
tubarão,トゥバラン,tubaran
pentecoste,ペンテコステ,pentekosute
carmo da cachoeira,カルモ・デ・カチョエイラ,karumo・de・kachoeira
rubiataba,フビアターバ,fubiatāba
moto club de são luís,モト・クルブ・ジ・サン・ルイス,moto・kurubu・ji・san・ruisu
posse,ポッセ,posse
afonso cláudio,アフォンソ・クラウディオ,afonso・kuraudio
potiraguá,ポチラグア,pochiragua
buri,ブリ,buri
são gonçalo dos campos,サン・ゴンサロ・ドス・カンポス,san・gonsaro・dosu・kanposu
queluz,ケルス,kerusu
presidente bernardes,プレジデンテ・ベルナルデス,purejidente・berunarudesu
estádio brinco de ouro da princesa,エスタジオ・ブリンコ・ジ・オウロ・ダ・プリンセーザ,esutajio・burinko・ji・ouro・da・purinsēza
camargo,カマルゴ,kamarugo
fonte boa,フォンテ・ボア,fonte・boa
bebedouro,ベベドウロ,bebedouro
sento sé,セント・セー,sento・sē
planaltino,プラナルティーノ,puranarutīno
matsés,マツェゾク,matsezoku
marcionílio souza,マルシオニーリオ・ソウザ,marushionīrio・souza
floresta,フロレスタ,furoresuta
aquiraz,アキラス,akirasu
carauari,アラウアリ,arauari
são félix do araguaia,サン・フェリックス・ド・アラグァイア,san・ferikkusu・do・araguァia
riachão do jacuípe,ヒアション・ドゥ・ジャクイーピ,hiashon・du・jakuīpi
línguas panotacanas,タカナ・パノゴゾク,takana・panogozoku
formatinho,ダイジェストサイズ,daijesutosaizu
santa inês,サンタ・イニェス,santa・iniェsu
miranhas,ボラゾク,borazoku
santa teresa,サンタ・テレサ,santa・teresa
primeiro comando da capital,プリメイロ・コマンド・ダ・キャピタル,purimeiro・komando・da・kyapitaru
vale brasil,ヴァーレ・ブラジル,vāre・burajiru
calapalos,カラパロ,karaparo
corubos,コルボゾク,korubozoku
são paulo de olivença,サン・パウロ・デ・オリベンサ,san・pauro・de・oribensa
barreirinhas,バヘリーニャス,baherīnyasu
ocara,オカラ,okara
maracanaú,マラカナウー,marakanaū
taça rio,タッサ・リオ,tassa・rio
agir,アギール,agīru
uaiuais,ワイワイゾク,waiwaizoku
warner channel,ワーナー・チャンネル,wānā・channeru
maracás,マラカース,marakāsu
ituberá,イトゥベラ,itubera
torneio mercosul,トルネイロ・メルコスル,toruneiro・merukosuru
castelo,カステロ,kasutero
umburanas,ウンブラナス,unburanasu
jornal do brasil,ジョルナル・ド・ブラジル,jorunaru・do・burajiru
grajaú,グラジャウー,gurajaū
clube esportivo bento gonçalves,クルーベ・エスポルチーヴォ・ベント・ゴンサウヴェス,kurūbe・esuporuchīvuォ・bento・gonsauvuェsu
pau grande,パウ・グランデ,pau・gurande
maranguape,マラングアペ,maranguape
agência brasil,アジェンシア・ブラジル,ajenshia・burajiru
nova itarana,ノヴァ・イタラーナ,nova・itarāna
o guarany,イル・グアラニー,iru・guaranī
ponta negra,ポンタ・ネグラ,ponta・negura
torneio riosão paulo,リオ・サンパウロ・トーナメント,rio・sanpauro・tōnamento
juruena,ジュルエナ,juruena
agreste,アグレステ,aguresute
seabra,セアブラ,seabura
nickelodeon,ニコロデオン,nikorodeon
veja,ヴェージャ,vuェーja
juína,ジュイナ,juina
associação desportiva senador guiomard,アソシアソン・デスポルチーヴァ・セナドル・ギオマルド,asoshiason・desuporuchīva・senadoru・giomarudo
associação atlética da bahia,アソシアソン・アトレチカ・ダ・バイーア,asoshiason・atorechika・da・baīa
estádio dos eucaliptos,エスタジオ・ドス・エウカリプトス,esutajio・dosu・eukariputosu
companhia antarctica paulista,カンパーニャ・アンタークティカ・パウリスタ,kanpānya・antākutika・paurisuta
atlético acreano,アトレチコ・アクレアーノ,atorechiko・akureāno
chaves,シャーヴェス,shāvuェsu
editora abril,エディトーラ・アブリウ,editōra・aburiu
pederneiras,ペデルネイラス,pederuneirasu
amapá clube,アマパー・クルーベ,amapā・kurūbe
amazónia,アマゾニア,amazonia
paulino neves,パウリノ・ネヴェス,paurino・nevuェsu
murici,ムリシ,murishi
sertãozinho,セルタンジーニョ,serutanjīnyo
barbosa,バルボーザ,barubōza
arena barueri,アレーナ・バルエリ,arēna・barueri
tatuí,タトゥイ,tatui
bloco carnavalesco,ブロコ・アフロ,buroko・afuro
planaltina,プラナルティナ,puranarutina
iramaia,イラマイア,iramaia
grêmio esportivo bagé,グレミオ・エスポルチーヴォ・バジェ,guremio・esuporuchīvuォ・baje
itarantim,イタランチン,itaranchin
pelourinho,ペロウリーニョ,perourīnyo
santa rita,サンタ・リタ,santa・rita
ibiúna,イビウーナ,ibiūna
arena da juventude,アレーナ・ダ・ジュベントゥージ,arēna・da・jubentūji
cidadania,シャカイジンミントウ,shakaijinmintou
irati,イラチ,irachi
touros,トウロス,tourosu
camapuã,カマプアン,kamapuan
terra santa,ブラジル・エコディーゼル,burajiru・ekodīzeru
são félix,サン・フェリックス,san・ferikkusu
volkswagen caminhões e ônibus,フォルクスワーゲン・カミニョイス・イ・オニブス,forukusuwāgen・kaminyoisu・i・onibusu
são raimundo nonato,サン・ライムンド・ノナト,san・raimundo・nonato
eunápolis,エウナポリス,eunaporisu
magda,マグダ,maguda
coruripe,コルリピ,koruripi
socorro,ソコロ,sokoro
copacabana palace,コパカバーナ・パラス,kopakabāna・parasu
ipojuca,イポジュカ,ipojuka
são lourenço da mata,サン・ロウレンソ・ダ・マッタ,san・rourenso・da・matta
itaiópolis,サンタカタリーナシュウ,santakatarīnashuu
nitazoxanida,ニタゾキサニド,nitazokisanido
cristina,クリスティナ,kurisutina
capanema,カパネマ,kapanema
companhia das letras,コンパンヒア・ダス・レトラス,konpanhia・dasu・retorasu
são mateus do maranhão,サン・マテウス・ドゥ・マラニョン,san・mateusu・du・maranyon
capão bonito,カポン・ボニート,kapon・bonīto
itapipoca,イタピポカ,itapipoka
periquito,ペリキート,perikīto
choque rei,ショキ・ヘイ,shoki・hei
ladário,ラダーリオ,radārio
jitaúna,ジタウナ,jitauna
patos,パトス,patosu
passos maia,パッソス・マイア,passosu・maia
copa do brasil de futebol feminino,コパ・ド・ブラジウ・ジ・フチボウ・フェミニーノ,kopa・do・burajiu・ji・fuchibou・feminīno
cordeiros,コルデイロス,korudeirosu
santo anastácio,サント・アナスタシオ,santo・anasutashio
estádio vail chaves,エスタジオ・ヴァイル・シャヴェス,esutajio・vairu・shavuェsu
águia branca,アギア・ブランカ,agia・buranka
união recreativo social olímpico,ウニオン・レクレアチーヴォ・ソシアル・オピンピコ,union・rekureachīvuォ・soshiaru・opinpiko
clube bahiano de tênis,クルーベ・バイアーノ・ジ・テニス,kurūbe・baiāno・ji・tenisu
clube atlético tubarão,クルーベ・アトレチコ・トゥバロン,kurūbe・atorechiko・tubaron
clube internacional de cricket,クルーベ・インテルナシオナル・デ・クリケット,kurūbe・interunashionaru・de・kuriketto
lacerdópolis,ラセルドポリス,raserudoporisu
brejões,ブレジョエス,burejoesu
restinga,レスティンガ,resutinga
guapiara,グアピアーラ,guapiāra
alagoinhas atlético clube,アトレチコ・デ・アラゴイニャス,atorechiko・de・aragoinyasu
pilões,ピロンエス,pironesu
pilar do sul,ピラル・ド・スル,piraru・do・suru
coronelismo,コロネリズモ,koronerizumo
copa santa catarina,コパ・サンタ・カタリーナ,kopa・santa・katarīna
videira,ヴィデイラ,videira
pedra da gávea,ペドラ・ダ・ガヴェア,pedora・da・gavuェa
jornal do commercio,ジョルナル・ド・コンメルシオ,jorunaru・do・konmerushio
guaramirim,グァラミリン,guァramirin
majestoso,マジェストソ,majesutoso
correio braziliense,コレイオ・ブラジリエンセ,koreio・burajiriense
santana do cariri,サンタナ・ドゥ・カリリ,santana・du・kariri
estreito,エストレイト,esutoreito
mercado modelo,メルカード・モデーロシジョウ,merukādo・modēroshijou
piedade,ピエダージ,piedāji
feijó,フェイジョ,feijo
torneio dos campeões,トルネイオ・ドス・カンピオンイス,toruneio・dosu・kanpionisu
salto,サウト,sauto
carpina,カルピーナ,karupīna
nossa senhora do socorro,ノッサ・セニョーラ・ド・ソコーホ,nossa・senyōra・do・sokōho
monte azul paulista,モンテ・アズル・パウリスタ,monte・azuru・paurisuta
football and athletic club,フットボール・アンド・アスレティック・クラブ,futtobōru・ando・asuretikku・kurabu
estádio joão hora de oliveira,エスタジオ・ジョアン・オラ・デ・オリヴェイラ,esutajio・joan・ora・de・orivuェira
queimados,ケイマードス,keimādosu
mateiros,マテイロス,mateirosu
água boa,アーグァ・ボア,āguァ・boa
oeiras,オエイラス,oeirasu
potiguaras,ポティグアラゾク,potiguarazoku
globonews,グロボニュース,gurobonyūsu
flórida,フロリダ,furorida
estádio universitário pedro pedrossian,エスタジオ・ウニヴェルシターリオ・ペドロ・ペドロシアン,esutajio・univuェrushitārio・pedoro・pedoroshian
estádio alfredo jaconi,エスタジオ・アウフレッド・ジャコーニ,esutajio・aufureddo・jakōni
tabira,タビラ,tabira
avante,アバンテ,abante
correios,ブラジルユウセイトウキョク,burajiruyuuseitoukyoku
grêmio atlético sampaio,グレミオ・アトレチコ・サンパイオ,guremio・atorechiko・sanpaio
monte do carmo,モンデ・ド・カルモ,monde・do・karumo
nacional fast clube,ナシオナウ・ファスト・クルーベ,nashionau・fasuto・kurūbe
cruzeiro do oeste,クルゼイロ・ド・オエステ,kuruzeiro・do・oesute
grêmio esportivo brasiliense,グレミオ・エスポルチーヴォ・ブラジリエンセ,guremio・esuporuchīvuォ・burajiriense
grêmio atlético coariense,グレミオ・アトレチコ・コアリエンセ,guremio・atorechiko・koariense
grêmio esportivo jaciara,グレミオ・エスポルチーヴォ・ジャシアラ,guremio・esuporuchīvuォ・jashiara
grêmio esportivo anápolis,グレミオ・エスポルチーヴォ・アナーポリス,guremio・esuporuchīvuォ・anāporisu
marechal cândido rondon,マレシャル・カンジド・ロンドン,maresharu・kanjido・rondon
abadá,アバダ,abada
olímpico clube,オリンピコ・クルーベ,orinpiko・kurūbe
guaíra,グアイラ,guaira
estádio ulrico mursa,エスタジオ・ウルリコ・ムルサ,esutajio・ururiko・murusa
arraias,アライアス,araiasu
aurora do tocantins,アウロラ・ド・トカンチス,aurora・do・tokanchisu
ponta da madeira,ポンタ・ダ・マディラコウワンターミナル,ponta・da・madirakouwantāminaru
fernandes pinheiro,フェルナンジェス・ピニェイロ,ferunanjesu・piniェiro
podemos,ポデモス,podemosu
santa cruz do capibaribe,サンタ・クルース・ド・カピバリベ,santa・kurūsu・do・kapibaribe
rio tinto,ヒウ・チント,hiu・chinto
grêmio esportivo inhumense,グレミオ・エスポルチーヴォ・イニュメンセ,guremio・esuporuchīvuォ・inyumense
taça olímpica,タッサ・オリンピカ,tassa・orinpika
uraí,ウライ,urai
cambará,カンバラ,kanbara
tarianas,タリアナゾク,tarianazoku
ypiranga clube,イピランガ・クルーベ,ipiranga・kurūbe
zero hora,ゼロ・ホラ,zero・hora
águas claras,アグアス・クララス,aguasu・kurarasu
paiçandu,パイサンドゥ,paisandu
santa rosa de lima,サンタ・ロサ・デ・リマ,santa・rosa・de・rima
tombos,トンボス,tonbosu
tibau,チバウ,chibau
são gonçalo do amarante,サン・ゴンサーロ・ド・アマランテ,san・gonsāro・do・amarante
recanto das emas,レカント・ダス・エマス,rekanto・dasu・emasu
borba,ボルバ,boruba
cornélio procópio,コルネーリオ・プロコーピオ,korunērio・purokōpio
joaquim távora,ジョアキム・ターヴォラ,joakimu・tāvuォra
astorga,アストルガ,asutoruga
porecatu,パラナシュウ,paranashuu
pirapemas,ピラペマス,pirapemasu
apodi,アポジ,apoji
ourilândia do norte,オウリランディア・ド・ノルテ,ourirandia・do・norute
xinguara,シングァラ,shinguァra
chá mate,マテ・コシード,mate・koshīdo
