кирилл,基里尔,jī lǐ ěr
александра кузенкина,亚历山德拉·库曾基纳,yà lì shān dé lā · kù céng jī nà
мария валешная,玛丽亚·瓦列什纳亚,mǎ lì yà · wǎ liè shén nà yà
игорь волобуев,伊霍尔·沃洛布耶夫,yī huò ěr · wò luò bù yē fū
елена хазанова,埃琳娜·哈扎诺娃,āi lín nà · hā zhā nuò wá
рустам миннекаев,鲁斯塔姆·明涅卡耶夫,lǔ sī tǎ mǔ · míng niè kǎ yē fū
лера антипова,莱拉·安蒂波娃,lái lā · ān dì bō wá
александра велескевич,亚历山德拉·韦莱斯科维奇,yà lì shān dé lā · wéi lái sī kē wéi qí
константин шелягин,康斯坦丁·谢里亚金,kāng sī tǎn dīng · xiè lǐ yà jīn
павел пригожин,帕维尔·普里戈任,pà wéi ěr · pǔ lǐ gē rèn
ахмед шад,艾哈迈德·沙德,ài hā mài dé · shā dé
молодой платон,莫洛多吉·普拉东,mò luò duō jí · pǔ lā dōng
владимир лукьянчиков,弗拉迪米尔·路扬乞科夫,fú lā dí mǐ ěr · lù yáng qǐ kē fū
николай мачульский,尼古拉·马胡尔斯基,ní gǔ lā · mǎ hú ěr sī jī
барасби мулаев,巴拉斯比·穆拉耶夫,bā lā sī bǐ · mù lā yē fū
игорь грабузов,伊戈尔·格拉布佐夫,yī gē ěr · gé lā bù zuǒ fū
екатерина рейнгольд,叶卡捷琳娜·雷恩戈尔德,yè kǎ jié lín nà · léi ēn gē ěr dé
михаил львович шеломов,米哈伊尔·利沃维奇·舍洛莫夫,mǐ hā yī ěr · lì wò wéi qí · shè luò mò fū
любовь ивановна шеломова,柳博夫·伊万诺夫娜·舍洛莫娃,liǔ bó fū · yī wàn nuò fū nà · shè luò mò wá
татьяна соловьёва,坦尼娅·夜莺,tǎn ní yà · yè yīng
иван попов,伊万·波波夫,yī wàn · bō bō fū
алексей базанов,阿列克谢·巴扎诺夫,ā liè kè xiè · bā zhā nuò fū
фаиль алсынов,法伊尔·阿尔希诺夫,fǎ yī ěr · ā ěr xī nuò fū
татьяна черкасова,塔季扬娜·切尔卡索娃,tǎ jì yáng nà · qiè ěr kǎ suǒ wá
валерий чекалов,瓦列里·切卡洛夫,wǎ liè lǐ · qiè kǎ luò fū
субил арк,苏比尔·阿奇,sū bǐ ěr · ā qí
богдан лисевский,博格丹·利谢夫斯基,bó gé dān · lì xiè fū sī jī
влад порфиров,弗拉德·波尔菲罗夫,fú lā dé · bō ěr fēi luó fū
геннадий ткаченкопапиж,根纳季·特卡琴科帕皮日,gēn nà jì · tè kǎ qín kē pà pí rì
константин адаев,康斯坦丁·阿达耶夫,kāng sī tǎn dīng · ā dá yē fū
мигран агеян,米格兰·阿吉扬,mǐ gé lán · ā jí yáng
виктор афзалов,维克多·阿夫扎洛夫,wéi kè duō · ā fū zhā luò fū
игорь мангушев,伊戈尔·曼古舍夫,yī gē ěr · màn gǔ shè fū
руслан хайлоев,鲁斯兰·哈伊洛耶夫,lǔ sī lán · hā yī luò yē fū
абу нурадин рустамов,阿布·努拉丁·鲁斯塔莫夫,ā bù · nǔ lā dīng · lǔ sī tǎ mò fū
андрей юрасов,安德烈·尤拉索夫,ān dé liè · yóu lā suǒ fū
юрий юрьевич нестеренко,尤里·尤里耶维奇·涅斯捷连科,yóu lǐ · yóu lǐ yē wéi qí · niè sī jié lián kē
алсу курмашева,阿尔苏·库玛舍娃,ā ěr sū · kù mǎ shè wá
ринат абушаев,里纳特·阿布沙耶夫,lǐ nà tè · ā bù shā yē fū
полина меньших,波琳娜·曼希赫,bō lín nà · màn xī hè
екатерина дунцова,叶卡捷琳娜·邓佐娃,yè kǎ jié lín nà · dèng zuǒ wá
фёдор скворцов,费多尔·斯科沃尔佐夫,fèi duō ěr · sī kē wò ěr zuǒ fū
павел рассомахин,帕维尔·拉索马欣,pà wéi ěr · lā suǒ mǎ xīn
михаил белякович,米哈伊尔·别利亚科维奇,mǐ hā yī ěr · bié lì yà kē wéi qí
максим кузьминов,马克西姆·库兹米诺夫,mǎ kè xī mǔ · kù zī mǐ nuò fū
владимир завадский,弗拉基米尔·扎瓦茨基,fú lā jī mǐ ěr · zhā wǎ cí jī
денис кукояка,丹尼斯·库科亚卡,dān ní sī · kù kē yà kǎ
рамиль ибатуллин,拉米尔·伊巴图林,lā mǐ ěr · yī bā tú lín
александр аравушкин,亚历山大·阿拉沃什金,yà lì shān dà · ā lā wò shén jīn
сергей горячев,谢尔盖·戈里亚乔夫,xiè ěr gài · gē lǐ yà qiáo fū
олег гаас,奥列格·盖斯,ào liè gé · gài sī
асхаб тамаев,阿斯哈布·塔马耶夫,ā sī hā bù · tǎ mǎ yē fū
огрн,俄罗斯组织编号,é luó sī zǔ zhī biān hào
донавиа,顿河航空,dùn hé háng kōng
лада,索契队,suǒ qì duì
кузбасс,库兹巴斯克麦罗沃,kù zī bā sī kè mài luó wò
эгриси,拉齐卡,lā qí kǎ
сбер,俄罗斯联邦储蓄银行,é luó sī lián bāng chǔ xù yín háng
ломоносово,霍尔莫果尔,huò ěr mò guǒ ěr
ливадия,利瓦季亚,lì wǎ jì yà
черниговка,切尔尼戈夫卡,qiè ěr ní gē fū kǎ
нимфей,尼姆费翁,ní mǔ fèi wēng
молокане,摩洛肯派,mó luò kěn pài
мэи,莫斯科动力学院,mò sī kē dòng lì xué yuàn
торпедо,莫斯科鱼雷足球俱乐部,mò sī kē yú léi zú qiú jù lè bù
любань,柳班,liǔ bān
голиаф,歌利亚发射机,gē lì yà fā shè jī
динамо,莫斯科迪纳摩足球俱乐部,mò sī kē dí nà mó zú qiú jù lè bù
томь,托木斯克汤姆足球俱乐部,tuō mù sī kè tāng mǔ zú qiú jù lè bù
горгиппия,高尔基比亚,gāo ěr jī bǐ yà
луч,安拿吉耶,ān ná jí yē
антропово,安图罗波夫,ān tú luó bō fū
маттиас варниг,马蒂亚斯·沃尼格,mǎ dì yà sī · wò ní gé
острог,俄罗斯营垒,é luó sī yíng lěi
бион,生物号卫星,shēng wù hào wèi xīng
уникс,喀山尤尼克斯,kā shān yóu ní kè sī
ивановка,伊万诺夫卡,yī wàn nuò fū kǎ
спартакприморье,维古斯斯巴达,wéi gǔ sī sī bā dá
лёбенихт,勒伯尼希特,lè bǎi ní xī tè
агата кристи,阿加莎·克里斯蒂,ā jiā shā · kè lǐ sī dì
мункусардык,门赫雪山,mén hè xuě shān
уралан,伊利斯塔,yī lì sī tǎ
звезда,伊尔库茨克,yī ěr kù cí kè
спартак,莫斯科斯巴达克足球俱乐部,mò sī kē sī bā dá kè zú qiú jù lè bù
дэлгэрмурен,德勒格尔江,dé lè gé ěr jiāng
билайн,直线电信公司,zhí xiàn diàn xìn gōng sī
локомотив,莫斯科火车头足球俱乐部,mò sī kē huǒ chē tóu zú qiú jù lè bù
акбулак,阿克布拉克,ā kè bù lā kè
акелла,阿卡拉,ā kǎ lā
олимпийский,莫斯科体育馆,mò sī kē tǐ yù guǎn
ника,尼卡奖,ní kǎ jiǎng
цска,莫斯科中央陆军篮球俱乐部,mò sī kē zhōng yāng lù jūn lán qiú jù lè bù
амдерма,阿姆杰尔马,ā mǔ jié ěr mǎ
амга,阿姆加,ā mǔ jiā
ефрейтор,上等兵,shàng děng bīng
лешуконское,列舒孔斯科耶,liè shū kǒng sī kē yē
березник,别列兹尼克,bié liè zī ní kè
ахмат,格罗兹尼艾卡马特足球俱乐部,gé luó zī ní ài kǎ mǎ tè zú qiú jù lè bù
наука,科学出版社,kē xué chū bǎn shè
новатэк,诺瓦泰克,nuò wǎ tài kè
репино,列宾诺,liè bīn nuò
кайралы,库奥拉亚尔维,kù ào lā yà ěr wéi
клипер,快船号航天飞机,kuài chuán hào háng tiān fēi jī
покров,波克罗夫,bō kè luó fū
онгудай,翁古达伊,wēng gǔ dá yī
черноморец,查路摩列斯,chá lù mó liè sī
горняк,戈尔尼亚克,gē ěr ní yà kè
архи,奶酒,nǎi jiǔ
дальавиа,俄罗斯远东航空,é luó sī yuǎn dōng háng kōng
волга,伏尔加足球俱乐部,fú ěr jiā zú qiú jù lè bù
аренаметаллург,冶金体育馆,yě jīn tǐ yù guǎn
ротмистр,骑兵队长,qí bīng duì zhǎng
ачхоймартан,亚扎开马尔坦,yà zhā kāi mǎ ěr tǎn
боголюбово,博戈柳博沃,bó gē liǔ bó wò
промсвязьбанк,俄罗斯工业通讯银行,é luó sī gōng yè tōng xùn yín háng
ленин,列宁号,liè níng hào
беленджер,巴兰札尔,bā lán zhá ěr
джимара,吉马拉山,jí mǎ lā shān
тамань,塔曼,tǎ màn
чернышевское,车尔尼雪夫斯科耶,chē ěr ní xuě fū sī kē yē
еникале,叶尼卡尔要塞,yè ní kǎ ěr yào sài
атлант,莫斯科州亚特兰塔,mò sī kē zhōu yà tè lán tǎ
кондёр,昆丢尔山丘,kūn diū ěr shān qiū
эскикермен,埃斯基克门,āi sī jī kè mén
авиакор,古比雪夫飞机制造厂,gǔ bǐ xuě fū fēi jī zhì zào chǎng
деденёво,杰杰涅沃,jié jié niè wò
турочак,图罗恰克,tú luó qià kè
внешэкономбанк,俄罗斯国有开发银行,é luó sī guó yǒu kāi fā yín háng
аркаим,也理可温,yě lǐ kě wēn
аркона,阿科纳,ā kē nà
арктикуголь,北极煤矿,běi jí méi kuàng
нордавиа,北俄罗斯航空,běi é luó sī háng kōng
носта,新特罗伊茨克诺斯塔足球俱乐部,xīn tè luó yī cí kè nuò sī tǎ zú qiú jù lè bù
зоркий,佐基克拉斯诺戈尔斯克女子足球俱乐部,zuǒ jī kè lā sī nuò gē ěr sī kè nǚ zǐ zú qiú jù lè bù
старощербиновская,旧谢尔比诺夫斯卡亚,jiù xiè ěr bǐ nuò fū sī kǎ yà
ильинское,伊雷因斯科耶,yī léi yīn sī kē yē
матрос,海军列兵,hǎi jūn liè bīng
самодед,萨莫杰德,sà mò jié dé
александроневский собор,亚历山大·涅夫斯基主教座堂,yà lì shān dà · niè fū sī jī zhǔ jiào zuò táng
оборонпром,俄罗斯国防工业股份公司,é luó sī guó fáng gōng yè gǔ fèn gōng sī
спортэкспресс,体育快报,tǐ yù kuài bào
чугуевка,丘古耶夫卡空军基地,qiū gǔ yē fū kǎ kōng jūn jī dì
новокузнецкспиченково,新库兹涅茨克,xīn kù zī niè cí kè
интурист,国际旅社,guó jì lǚ shè
каменское,卡缅斯科耶,kǎ miǎn sī kē yē
эссо,埃索,āi suǒ
кодима,国土报,guó tǔ bào
шебалино,舍巴利诺,shè bā lì nuò
озерновский,奥泽尔诺夫斯基,ào zé ěr nuò fū sī jī
сыверма,瑟维尔马高原,sè wéi ěr mǎ gāo yuán
егорлыкская,叶戈尔雷克斯卡亚,yè gē ěr léi kè sī kǎ yà
фили,菲利,fēi lì
тигиль,季吉尔,jì jí ěr
кущёвская,库晓夫斯卡亚,kù xiǎo fū sī kǎ yà
каневская,卡涅夫斯卡亚,kǎ niè fū sī kǎ yà
переделкино,佩瑞德尔基诺,pèi ruì dé ěr jī nuò
красноусольский,克拉斯诺乌索利斯基,kè lā sī nuò wū suǒ lì sī jī
клушино,克卢希诺,kè lú xī nuò
староминская,旧明斯卡亚,jiù míng sī kǎ yà
чукча,楚克恰撞击坑,chǔ kè qià zhuàng jī kēng
соболево,索博列沃,suǒ bó liè wò
бутка,布特卡村,bù tè kǎ cūn
слобожанщина,斯沃博达乌克兰,sī wò bó dá wū kè lán
лаврентия,拉夫连季亚,lā fū lián jì yà
раевский,拉耶夫斯基,lā yē fū sī jī
уэлен,乌厄达,wū è dá
сюкеево,休克耶沃,xiū kè yē wò
ловозеро,洛沃泽罗,luò wò zé luó
экажево,埃卡折沃,āi kǎ zhé wò
бичура,比丘拉,bǐ qiū lā
югорск,尤戈尔斯克,yóu gē ěr sī kè
ямал,亚马尔航空,yà mǎ ěr háng kōng
владлаг,符拉德拉格,fú lā dé lā gé
киммерик,辛梅里孔,xīn méi lǐ kǒng
бомнак,博纳克,bó nà kè
трактор,车里雅宾斯克拖拉机,chē lǐ yǎ bīn sī kè tuō lā jī
чемал,切马尔,qiè mǎ ěr
любавичи,路巴维茨,lù bā wéi cí
шелковская,舍尔科夫斯卡娅,shè ěr kē fū sī kǎ yà
аксаково,阿克萨科沃,ā kè sà kē wò
кулунда,库伦达,kù lún dá
аскарово,阿斯卡罗沃,ā sī kǎ luó wò
исянгулово,伊相古洛沃,yī xiāng gǔ luò wò
кошагач,科什阿加奇,kē shén ā jiā qí
тмутаракань,特穆塔拉坎,tè mù tǎ lā kǎn
павловская,巴甫洛夫斯卡,bā fǔ luò fū sī kǎ
анненково,安嫩科沃,ān nèn kē wò
озёрное,奥泽尔内,ào zé ěr nèi
устькан,乌斯季坎,wū sī jì kǎn
малояз,马洛亚兹,mǎ luò yà zī
шафраново,沙夫拉诺沃,shā fū lā nuò wò
инзер,因泽尔,yīn zé ěr
бежта,别日塔,bié rì tǎ
кудеевский,库杰耶夫斯基,kù jié yē fū sī jī
устьлуга,乌斯季卢加,wū sī jì lú jiā
ломовка,洛莫夫卡,luò mò fū kǎ
тюлиганово,秋利加诺沃,qiū lì jiā nuò wò
тукан,图坎,tú kǎn
камаринская,卡玛林斯卡亚,kǎ mǎ lín sī kǎ yà
зирган,济尔甘,jì ěr gān
шатой,沙台,shā tái
языково,亚济科沃,yà jì kē wò
урман,乌尔曼,wū ěr màn
краснохолмский,克拉斯诺霍尔姆斯基,kè lā sī nuò huò ěr mǔ sī jī
темясово,捷米亚索沃,jié mǐ yà suǒ wò
буздяк,布兹佳克,bù zī jiā kè
хороль,霍罗尔,huò luó ěr
мишкино,米什基诺,mǐ shén jī nuò
малокурильское,小库里尔斯克,xiǎo kù lǐ ěr sī kè
пулково,普尔科沃航空,pǔ ěr kē wò háng kōng
камбальный,坎巴利内火山,kǎn bā lì nèi huǒ shān
плоский,普洛斯基火山,pǔ luò sī jī huǒ shān
чурапча,丘拉普恰,qiū lā pǔ qià
куяново,库亚诺沃,kù yà nuò wò
жупановский,茹帕诺夫斯基火山,rú pà nuò fū sī jī huǒ shān
желтовский,热尔托夫火山,rè ěr tuō fū huǒ shān
добровольск,皮尔卡伦,pí ěr kǎ lún
мраково,姆拉科沃,mǔ lā kē wò
витязь,维塔茨切科夫队,wéi tǎ cí qiè kē fū duì
гжель,俄罗斯青花瓷,é luó sī qīng huā cí
тордокияни,托尔多基亚尼山,tuō ěr duō jī yà ní shān
семилетка,谢米列特卡,xiè mǐ liè tè kǎ
ушковский,乌什科夫火山,wū shén kē fū huǒ shān
петрославянка,彼得罗斯拉维扬卡,bǐ dé luó sī lā wéi yáng kǎ
духоборы,杜霍波尔,dù huò bō ěr
жемчужинасочи,索治,suǒ zhì
