マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
シンニョエン,真如苑,zhēn rú yuàn,shinnyoen
オートポリス,汽车城赛道,qì chē chéng sài dào,ōtoporisu
ヒビヤコウエン,日比谷公园,rì bǐ gǔ gōng yuán,hibiyakouen
ハカタギオンヤマカサ,博多祇园山笠,bó duō qí yuán shān lì,hakatagionyamakasa
ウケタマワトク,承德,chéng dé,uketamawatoku
エイレキ,永历,yǒng lì,eireki
ヨシミウケタマワ,嘉承,jiā chéng,yoshimiuketamawa
テンヒサシ,天永,tiān yǒng,tenhisashi
チョウヒロシ,长宽,cháng kuān,chouhiroshi
ホノベ,保延,bǎo yán,honobe
カンジン,宽仁,kuān rén,kanjin
タテヒサ,建久,jiàn jiǔ,tatehisa
コヨミヒトシ,历仁,lì rén,koyomihitoshi
タテタケシ,建武,jiàn wǔ,tatetakeshi
カンカズ,康和,kāng hé,kankazu
エイタモツ,永保,yǒng bǎo,eitamotsu
マンエン,万延,wàn yán,manen
ニダイラ,仁平,rén píng,nidaira
ヒサヤス,久安,jiǔ ān,hisayasu
エイヨロズ,永万,yǒng wàn,eiyorozu
テンメイ,天明,tiān míng,tenmei
タテヒサシ,建永,jiàn yǒng,tatehisashi
ブンレキ,文历,wén lì,bunreki
マンス,万寿,wàn shòu,mansu
ミタケサン,御岳山,yù yuè shān,mitakesan
ツクバサン,筑波山,zhù bō shān,tsukubasan
サダカンジシン,贞观地震,zhēn guān dì zhèn,sadakanjishin
ケンチョウジ,建长寺,jiàn cháng sì,kenchouji
ファーストリテイリング,迅销,xùn xiāo,fāsutoriteiringu
タマドウブツコウエン,多摩动物公园,duō mó dòng wù gōng yuán,tamadoubutsukouen
ヤマザキジョウリュウショ,山崎蒸溜所,shān qí zhēng liū suǒ,yamazakijouryuusho
アキヨシダイ,秋吉台,qiū jí tái,akiyoshidai
アタゴグリーンヒルズ,爱宕绿丘,ài dàng lǜ qiū,atagogurīnhiruzu
フクソウリ,副总理,fù zǒng lǐ,fukusouri
アークヒルズ,方舟之丘,fāng zhōu zhī qiū,ākuhiruzu
ウケタマワヤス,承安,chéng ān,uketamawayasu
ブンチュウ,文中,wén zhōng,bunchuu
サダヒサシ,贞永,zhēn yǒng,sadahisashi
テンヨウ,天养,tiān yǎng,tenyou
ナガワ,长和,cháng hé,nagawa
クマモトハン,熊本藩,xióng běn fān,kumamotohan
タテタモツ,建保,jiàn bǎo,tatetamotsu
モトコヨミ,元历,yuán lì,motokoyomi
キュウジュ,久寿,jiǔ shòu,kyuuju
リソナホールディングス,里索那控股,lǐ suǒ nà kòng gǔ,risonahōrudingusu
モトヒサ,元久,yuán jiǔ,motohisa
ケンレキ,建历,jiàn lì,kenreki
トウホクマチ,东北町,dōng běi tǐng,touhokumachi
ケンチョウ,建长,jiàn cháng,kenchou
ジンチ,仁治,rén zhì,jinchi
ノベオカインターチェンジ,延冈交流道,yán gāng jiāo liú dào,nobeokaintāchenji
サエキインターチェンジ,佐伯交流道,zuǒ bǎi jiāo liú dào,saekiintāchenji
キタウラインターチェンジ,北浦交流道,běi pǔ jiāo liú dào,kitauraintāchenji
ツクミインターチェンジ,津久见交流道,jīn jiǔ jiàn jiāo liú dào,tsukumiintāchenji
キンテツナンバセン,难波线,nán bō xiàn,kintetsunanbasen
キンテツカシハラセン,橿原线,jiāng yuán xiàn,kintetsukashiharasen
ミナミカントウ,南关东,nán guān dōng,minamikantou
キンテツテンリセン,天理线,tiān lǐ xiàn,kintetsutenrisen
キンテツタワラモトセン,田原本线,tián yuán běn xiàn,kintetsutawaramotosen
ナギナタジュツ,薙刀术,tì dāo shù,naginatajutsu
テンリュウテラ,天龙寺,tiān lóng sì,tenryuutera
ユシマセイドウ,汤岛圣堂,tāng dǎo shèng táng,yushimaseidou
オンジョウジ,园城寺,yuán chéng sì,onjouji
リッシャクジ,立石寺,lì shí sì,risshakuji
ミンシュク,民宿,mín sù,minshuku
スガモ,巢鸭,cháo yā,sugamo
ニッポンジンロン,日本人论,rì běn rén lùn,nipponjinron
キョウイクママ,教育妈妈,jiào yù mā ma,kyouikumama
チホウジチホウ,地方自治法,dì fāng zì zhì fǎ,chihoujichihou
ハマトンベツマチ,滨顿别町,bīn dùn bié tǐng,hamatonbetsumachi
カミシホロマチ,上士幌町,shàng shì huǎng tǐng,kamishihoromachi
シントクマチ,新得町,xīn dé tǐng,shintokumachi
シンヒダカマチ,新日高町,xīn rì gāo tǐng,shinhidakamachi
エサシマチ,枝幸町,zhī xìng tǐng,esashimachi
ヤマゴエグン,山越郡,shān yuè jùn,yamagoegun
トヨコロマチ,丰顷町,fēng qǐng tǐng,toyokoromachi
オトフケマチ,音更町,yīn gèng tǐng,otofukemachi
ビフカマチ,美深町,měi shēn tǐng,bifukamachi
シホロマチ,士幌町,shì huǎng tǐng,shihoromachi
メムロマチ,芽室町,yá shì tǐng,memuromachi
マクベツマチ,幕别町,mù bié tǐng,makubetsumachi
ヒロオマチ,广尾町,guǎng wěi tǐng,hiroomachi
ニコン,尼康,ní kāng,nikon
ナカトンベツマチ,中顿别町,zhōng dùn bié tǐng,nakatonbetsumachi
ホンベツマチ,本别町,běn bié tǐng,honbetsumachi
トヨトミマチ,丰富町,fēng fù tǐng,toyotomimachi
ケンブチマチ,剑渊町,jiàn yuān tǐng,kenbuchimachi
セキミズキンゾク,关水金属,guān shuǐ jīn shǔ,sekimizukinzoku
トクガワシ,德川氏,dé chuān shì,tokugawashi
ヨシミロク,嘉禄,jiā lù,yoshimiroku
タカラレキ,宝历,bǎo lì,takarareki
ゲンヒトシ,元仁,yuán rén,genhitoshi
ホアン,保安,bǎo ān,hoan
テンプク,天福,tiān fú,tenpuku
ブンジ,文治,wén zhì,bunji
モトヒロ,元弘,yuán hóng,motohiro
ネギシセン,根岸线,gēn àn xiàn,negishisen
フドキ,风土记,fēng tǔ jì,fudoki
ヒガシクニミヤナイカク,东久迩宫内阁,dōng jiǔ ěr gōng nèi gé,higashikunimiyanaikaku
サトシモチデラ,总持寺,zǒng chí sì,satoshimochidera
マエガシラ,前头,qián tou,maegashira
コムスビ,小结,xiǎo jié,komusubi
テクモ,特库摩,tè kù mó,tekumo
ニッポンケンチクシ,日本建筑,rì běn jiàn zhù,nipponkenchikushi
ヤマザキマザック,山崎马扎克,shān qí mǎ zhá kè,yamazakimazakku
ケンダマ,剑玉,jiàn yù,kendama
カワイガッキセイサクショ,河合乐器制作所,hé hé yuè qì zhì zuò suǒ,kawaigakkiseisakusho
ナガサキコッキジケン,长崎国旗事件,cháng qí guó qí shì jiàn,nagasakikokkijiken
モリビル,森大厦,sēn dà shà,moribiru
ダイガクニュウシセンターシケン,大学入试中心试验,dà xué rù shì zhōng xīn shì yàn,daigakunyuushisentāshiken
ノジマダンソウ,野岛断层,yě dǎo duàn céng,nojimadansou
モリソンゴウジケン,马礼逊号事件,mǎ lǐ xùn hào shì jiàn,morisongoujiken
イエオサム,家宰,jiā zǎi,ieosamu
バンダイナムコエンターテインメント,万代南梦宫娱乐,wàn dài nán mèng gōng yú lè,bandainamukoentāteinmento
ニチベイシュウコウツウショウジョウヤク,美日修好通商条约,měi rì xiū hǎo tōng shāng tiáo yuē,nichibeishuukoutsuushoujouyaku
セイブドーム,西武巨蛋,xī wǔ jù dàn,seibudōmu
ツルミセン,鹤见线,hè jiàn xiàn,tsurumisen
チウケタマワ,治承,zhì chéng,chiuketamawa
カンセイ,宽政,kuān zhèng,kansei
ミタケヤマ,御岳山,yù yuè shān,mitakeyama
ヤタデラ,矢田寺,shǐ tián sì,yatadera
コイシカワコウラクエン,小石川后乐园,xiǎo shí chuān hòu lè yuán,koishikawakourakuen
コクドチョウ,国土厅,guó tǔ tīng,kokudochou
ヨコカワデンキ,横河电机,héng hé diàn jī,yokokawadenki
カガミモチ,镜饼,jìng bǐng,kagamimochi
マゴメヤド,马笼宿,mǎ lóng sù,magomeyado
ナガシマスパーランド,长岛温泉乐园,cháng dǎo wēn quán lè yuán,nagashimasupārando
クモトリヤマ,云取山,yún qǔ shān,kumotoriyama
ショウコクジ,相国寺,xiàng guó sì,shoukokuji
オヤコドンブリ,亲子丼,qīn zǐ jǐng,oyakodonburi
ケイヒントウホクセン,京滨东北线,jīng bīn dōng běi xiàn,keihintouhokusen
ヨコハマアリーナ,横滨体育馆,héng bīn tǐ yù guǎn,yokohamaarīna
エイゲンジ,永源寺,yǒng yuán sì,eigenji
エイヘイジ,永平寺,yǒng píng sì,eiheiji
エイヘイジマチ,永平寺町,yǒng píng sì tǐng,eiheijimachi
フクダタケオナイカク,福田赳夫内阁,fú tián jiū fū nèi gé,fukudatakeonaikaku
ニッポンゲンシリョクケンキュウカイハツキコウ,日本原子能研究开发机构,rì běn yuán zǐ néng yán jiū kāi fā jī gòu,nippongenshiryokukenkyuukaihatsukikou
ジユウミンシュトウソウサイセンキョ,自由民主党总裁选举,zì yóu mín zhǔ dǎng zǒng cái xuǎn jǔ,jiyuuminshutousousaisenkyo
ヨコハマゴム,横滨橡胶,héng bīn xiàng jiāo,yokohamagomu
カミザ,上座,shàng zuò,kamiza
アシシュコウジン,足手荒神,zú shǒu huāng shén,ashishukoujin
コジマプロダクション,小岛工作室,xiǎo dǎo gōng zuò shì,kojimapurodakushon
アサヒインリョウ,朝日饮料,cháo rì yǐn liào,asahiinryou
タテヒトシ,建仁,jiàn rén,tatehitoshi
ウケタマワヒサ,承久,chéng jiǔ,uketamawahisa
クゲ,公家,gōng jia,kuge
トウキョウメトロヒビヤセン,日比谷线,rì bǐ gǔ xiàn,toukyoumetorohibiyasen
ルネサスエレクトロニクス,瑞萨电子,ruì sà diàn zǐ,runesasuerekutoronikusu
カワゴエセン,川越线,chuān yuè xiàn,kawagoesen
コトヒラマチ,琴平町,qín píng tǐng,kotohiramachi
カスミガセキ,霞关,xiá guān,kasumigaseki
ドウジョウジ,道成寺,dào chéng sì,doujouji
エバラグン,荏原郡,rěn yuán jùn,ebaragun
レブンマチ,礼文町,lǐ wén tǐng,rebunmachi
ケンニンジ,建仁寺,jiàn rén sì,kenninji
ジンメイヨウカンジ,人名用汉字,rén míng yòng hàn zì,jinmeiyoukanji
セイブセイブエンセン,西武园线,xī wǔ yuán xiàn,seibuseibuensen
コウイキレンゴウ,广域联合,guǎng yù lián hé,kouikirengou
ニシセトジドウシャドウ,西濑户自动车道,xī lài hù zì dòng chē dào,nishisetojidoushadou
キョウバシ,京桥,jīng qiáo,kyoubashi
カイグンダイガッコウ,海军大学校,hǎi jūn dà xué xiào,kaigundaigakkou
コスモセキユ,科斯莫石油公司,kē sī mò shí yóu gōng sī,kosumosekiyu
スミトモジュウキカイコウギョウ,住友重机械工业,zhù yǒu zhòng jī xiè gōng yè,sumitomojuukikaikougyou
トウカイドウ,东海道,dōng hǎi dào,toukaidou
フジワラミヤコ,藤原京,téng yuán jīng,fujiwaramiyako
キンタイキョウ,锦带桥,jǐn dài qiáo,kintaikyou
ヒロシマデンテツ,广岛电铁,guǎng dǎo diàn tiě,hiroshimadentetsu
カンモンキョウ,关门桥,guān mén qiáo,kanmonkyou
エツゼンマチ,越前町,yuè qián tǐng,etsuzenmachi
トキナー,图丽,tú lì,tokinā
キンキュウジシンソクホウ,紧急地震速报,jǐn jí dì zhèn sù bào,kinkyuujishinsokuhou
オオナルトキョウ,大鸣门桥,dà míng mén qiáo,oonarutokyou
ノムラホールディングス,野村控股,yě cūn kòng gǔ,nomurahōrudingusu
セガサミーホールディングス,世嘉飒美控股,shì jiā sà měi kòng gǔ,segasamīhōrudingusu
ゾウシガヤレイエン,杂司谷灵园,zá sī gǔ líng yuán,zoushigayareien
トウキョウカイジョウホールディングス,东京海上控股,dōng jīng hǎi shàng kòng gǔ,toukyoukaijouhōrudingusu
トウキョウガス,东京瓦斯,dōng jīng wǎ sī,toukyougasu
スミトモデンキコウギョウ,住友电气工业,zhù yǒu diàn qì gōng yè,sumitomodenkikougyou
ブルーインパルス,蓝色冲击波飞行表演队,lán sè chōng jī bō fēi xíng biǎo yǎn duì,burūinparusu
ニッポンミンシュセイネンドウメイ,日本民主青年同盟,rì běn mín zhǔ qīng nián tóng méng,nipponminshuseinendoumei
コウブンシャ,光文社,guāng wén shè,koubunsha
ヒロタジンジャ,广田神社,guǎng tián shén shè,hirotajinja
ニッポンアカデミーショウシュエンジョユウショウ,日本电影学院奖最佳女主角奖,rì běn diàn yǐng xué yuàn jiǎng zuì jiā nǚ zhǔ jué jiǎng,nipponakademīshoushuenjoyuushou
トウキョウコクサイマラソン,东京国际马拉松,dōng jīng guó jì mǎ lā sōng,toukyoukokusaimarason
ロクロクビ,辘轳首,lù lú shǒu,rokurokubi
ニッポンアカデミーショウアニメーションサクヒンショウ,日本电影学院奖最佳动画片奖,rì běn diàn yǐng xué yuàn jiǎng zuì jiā dòng huà piàn jiǎng,nipponakademīshouanimēshonsakuhinshou
サンケイシンブン,产经新闻,chǎn jīng xīn wén,sankeishinbun
ブンゴスイドウ,丰后水道,fēng hòu shuǐ dào,bungosuidou
ケイザイサンギョウショウ,经济产业省,jīng jì chǎn yè shěng,keizaisangyoushou
ナガタチョウ,永田町,yǒng tián tǐng,nagatachou
ケイヒンコウギョウチタイ,京滨工业地带,jīng bīn gōng yè dì dài,keihinkougyouchitai
テラコヤ,寺子屋,sì zǐ wū,terakoya
アイラカルデラ,姶良火山臼,è liáng huǒ shān jiù,airakarudera
カンサイホンセン,关西本线,guān xī běn xiàn,kansaihonsen
ホンインボウ,本因坊战,běn yīn fāng zhàn,honinbou
ナギソマチ,南木曾町,nán mù céng tǐng,nagisomachi
キリンビール,麒麟啤酒,qí lín pí jiǔ,kirinbīru
スカイレールサービスヒロシマタンキョリコウツウセノセン,广岛短距离交通濑野线,guǎng dǎo duǎn jù lí jiāo tōng lài yě xiàn,sukairērusābisuhiroshimatankyorikoutsuusenosen
ケイシチョウ,警视厅,jǐng shì tīng,keishichou
ダイヒ,大妃,dà fēi,daihi
コサカマチ,小坂町,xiǎo bǎn tǐng,kosakamachi
カイシャク,介错,jiè cuò,kaishaku
フジヌマダム,藤沼大坝,téng zhǎo dà bà,fujinumadamu
フジフイルムビジネスイノベーション,富士胶片商业创新,fù shì jiāo piàn shāng yè chuàng xīn,fujifuirumubijinesuinobēshon
セカイジュウドウセンシュケンタイカイ,世界柔道锦标赛,shì jiè róu dào jǐn biāo sài,sekaijuudousenshukentaikai
シンジョウマチ,新庄町,xīn zhuāng tǐng,shinjoumachi
カモジンジャ,贺茂神社,hè mào shén shè,kamojinja
タマチ,田町,tián tǐng,tamachi
キーエンス,基恩士,jī ēn shì,kīensu
フクオカコクサイマラソン,福冈国际马拉松,fú gāng guó jì mǎ lā sōng,fukuokakokusaimarason
オニカイカルデラ,鬼界破火山口,guǐ jiè pò huǒ shān kǒu,onikaikarudera
ソウヘイ,僧兵,sēng bīng,souhei
トウキョウコクサイジョシマラソン,东京国际女子马拉松,dōng jīng guó jì nǚ zǐ mǎ lā sōng,toukyoukokusaijoshimarason
ナカジマヒコウキ,中岛飞机,zhōng dǎo fēi jī,nakajimahikouki
アオキシワタルテラ,青岸渡寺,qīng àn dù sì,aokishiwatarutera
トヨタジドウショッキ,丰田自动织机,fēng tián zì dòng zhī jī,toyotajidoushokki
ショウネンガホウシャ,少年画报社,shào nián huà bào shè,shounengahousha
スタジオヒバリ,云雀工作室,yún què gōng zuò shì,sutajiohibari
カドカワエイガ,角川映画,jiǎo chuān yìng huà,kadokawaeiga
ブンカコウロウシャ,文化功劳者,wén huà gōng láo zhě,bunkakourousha
ゼンニホンフィギュアスケートセンシュケン,全日本花式溜冰锦标赛,quán rì běn huā shì liū bīng jǐn biāo sài,zennihonfigyuasukētosenshuken
カンパク,关白,guān bái,kanpaku
テンピョウ,天平,tiān píng,tenpyou
オキナワプレート,冲绳板块,chōng shéng bǎn kuài,okinawapurēto
ホクチョウ,北朝,běi cháo,hokuchou
イカタハツデンショ,伊方核能发电厂,yī fāng hé néng fā diàn chǎng,ikatahatsudensho
キョウトタワー,京都塔,jīng dōu tǎ,kyoutotawā
オオサカフサキシュウチョウシャ,大阪府咲洲厅舍,dà bǎn fǔ xiào zhōu tīng shè,oosakafusakishuuchousha
カロウ,家老,jiā lǎo,karou
ニッポンユウセン,日本邮船,rì běn yóu chuán,nipponyuusen
ニッポンアカデミーショウシュエンダンユウショウ,日本电影学院奖最佳男主角奖,rì běn diàn yǐng xué yuàn jiǎng zuì jiā nán zhǔ jué jiǎng,nipponakademīshoushuendanyuushou
ハンワジドウシャドウ,阪和自动车道,bǎn hé zì dòng chē dào,hanwajidoushadou
カブシキガイシャ,株式会社,zhū shì huì shè,kabushikigaisha
トコロマチ,常吕町,cháng lǚ tǐng,tokoromachi
キョウマチカ,京町家,jīng tǐng jiā,kyoumachika
ショウエン,庄园,zhuāng yuán,shouen
ナカツハン,中津藩,zhōng jīn fān,nakatsuhan
ソウヤトンネル,宗谷海峡通道,zōng gǔ hǎi xiá tōng dào,souyatonneru
ヨナグニウマ,与那国马,yǔ nà guó mǎ,yonaguniuma
トウキョウディズニーシー,东京迪士尼海洋,dōng jīng dí shì ní hǎi yáng,toukyoudizunīshī
キョウトゴショ,京都御所,jīng dōu yù suǒ,kyoutogosho
エキデンキョウソウ,驿传竞走,yì chuán jìng zǒu,ekidenkyousou
ゲンダイカナヅカイ,现代假名遣,xiàn dài jiǎ míng qiǎn,gendaikanadzukai
グンジサンギイン,军事参议院,jūn shì cān yì yuàn,gunjisangiin
オンキヨーホームエンターテイメント,安桥,ān qiáo,onkiyōhōmuentāteimento
フジドリームエアラインズ,富士梦幻航空,fù shì mèng huàn háng kōng,fujidorīmuearainzu
カイセイマチ,开成町,kāi chéng tǐng,kaiseimachi
アシガラカミグン,足柄上郡,zú bǐng shàng jùn,ashigarakamigun
ダマアキラゼン,默照禅,mò zhào chán,damaakirazen
ホクリクホンセン,北陆本线,běi lù běn xiàn,hokurikuhonsen
キリシマヤマ,雾岛山,wù dǎo shān,kirishimayama
ワラビモチ,蕨饼,jué bǐng,warabimochi
マクセル,麦克赛尔,mài kè sài ěr,makuseru
