angela merkel,アンゲラ・メルケル,angera・merukeru
ernst neef,エルンスト・ニーフ,erunsuto・nīfu
axel ockenfels,アクセル・オッケンフェルス,akuseru・okkenferusu
leonhard miksch,レオンハルト・ミクシュ,reonharuto・mikushu
leonhard gall,レーオンハルト・ガル,rēonharuto・garu
heinz emigholz,ハインツ・エミホルツ,haintsu・emihorutsu
wilhelm bendow,ヴィルヘルム・ベンドウ,viruherumu・bendou
lothar könig,ロタール・ケーニヒ,rotāru・kēnihi
karsten nohl,カルステン・ノール,karusuten・nōru
johannes thal,ヨハン・タール,yohan・tāru
josias weitbrecht,ヨージアス・ヴァイトブレヒト,yōjiasu・vaitoburehito
karl august förster,カール・アウグスト・フェルスター,kāru・augusuto・ferusutā
frank jeske,フランク・イェスケ,furanku・yesuke
hilde meisel,ヒルデ・マイゼル,hirude・maizeru
wolfgang bernhard,ヴォルフガング・ベルンハルト,vuォrufugangu・berunharuto
bernard meyer,ベルナルト・マイヤー,berunaruto・maiyā
philipp gerlach,フィリップ・ゲルラッハ,firippu・gerurahha
alwin walther,アルウィン・ヴァルター,aruwin・varutā
jutta lieske,ユッタ・リースケ,yutta・rīsuke
ludwig losacker,ルートヴィヒ・ロスアッカー,rūtovihi・rosuakkā
peter straub,ペーター・ストラウブ,pētā・sutoraubu
christoph maria herbst,クリストフ・マリア・ヘルブスト,kurisutofu・maria・herubusuto
uljana wolf,ウルヤナ・ヴォルフ,uruyana・vuォrufu
siegfried von roedern,ジークフリート・フォン・ロデルン,jīkufurīto・fon・roderun
tyron montgomery,タイロン・モントゴメリー,tairon・montogomerī
harry blum,ハリー・ブルム,harī・burumu
matthias bernegger,マティアス・ベルネガー,matiasu・berunegā
richard linsert,リヒャルト・リンザート,rihyaruto・rinzāto
hans wilhelm hagen,ハンス・ヴィルヘルム・ハーゲン,hansu・viruherumu・hāgen
eugen klöpfer,オイゲン・クレプファー,oigen・kurepufā
susanna simon,スザンナ・サイモン,suzanna・saimon
gerd schaller,ゲルト・シャラー,geruto・sharā
axel manthey,アクセル・マンゼイ,akuseru・manzei
immanuel bloch,インマヌエル・ブロッホ,inmanueru・burohho
willi eichler,ヴィリー・アイヒラー,virī・aihirā
tim seyfi,ティム・ザイフィ,timu・zaifi
margarete schlegel,マルガレーテ・シュレーゲル,marugarēte・shurēgeru
arnd klawitter,アルント・クラビッター,arunto・kurabittā
maria sebaldt,マリア・セバルト,maria・sebaruto
jürgen knieper,ユルゲン・クニーパー,yurugen・kunīpā
heinz schimmelpfennig,ハインツ・シンメルプフェニヒ,haintsu・shinmerupufenihi
valeska grisebach,ヴァレスカ・グリーゼバッハ,varesuka・gurīzebahha
ludwig kiepert,ルードヴィヒ・キーペルト,rūdovihi・kīperuto
daniela driendl,ダニエラ・ドリエンドル,daniera・doriendoru
gerhard schürer,ゲアハルト・シューラー,geaharuto・shūrā
kurt pinthus,クルト・ピントゥス,kuruto・pintusu
martin sperr,マルティン・シュペル,marutin・shuperu
siegfried eberhardt,ジークフリート・エベルハルト,jīkufurīto・eberuharuto
arno strobel,アルノ・シュトローベル,aruno・shutorōberu
erwin waldner,エルヴィン・ヴァルトナー,eruvin・varutonā
wolfgang vogel,ヴォルフガング・フォーゲル,vuォrufugangu・fōgeru
albert florath,アルベルト・フロラート,aruberuto・furorāto
albert krebs,アルベルト・クレープス,aruberuto・kurēpusu
joana,ヨアナ,yoana
gitta lind,ギッタ・リント,gitta・rinto
helfrich bernhard wenck,ヘルフリヒ・ベルンハルト・ヴェンク,herufurihi・berunharuto・vuェnku
matthias kuhle,マティアス・クーレ,matiasu・kūre
andré knöfel,アンドレ・クネーフェル,andore・kunēferu
walther gerdts,マック・ゲルツ,makku・gerutsu
rudolf noelte,ルドルフ・ネルテ,rudorufu・nerute
johann anton trinius,ヨハン・アントン・トリニウス,yohan・anton・toriniusu
florian stetter,フロアン・シュテッター,furoan・shutettā
august winnig,アウグスト・ヴィニヒ,augusuto・vinihi
gotthilf hempel,ゴットヒルフ・ヘンペル,gottohirufu・henperu
eberhard gothein,エーベルハルト・ゴータイン,ēberuharuto・gōtain
frigga haug,フリッガ・ハウク,furigga・hauku
tom toelle,トム・トエッレ,tomu・toerre
peter lohmeyer,ペーター・ローマイヤー,pētā・rōmaiyā
hermine sterler,ヘルミーネ・シュテルラー,herumīne・shuterurā
carola veit,カローラ・ファイト,karōra・faito
albrecht pfister,アルブレヒト・プフィスター,aruburehito・pufisutā
manfred george,マンフレート・ゲオルゲ,manfurēto・georuge
rudolf steinberg,ルドルフ・シュタインベルク,rudorufu・shutainberuku
thomas schneider,トーマス・シュナイダー,tōmasu・shunaidā
gisela von collande,ギゼラ・フォン・コランデ,gizera・fon・korande
adolf winkelmann,アドルフ・ヴィンケルマン,adorufu・vinkeruman
volkmar braunbehrens,フォルクマール・ブラウンベーレンス,forukumāru・buraunbērensu
julia dahmen,ジュリア・ダーメン,juria・dāmen
karl alwin,カール・アルヴィン,kāru・aruvin
franziska walser,フランツィスカ・ヴァルザー,furantsisuka・varuzā
fedor von zobeltitz,フョードル・フォン・ツォーベルティッツ,fuョーdoru・fon・tsōberutittsu
hans caninenberg,ハンズ・カニネンバーグ,hanzu・kaninenbāgu
michael degen,ミヒャエル・デーゲン,mihyaeru・dēgen
herbert gruhl,ヘルベルト・グルール,heruberuto・gurūru
maike von bremen,マイケン・フォン・ブレーメン,maiken・fon・burēmen
carl seffner,カール・ゼフナー,kāru・zefunā
ernst welteke,エルンスト・ヴェルテケ,erunsuto・vuェruteke
wilhelm schlombs,ウィルヘルム・シュロンブ,wiruherumu・shuronbu
ferdinand fabra,フェルディナント・ファプラ,ferudinanto・fapura
paul sethe,パウル・ゼーテ,pauru・zēte
herbert spohn,ヘルベルト・スポーン,heruberuto・supōn
alois kottmann,アロイス・コットマン,aroisu・kottoman
michel koch,ミヒェル・コッホ,mihiェru・kohho
walter hückel,ヴァルター・ヒュッケル,varutā・hyukkeru
heinz schubert,ハインツ・シューベルト,haintsu・shūberuto
peter walter,ピーター・ウォルター,pītā・worutā
friedrich von dönhoff,フリードリヒ・フォン・デンホフ,furīdorihi・fon・denhofu
wilfried huismann,ヴィルフリート・ヒュースマン,virufurīto・hyūsuman
monika baumgartner,モニカ・バウムガートナー,monika・baumugātonā
franz dinda,フランツ・ディンダ,furantsu・dinda
siegfried obermeier,ジークフリート・オーバーマイヤー,jīkufurīto・ōbāmaiyā
martha schad,マルタ・シャート,maruta・shāto
ulrike herrmann,ウルリケ・ヘルマン,ururike・heruman
martin geck,マルティン・ゲック,marutin・gekku
diego wallraff,ディエゴ・ウォールラフ,diego・wōrurafu
johann nepomuk von triva,ヨハン・ネポムク・フォン・トゥリーヴァ,yohan・nepomuku・fon・turīva
friedrich griese,フリードリヒ・グリーゼ,furīdorihi・gurīze
markus rehm,マルクス・レーム,marukusu・rēmu
carolin reiber,カロリン・ライベル,karorin・raiberu
lars kraume,ラース・クラウメ,rāsu・kuraume
karl kranzkowski,カール・クランツコフスキー,kāru・kurantsukofusukī
ellis kaut,エリス・カウト,erisu・kauto
jan van weyde,ヤン・ヴァン・ウィイド,yan・van・wiido
rykle borger,リカレイ・ボーガー,rikarei・bōgā
janina uhse,ヤニーナ・ウーゼ,yanīna・ūze
dietrich henschel,ディートリヒ・ヘンシェル,dītorihi・hensheru
hans hefelmann,ハンス・ヘフェルマン,hansu・heferuman
arthur brauss,アーサー・ブラス,āsā・burasu
albert lieven,アルバート・リーベン,arubāto・rīben
sümeyye manz,スメイエー・マンツ,sumeiē・mantsu
anna loos,アンナ・ルース,anna・rūsu
david mevius,ダーヴィット・メヴィウス,dāvitto・meviusu
august merges,アウグスト・メルゲス,augusuto・merugesu
marie zielcke,マリー・ツィルケ,marī・tsiruke
erich schatzki,エーリッヒ・シャッツキー,ērihhi・shattsukī
claus peymann,クラウス・パイマン,kurausu・paiman
wolfram eberhard,ヴォルフラム・エーバーハルト,vuォrufuramu・ēbāharuto
eduard von der hellen,エドゥアルト・フォン・デア・ヘレン,eduaruto・fon・dea・heren
schorsch kamerun,ショルシュ・カメルーン,shorushu・kamerūn
gerret korsemann,ゲレット・コルゼマン,geretto・koruzeman
werner küchenthal,ヴェルナー・クーヘンタール,vuェrunā・kūhentāru
franz josef wittemann,フランツ・ヨーゼフ・ヴィッテマン,furantsu・yōzefu・vitteman
ludwig blochberger,ルートヴィヒ・ブロッホベルガー,rūtovihi・burohhoberugā
klaus clusius,クラウス・クルティス,kurausu・kurutisu
paul schröder,パウル・シュレーダー,pauru・shurēdā
bernhard kuhnt,ベルンハルト・クント,berunharuto・kunto
heinrich schmitthenner,ハインリッヒ・シュミットヘンナー,hainrihhi・shumittohennā
maryam zaree,マリアム・ザリー,mariamu・zarī
joseph koeth,ヨーゼフ・ケート,yōzefu・kēto
gerd baltus,ゲルト・バルトス,geruto・barutosu
otto kuhler,オットー・クーラー,ottō・kūrā
heinrich jasper,ハインリヒ・ヤスパー,hainrihi・yasupā
katharina schüttler,カタリーナ・シュトラー,katarīna・shutorā
günter baaske,ギュンター・バースケ,gyuntā・bāsuke
otto magnus von dönhoff,オットー・マグヌス・フォン・デンホフ,ottō・magunusu・fon・denhofu
josef ferstl,ヨーゼフ・フェルストゥル,yōzefu・ferusuturu
christian worch,クリスティアン・ヴォルヒ,kurisutian・vuォruhi
johann wenzel,ヨハン・ヴェンツェル,yohan・vuェntseru
clemens hasse,クレメンス・ハッセ,kuremensu・hasse
coco schumann,ココ・シューマン,koko・shūman
martin ruhe,マーティン・ルーエ,mātin・rūe
wolfgang reitzle,ヴォルフガング・ライツレ,vuォrufugangu・raitsure
rudolph eberstadt,ルドルフ・エーバーシュタット,rudorufu・ēbāshutatto
friedrich leopold von geßler,フリードリヒ・レオポルト・フォン・ゲスラー,furīdorihi・reoporuto・fon・gesurā
rudolf kühnhold,ルドルフ・キューンホルト,rudorufu・kyūnhoruto
sebastian schulz,セバスティアン・シュルツ,sebasutian・shurutsu
ragna schirmer,ラグナ・シルマー,raguna・shirumā
konrad wilhelm von wernau,コンラート・ヴィルヘルム・ソン・ヴェルナウ,konrāto・viruherumu・son・vuェrunau
karl herrligkoffer,カール・ヘルリヒコッファー,kāru・herurihikoffā
ferdinand von alten,フェルディナンド・フォン・アルテン,ferudinando・fon・aruten
leopold schwarzschild,レオポルト・シュワルツシルト,reoporuto・shuwarutsushiruto
erich everth,エリック・エフェルト,erikku・eferuto
johannes vogel,ヨハネス・フォーゲル,yohanesu・fōgeru
edgar istel,エドガー・イステル,edogā・isuteru
franz egenieff,フランツ・エーゲンニーフ,furantsu・ēgennīfu
ludwig schwamb,ルートヴィヒ・シュヴァンプ,rūtovihi・shuvanpu
jürgen fritz,ユルゲン・フリッツ,yurugen・furittsu
robert leipertz,ロベルト・ライペルツ,roberuto・raiperutsu
walter baetke,ヴァルター・ベトケ,varutā・betoke
maybrit illner,マイブリート・イルナー,maiburīto・irunā
wilhelm koenen,ヴィルヘルム・コェーネン,viruherumu・koェーnen
dbo,ディーボ,dībo
conrad patzig,コンラート・パッツィヒ,konrāto・pattsihi
kurd kisshauer,クルト・キシャウアー,kuruto・kishauā
rolf hagedorn,ロルフ・ハーゲドーン,rorufu・hāgedōn
christian becker,クリスティアン・ベッカー,kurisutian・bekkā
hanns lothar,ハンス・ロター,hansu・rotā
hellmuth von ruckteschell,ヘルムート・フォン・ルクテシェル,herumūto・fon・rukutesheru
christian enzensberger,クリスティアン・エンツェンスベルガー,kurisutian・entsensuberugā
mick werup,ミック・ウォーアップ,mikku・wōappu
hermann bote,ヘルマン・ボーテ,heruman・bōte
ikaros bigi,イカロス・ビギ,ikarosu・bigi
ines pohl,イネス・ポール,inesu・pōru
evelyn haas,エーヴェリン・ハース,ēvuェrin・hāsu
antonio daniloski,アントニオ・ダニロスキ,antonio・danirosuki
rupert stadler,ルパート・シュタドラー,rupāto・shutadorā
adolf sauerland,アドルフ・ザウアーラント,adorufu・zauāranto
maximilian schuler,マックス・シュラー,makkusu・shurā
felix auerbach,フェリックス・アウエルバッハ,ferikkusu・auerubahha
adolph göpel,アドルフ・ゲッペル,adorufu・gepperu
karin binder,カリン・バインダー,karin・baindā
gerhard woitzik,ゲルハルト・ヴォイツィク,geruharuto・vuォitsiku
rudolf springer,ルドルフ・スプリンガー,rudorufu・supuringā
günter pfitzmann,ギュンター・フィッツマン,gyuntā・fittsuman
manfred salzgeber,マンフレッド・ザルツゲーバー,manfureddo・zarutsugēbā
oskar dinort,オスカー・ディノルト,osukā・dinoruto
helmut ringsdorf,ヘルムート・リングスドルフ,herumūto・ringusudorufu
rolf hermichen,ロルフ・ヘルミヒェン,rorufu・herumihiェn
wilhelm von opel,ヴィルヘルム・フォン・オペル,viruherumu・fon・operu
kurt flasch,クルト・フラッシュ,kuruto・furasshu
werner stötzer,ヴェルナー・シュテッツァー,vuェrunā・shutettsā
gerhard zucker,ゲルハルト・ツッカー,geruharuto・tsukkā
hermann kallenbach,ヘルマン・カレンバッハ,heruman・karenbahha
kathrin bringmann,カトリーン・ブリングマン,katorīn・buringuman
heinrich greinacher,ハインリヒ・グライナッヘル,hainrihi・gurainahheru
klaus feldt,クラウス・フェルト,kurausu・feruto
alexander von dönhoff,アレクサンダー・フォン・デンホフ,arekusandā・fon・denhofu
walter heiligenberg,ウォルター・ハイリゲンベルグ,worutā・hairigenberugu
