françois hollande,フランソワ・オランド,furansowa・orando
andré dewavrin,アンドレ・ドゥヴァヴラン,andore・duvavuran
charles ephrussi,シャルル・エフルッシ,sharuru・efurusshi
rina ketty,リナ・ケティ,rina・keti
camille du locle,カミーユ・デュ・ロークル,kamīyu・dyu・rōkuru
véronique sanson,ヴェロニク・サンソン,vuェroniku・sanson
andréa ferréol,アンドレア・フェレオル,andorea・fereoru
horace sébastiani,オラス・セバスティアニ,orasu・sebasutiani
pierre gilliard,ピエール・ギラード,piēru・girādo
géraldine pailhas,ジェラルディン・ペラス,jerarudin・perasu
sylvie le bon de beauvoir,シルヴィ・ル・ボン・ド・ボーヴォワール,shiruvi・ru・bon・do・bōvuォwāru
quatremère de quincy,カトルメール・ド・カンシー,katorumēru・do・kanshī
béatrice romand,ベアトリス・ロマン,beatorisu・roman
rémy joseph isidore exelmans,レミ・ジョセフ・イシドール・エグゼルマン,remi・josefu・ishidōru・eguzeruman
victor vicas,ヴィクター・ヴィカス,vikutā・vikasu
colin clive,コリン・クライヴ,korin・kuraivu
eugène labiche,ウジェーヌ・ラビッシュ,ujēnu・rabisshu
suzanne curchod,シュザンヌ・ネッケル,shuzannu・nekkeru
isabelle de ludres,イザベル・ド・リュドル,izaberu・do・ryudoru
patrick fiori,パトリック・フィオーリ,patorikku・fiōri
gisèle casadesus,ジゼル・カサデサス,jizeru・kasadesasu
hector bianciotti,エクトール・ビアンシォッティ,ekutōru・bianshiォtti
françois loeser,フランソワ・レゼ,furansowa・reze
howard vernon,ハワード・ヴァーノン,hawādo・vānon
tristan bernard,トリスタン・ベルナール,torisutan・berunāru
maximilien de béthune,マクシミリアン・ド・ベテュヌ,makushimirian・do・betyunu
alain bashung,アラン・バシュン,aran・bashun
maurice rouvier,モーリス・ルーヴィエ,mōrisu・rūvie
ernest courtot de cissey,エルネスト・クルトー・ド・シセ,erunesuto・kurutō・do・shise
guesch patti,ゲッシュ・パティー,gesshu・patī
louis varney,ルイ・ヴェルネー,rui・vuェrunē
mimsy farmer,ミムジー・ファーマー,mimujī・fāmā
louise bertin,ルイーズ・ベルタン,ruīzu・berutan
corinne calvet,コリンヌ・カルヴェ,korinnu・karuvuェ
andré grabar,アンドレ・グラバール,andore・gurabāru
eugenie sellers strong,ユージェニー・セラーズ・ストロング,yūjenī・serāzu・sutorongu
bernard pierre magnan,ベルナール・ピエール・マニャン,berunāru・piēru・manyan
ursula meier,ウルスラ・メイヤー,urusura・meiyā
charles floquet,シャルル・フロケ,sharuru・furoke
maurice estève,モーリス・エステーヴ,mōrisu・esutēvu
richard cocciante,リッカルド・コッチャンテ,rikkarudo・kotchante
victor cherbuliez,ヴィクトール・シェルブリエ,vikutōru・sheruburie
denis duboule,デニス・ドゥブール,denisu・dubūru
jean meslier,ジャン・メリエ,jan・merie
buatier de kolta,ビュアティエ・ド・コルタ,byuatie・do・koruta
loane,ロアン,roan
andré laks,アンドレ・ラクス,andore・rakusu
julia clair,ジュリア・クレール,juria・kurēru
francis thomé,フランシス・トーメ,furanshisu・tōme
paul féval,ポール・フェヴァル,pōru・fevaru
honoré d'estienne d'orves,オノレ・デスティエンヌ・ドルヴ,onore・desutiennu・doruvu
roxana maracineanu,ロクサナ・マラシネアヌ,rokusana・marashineanu
gustave aimard,ギュスターヴ・エマール,gyusutāvu・emāru
jean barbeyrac,ジャン・バルベラック,jan・baruberakku
éléonore hirt,エレオノール・イル,ereonōru・iru
pascale ogier,パスカル・オジェ,pasukaru・oje
rosine stoltz,ロジーヌ・ストルツ,rojīnu・sutorutsu
pierrette fleutiaux,ピエレット・フルティオー,pieretto・furutiō
charlotte alexandra,シャーロッテ・アレクサンドラ,shārotte・arekusandora
james guillaume,ジェーム・ギヨーム,jēmu・giyōmu
angelica garnett,アンジェリカ・ガーネット,anjerika・gānetto
leon dabo,レオン・ダボ,reon・dabo
jean dréville,ジャン・ドレヴィル,jan・doreviru
léon carvalho,レオン・カルヴァロ,reon・karuvaro
simon fourcade,シモン・フールカデ,shimon・fūrukade
vanessa demouy,ヴァネッサ・デモウイ,vanessa・demoui
louis rougier,ルイ・レージエ,rui・rējie
théophile homolle,テオフィル・オモル,teofiru・omoru
félix gouin,フェリックス・グーアン,ferikkusu・gūan
alphonse juin,アルフォンス・ジュアン,arufonsu・juan
emmanuelle haïm,エマニュエル・アイム,emanyueru・aimu
jean stern,ジャン・ステルン,jan・suterun
charles spaak,シャルル・スパーク,sharuru・supāku
isabelle blanc,イザベル・ブラン,izaberu・buran
claude frollo,ジャン・フロロ,jan・furoro
andré lerond,アンドレ・ルロン,andore・ruron
akram ojjeh,アクラム・オジェ,akuramu・oje
pierre broué,ピエール・ブルーエ,piēru・burūe
mélanie doutey,メラニー・ドゥーテ,meranī・dūte
séverine caneele,セヴリーヌ・カネル,sevurīnu・kaneru
hélène rollès,エレーヌ・ロレ,erēnu・rore
dina vierny,ディナ・ヴィエルニ,dina・vieruni
alain caveglia,アラン・カヴェリア,aran・kavuェria
alain savary,アラン・サヴァリ,aran・savari
charles barrois,シャルル・バロア,sharuru・baroa
martial raysse,マルシャル・レイス,marusharu・reisu
bernard clavel,ベルナール・クラヴェル,berunāru・kuravuェru
gérard schneider,ジェラール・シュネデール,jerāru・shunedēru
pierre pucheu,ピエール・ピュシュー,piēru・pyushū
marcel vertès,マルセル・ヴェルテス,maruseru・vuェrutesu
emmanuel laroche,エマニュエル・ラロシェ,emanyueru・raroshe
gesaffelstein,グザフェルシュタイン,guzaferushutain
doriane vidal,ドリアーヌ・ヴィダル,doriānu・vidaru
jacques rouché,ジャック・ルーシェ,jakku・rūshe
joseph boze,ジョゼフ・ボーゼ,jozefu・bōze
guillaume de malavalle,ギヨーム・ド・マラヴァッレ,giyōmu・do・maravarre
paul baudouin,ポール・ボードウィン,pōru・bōdowin
joseph bédier,ジョゼフ・ベディエ,jozefu・bedie
sylvain luc,シルヴァン・リュック,shiruvan・ryukku
andré le troquer,アンドレ・ル・トロケ,andore・ru・toroke
colbert marlot,コルベア・マルロー,korubea・marurō
suzanne hoschedé,スザンヌ・オシュデ,suzannu・oshude
hervé télémaque,エルヴェ・テレマック,eruvuェ・teremakku
edmond malinvaud,エドモンド・マランヴォー,edomondo・maranvuォー
roman cieslewicz,ロマン・シエスレヴィチ,roman・shiesurevichi
gustave choquet,ギュスタヴ・ショケ,gyusutavu・shoke
georges henri halphen,ジョルジュ・アンリ・アルファン,joruju・anri・arufan
alain jessua,アラン・ジェシュア,aran・jeshua
bruno de keyzer,ブリュノ・ド・ケイゼル,buryuno・do・keizeru
auguste cornu,オーギュスト・コルニュ,ōgyusuto・korunyu
auguste marie raymond d'arenberg,オーギュスト・マリー・レーモン・ダランベール,ōgyusuto・marī・rēmon・daranbēru
charles beslay,シャルル・ベレー,sharuru・berē
andrée putman,アンドレ・プットマン,andore・puttoman
andré mahé,アンドレ・マエ,andore・mae
isabelle dinoire,イザベル・ディノワール,izaberu・dinowāru
marie angélique de scorailles,マリー・アンジェリク・ド・フォンタンジュ,marī・anjeriku・do・fontanju
auguste champetier de ribes,オーギュスト・シャンプティエ・ド・リブ,ōgyusuto・shanputie・do・ribu
pol plançon,ポル・プランソン,poru・puranson
catherine ringer,カトリーヌ・ランジェ,katorīnu・ranje
jean delannoy,ジャン・ドラノワ,jan・doranowa
edwige feuillère,エドヴィージュ・フィエール,edovīju・fiēru
andré michelin,アンドレ・ミシュラン,andore・mishuran
gabriel péri,ガブリエル・ペリ,gaburieru・peri
jean gaudemet,ジャン・ゴードメ,jan・gōdome
amédée bollée,アメデー・ボレー,amedē・borē
jacques morali,ジャック・モラリ,jakku・morari
corinne maier,コリーヌ・マイヤー,korīnu・maiyā
anémone,アネモーネ,anemōne
catherine leterrier,カトリーヌ・ルテリエ,katorīnu・ruterie
bernard laidebeur,ベルナール・レドブール,berunāru・redobūru
jennifer decker,ジェニファー・デッカー,jenifā・dekkā
wally badarou,ワリー・バダロウ,warī・badarou
ronny abraham,ロニー・アブラハム,ronī・aburahamu
carlo filangieri,カルロ・フィランジェリ,karuro・firanjeri
amédée achard,アメデ・アシャール,amede・ashāru
denis richet,ドニ・リシェ,doni・rishe
vincent clerc,ヴァンサン・クレール,vansan・kurēru
émile gebhart,エミール・ゲパール,emīru・gepāru
caroline proust,カロリーヌ・プルースト,karorīnu・purūsuto
yvonne sanson,イヴォンヌ・サンソン,ivuォnnu・sanson
charles texier,チャールズ・テキシェ,chāruzu・tekishe
andré martineau,アンドレ・マルティノー,andore・marutinō
marthe richard,マルト・リシャール,maruto・rishāru
andré néron,アンドレ・ネロン,andore・neron
pascal pia,パスカル・ピア,pasukaru・pia
marc keller,マルク・ケラー,maruku・kerā
jeanbaptiste cloots,アナカルシス・クローツ,anakarushisu・kurōtsu
nicoletta,ニコレッタ,nikoretta
paul genevay,ポール・ジュヌヴェ,pōru・junuvuェ
yvonne printemps,イヴォンヌ・プランタン,ivuォnnu・purantan
nicolas métru,ニコラ・メトリュ,nikora・metoryu
antoine cuissard,アントワーヌ・クイサール,antowānu・kuisāru
barthélemy aneau,バルテルミー・アノー,baruterumī・anō
claude faraldo,クロード・ファラルド,kurōdo・fararudo
pierre poujade,ピエール・プジャド,piēru・pujado
andré nocquet,アンドレ・ノケ,andore・noke
adolphe joanne,アドルフ・ジョアン,adorufu・joan
raimond castaing,レイモンド・キャスティング,reimondo・kyasutingu
françois rebsamen,フランソワ・レブサメン,furansowa・rebusamen
thomas ebbesen,トーマス・エッベセン,tōmasu・ebbesen
georges cravenne,ジョルジュ・クラヴァンヌ,joruju・kuravannu
nicolas gessner,ニコラス・ジェスネル,nikorasu・jesuneru
colette peignot,コレット・ペニョ,koretto・penyo
jenny longuet,ジェニー・ロンゲ,jenī・ronge
louis nucera,ルイ・ヌスラ,rui・nusura
maxime rodinson,マクシム・ロダンソン,makushimu・rodanson
august hermann ewerbeck,アウグスト・ヘルマン・エヴェーアベック,augusuto・heruman・evuェーabekku
sorj chalandon,ソルジュ・シャランドン,soruju・sharandon
anny duperey,アニー・デュプレー,anī・dyupurē
jean van heijenoort,ジャン・ファン・ハイエノールト,jan・fan・haienōruto
simon pierre tchoungui,シモン・ピエール・チュンギ,shimon・piēru・chungi
ali khan,アリ・ハーン,ari・hān
pierre magnol,ピエール・マニョール,piēru・manyōru
andré salmon,アンドレ・サルモン,andore・sarumon
marcel aubour,マルセル・オーブール,maruseru・ōbūru
léo lacroix,レオ・ラクロワ,reo・rakurowa
rené prosper tassin,ルネ・プロスペル・タッサン,rune・purosuperu・tassan
jérôme carcopino,ジェローム・カルコピーノ,jerōmu・karukopīno
hortense schneider,オルタンス・シュネデール,orutansu・shunedēru
denise darcel,デニーズ・ダーセル,denīzu・dāseru
roger blin,ロジェ・ブラン,roje・buran
roman opałka,ロマン・オパルカ,roman・oparuka
nélie jacquemart,ネリー・ジャックマール,nerī・jakkumāru
étienne aymonier,エティエンヌ・エーモニエ,etiennu・ēmonie
joseph caillaux,ジョゼフ・カイヨー,jozefu・kaiyō
serge poliakoff,セルジュ・ポリアコフ,seruju・poriakofu
bernard silvestre,ベルナルドゥス・シルウェストリス,berunarudusu・shiruwesutorisu
anatole le braz,アナトール・ル・ブラーズ,anatōru・ru・burāzu
andré strappe,アンドレ・ストラップ,andore・sutorappu
andré suarès,アンドレ・シュアレス,andore・shuaresu
maxime leroux,マキシム・ルロー,makishimu・rurō
zoran rendulić,ゾラン・レンドゥリッチ,zoran・renduritchi
perrig quéméneur,ペーリ・ケムヌール,pēri・kemunūru
honoré flaugergues,ホノレ・フレージャー,honore・furējā
anaïs romand,アナイス・ロマン,anaisu・roman
andré theuriet,アンドレ・トゥーリエ,andore・tūrie
andré thevet,アンドレ・テヴェ,andore・tevuェ
loïc merel,ロイック・メレル,roikku・mereru
joanna miles,ジョアナ・マイルズ,joana・mairuzu
geneviève page,ジュヌヴィエーヴ・パージュ,junuviēvu・pāju
andré verchuren,アンドレ・ヴェルシュラン,andore・vuェrushuran
armand de périgord,アルマン・ド・ペリゴール,aruman・do・perigōru
alice regnault,アリス・レニョー,arisu・renyō
louis lachenal,ルイ・ラシュナル,rui・rashunaru
toussaint dubreuil,トゥッサン・デュブルイユ,tussan・dyuburuiyu
ovidie,オビディ,obidi
andré warnod,アンドレ・ワルノー,andore・warunō
hervé,エルヴェ,eruvuェ
jean law de lauriston,ジャン・ロー・デ・ローリストン,jan・rō・de・rōrisuton
camille abily,カミーユ・アビリー,kamīyu・abirī
pol bury,ポル・ビュリ,poru・byuri
charles crupelandt,シャルル・クリュペラント,sharuru・kuryuperanto
andrea sedláčková,アンドレア・セドラツコヴァ,andorea・sedoratsukova
