inna,茵娜,yīn nà
oporelu,奥波雷卢乡,ào bō léi lú xiāng
oprișor,奥普里绍尔乡,ào pǔ lǐ shào ěr xiāng
orlea,奥尔莱亚乡,ào ěr lái yà xiāng
mușetești,穆谢泰什蒂乡,mù xiè tài shén dì xiāng
mârșani,马尔沙尼乡,mǎ ěr shā ní xiāng
mădulari,默杜拉里乡,mò dù lā lǐ xiāng
mârzănești,默尔泽内什蒂乡,mò ěr zé nèi shén dì xiāng
munteni,蒙泰尼乡,méng tài ní xiāng
naidăș,奈德什乡,nài dé shén xiāng
măstăcani,默斯特卡尼乡,mò sī tè kǎ ní xiāng
mănăștiur,默讷什蒂乌尔乡,mò nè shén dì wū ěr xiāng
mătăsari,默特萨里乡,mò tè sà lǐ xiāng
oșești,奥谢什蒂乡,ào xiè shén dì xiāng
panaci,帕纳奇乡,pà nà qí xiāng
parva,帕尔瓦乡,pà ěr wǎ xiāng
pristol,普里斯托尔乡,pǔ lǐ sī tuō ěr xiāng
prăjeni,普勒热尼乡,pǔ lè rè ní xiāng
pușcași,普什卡希乡,pǔ shén kǎ xī xiāng
săuca,瑟乌卡乡,sè wū kǎ xiāng
poienisolca,波耶尼索尔卡乡,bō yē ní suǒ ěr kǎ xiāng
mălini,默利尼乡,mò lì ní xiāng
poienești,波耶内什蒂乡,bō yē nèi shén dì xiāng
podeni,波代尼乡,bō dài ní xiāng
țețchea,采茨凯亚乡,cǎi cí kǎi yà xiāng
nenciulești,嫩丘莱什蒂乡,nèn qiū lái shén dì xiāng
niculițel,尼库利采尔乡,ní kù lì cǎi ěr xiāng
năsturelu,讷斯图雷卢乡,nè sī tú léi lú xiāng
nițchidorf,蒂米什县,dì mǐ shén xiàn
obârșia,奥伯尔希亚乡,ào bǎi ěr xī yà xiāng
scobinți,斯科宾齐乡,sī kē bīn qí xiāng
roseți,罗塞齐乡,luó sāi qí xiāng
rotunda,罗通达乡,luó tōng dá xiāng
plopșoru,普洛普绍鲁乡,pǔ luò pǔ shào lǔ xiāng
pochidia,波基迪亚乡,bō jī dí yà xiāng
podari,波达里乡,bō dá lǐ xiāng
poeni,波埃尼乡,bō āi ní xiāng
ramna,拉姆纳乡,lā mǔ nà xiāng
rebricea,雷布里恰乡,léi bù lǐ qià xiāng
râca,勒卡乡,lè kǎ xiāng
păltiniș,珀尔蒂尼什乡,pò ěr dì ní shén xiāng
racșa,拉克沙乡,lā kè shā xiāng
radovan,拉多万乡,lā duō wàn xiāng
sprâncenata,斯普伦切纳塔乡,sī pǔ lún qiè nà tǎ xiāng
siminicea,锡米尼恰乡,xī mǐ ní qià xiāng
slivilești,斯利维莱什蒂乡,sī lì wéi lái shén dì xiāng
pielești,皮耶莱什蒂乡,pí yē lái shén dì xiāng
pleșoiu,普莱绍尤乡,pǔ lái shào yóu xiāng
plopiislăvitești,普洛皮斯勒维泰什蒂乡,pǔ luò pí sī lè wéi tài shén dì xiāng
olanu,奥拉努乡,ào lā nǔ xiāng
pojejena,波耶耶纳乡,bō yē yē nà xiāng
pojorâta,波若勒塔乡,bō ruò lè tǎ xiāng
pomârla,波默尔拉乡,bō mò ěr lā xiāng
polovragi,波洛夫拉吉乡,bō luò fū lā jí xiāng
parța,帕尔察乡,pà ěr chá xiāng
peretu,佩雷图乡,pèi léi tú xiāng
perieni,佩列尼乡,pèi liè ní xiāng
perișor,佩里绍尔乡,pèi lǐ shào ěr xiāng
rociu,罗丘乡,luó qiū xiāng
roma,罗马乡,luó mǎ xiāng
români,罗默尼乡,luó mò ní xiāng
straja,斯特拉扎乡,sī tè lā zhā xiāng
stoina,斯托伊纳乡,sī tuō yī nà xiāng
stolnici,斯托尔尼奇乡,sī tuō ěr ní qí xiāng
studina,斯图迪纳乡,sī tú dí nà xiāng
scundu,斯昆杜乡,sī kūn dù xiāng
scoarța,斯夸尔察乡,sī kuā ěr chá xiāng
seaca,塞亚卡乡,sāi yà kǎ xiāng
rădăuțiprut,勒德乌齐普鲁特乡,lè dé wū qí pǔ lǔ tè xiāng
ostra,奥斯特拉乡,ào sī tè lā xiāng
ostroveni,奥斯特罗韦尼乡,ào sī tè luó wéi ní xiāng
sălățig,瑟勒齐格乡,sè lè qí gé xiāng
răchiți,勒基齐乡,lè jī qí xiāng
răcășdia,勒克什迪亚乡,lè kè shén dí yà xiāng
oteșani,奥泰沙尼乡,ào tài shā ní xiāng
paltin,帕尔廷乡,pà ěr tíng xiāng
teasc,泰亚斯克乡,tài yà sī kè xiāng
teiu,泰尤乡,tài yóu xiāng
telești,泰莱什蒂乡,tài lái shén dì xiāng
slimnic,斯利姆尼克乡,sī lì mǔ ní kè xiāng
scăești,斯克埃什蒂乡,sī kè āi shén dì xiāng
slatinatimiș,斯拉蒂纳蒂米什乡,sī lā dì nà dì mǐ shén xiāng
predești,普雷代什蒂乡,pǔ léi dài shén dì xiāng
prigoria,普里戈里亚乡,pǔ lǐ gē lǐ yà xiāng
priboieni,普里博耶尼乡,pǔ lǐ bó yē ní xiāng
priseaca,普里塞亚卡乡,pǔ lǐ sāi yà kǎ xiāng
spineni,斯皮内尼乡,sī pí nèi ní xiāng
stejari,斯泰扎里乡,sī tài zhā lǐ xiāng
spulber,斯普尔贝尔乡,sī pǔ ěr bèi ěr xiāng
sadova,萨多瓦乡,sà duō wǎ xiāng
saelele,萨埃莱莱乡,sà āi lái lái xiāng
sacu,萨库乡,sà kù xiāng
stulpicani,斯图尔皮卡尼乡,sī tú ěr pí kǎ ní xiāng
stănilești,斯特尼莱什蒂乡,sī tè ní lái shén dì xiāng
suceveni,苏切韦尼乡,sū qiè wéi ní xiāng
turcinești,图尔西内什蒂乡,tú ěr xī nèi shén dì xiāng
turburea,图尔布雷亚,tú ěr bù léi yà
tâmna,特姆纳乡,tè mǔ nà xiāng
troianul,特罗亚努尔乡,tè luó yà nǔ ěr xiāng
suharău,苏哈勒乌乡,sū hā lè wū xiāng
suhurlui,苏胡尔卢伊乡,sū hú ěr lú yī xiāng
sulița,苏利察乡,sū lì chá xiāng
teregova,泰雷戈瓦乡,tài léi gē wǎ xiāng
tigveni,蒂格韦尼乡,dì gé wéi ní xiāng
todireni,托迪雷尼乡,tuō dí léi ní xiāng
tălpaș,特尔帕什乡,tè ěr pà shén xiāng
udaclocociov,乌达克洛科乔夫乡,wū dá kè luò kē qiáo fū xiāng
udești,乌代什蒂乡,wū dài shén dì xiāng
ulma,乌尔马乡,wū ěr mǎ xiāng
urzica,乌尔济卡乡,wū ěr jì kǎ xiāng
romtehnica,罗姆特尼察,luó mǔ tè ní chá
șuici,舒伊奇乡,shū yī qí xiāng
știuca,什蒂乌卡乡,shén dì wū kǎ xiāng
vutcani,武特卡尼乡,wǔ tè kǎ ní xiāng
vărădia,沃勒迪亚乡,wò lè dí yà xiāng
zorleni,佐尔莱尼乡,zuǒ ěr lái ní xiāng
zăpodeni,泽波代尼乡,zé bō dài ní xiāng
întorsura,恩托尔苏拉乡,ēn tuō ěr sū lā xiāng
șendreni,申德雷尼乡,shēn dé léi ní xiāng
vela,韦拉乡,wéi lā xiāng
verești,韦雷什蒂乡,wéi léi shén dì xiāng
tăcuta,特库塔乡,tè kù tǎ xiāng
socol,索科尔乡,suǒ kē ěr xiāng
unțeni,温采尼乡,wēn cǎi ní xiāng
vaideeni,瓦伊代埃尼乡,wǎ yī dài āi ní xiāng
topleț,托普莱茨乡,tuō pǔ lái cí xiāng
topana,托帕纳乡,tuō pà nà xiāng
tomnatic,托姆纳蒂克乡,tuō mǔ nà dì kè xiāng
vitănești,维特内什蒂乡,wéi tè nèi shén dì xiāng
sârbeni,瑟尔贝尼乡,sè ěr bèi ní xiāng
săcelu,瑟切卢乡,sè qiè lú xiāng
săulești,瑟乌莱什蒂乡,sè wū lái shén dì xiāng
vorona,沃罗纳乡,wò luó nà xiāng
vlăsinești,弗勒西内什蒂乡,fú lè xī nèi shén dì xiāng
voloiac,沃洛亚克乡,wò luò yà kè xiāng
vorniceni,沃尔尼切尼乡,wò ěr ní qiè ní xiāng
coșna,科什纳乡,kē shén nà xiāng
dornești,多尔内什蒂乡,duō ěr nèi shén dì xiāng
crișeni,克里谢尼乡,kè lǐ xiè ní xiāng
cuzăplac,库泽普拉克乡,kù zé pǔ lā kè xiāng
dobrin,多布林乡,duō bù lín xiāng
zamostea,扎莫斯泰亚乡,zhā mò sī tài yà xiāng
zâmbreasca,曾布雷亚斯卡乡,céng bù léi yà sī kǎ xiāng
zvoriștea,兹沃里什泰亚乡,zī wò lǐ shén tài yà xiāng
dragu,德拉古乡,dé lā gǔ xiāng
gâlgău,格尔格乌乡,gé ěr gé wū xiāng
gârbou,格尔博乌乡,gé ěr bó wū xiāng
hida,希达乡,xī dá xiāng
bulz,布尔兹乡,bù ěr zī xiāng
cetariu,切塔里乌乡,qiè tǎ lǐ wū xiāng
gepiu,杰皮乌乡,jié pí wū xiāng
plopiș,普洛皮什乡,pǔ luò pí shén xiāng
rus,鲁斯乡,lǔ sī xiāng
sâg,瑟格乡,sè gé xiāng
jina,伊纳乡,yī nà xiāng
sadu,萨杜乡,sà dù xiāng
pătrăuți,珀特勒乌齐乡,pò tè lè wū qí xiāng
preutești,普雷乌泰什蒂乡,pǔ léi wū tài shén dì xiāng
putna,普特纳乡,pǔ tè nà xiāng
marca,马尔卡乡,mǎ ěr kǎ xiāng
năpradea,讷普拉代亚乡,nè pǔ lā dài yà xiāng
pericei,佩里切伊乡,pèi lǐ qiè yī xiāng
dersca,代尔斯卡乡,dài ěr sī kǎ xiāng
rafaila,拉法伊拉乡,lā fǎ yī lā xiāng
surduc,苏尔杜克乡,sū ěr dù kè xiāng
treznea,特雷兹内亚乡,tè léi zī nèi yà xiāng
vârșolț,沃尔索尔茨乡,wò ěr suǒ ěr cí xiāng
zalha,扎尔哈乡,zhā ěr hā xiāng
zimbor,津博尔乡,jīn bó ěr xiāng
alma,阿尔马乡,ā ěr mǎ xiāng
boița,博伊察乡,bó yī chá xiāng
rădășeni,勒德谢尼乡,lè dé xiè ní xiāng
râșca,勒什卡乡,lè shén kǎ xiāng
sucevița,苏切维察乡,sū qiè wéi chá xiāng
șcheia,什凯亚乡,shén kǎi yà xiāng
grămești,格勒梅什蒂乡,gé lè méi shén dì xiāng
șerbăuți,谢尔伯乌齐乡,xiè ěr bǎi wū qí xiāng
frumosu,弗鲁莫苏乡,fú lǔ mò sū xiāng
ipotești,伊波泰什蒂乡,yī bō tài shén dì xiāng
grănicești,格勒尼切什蒂乡,gé lè ní qiè shén dì xiāng
iacobeni,雅各贝尼乡,yǎ gè bèi ní xiāng
iaslovăț,亚斯洛沃茨乡,yà sī luò wò cí xiāng
ilișești,伊利谢什蒂乡,yī lì xiè shén dì xiāng
porumbeni,波伦贝尼乡,bō lún bèi ní xiāng
voitinel,沃伊蒂内尔乡,wò yī dì nèi ěr xiāng
volovăț,沃洛沃茨乡,wò luò wò cí xiāng
bogdana,博格达纳乡,bó gé dá nà xiāng
bujoru,布若鲁乡,bù ruò lǔ xiāng
buzescu,布泽斯库乡,bù zé sī kù xiāng
cricău,克里克乌乡,kè lǐ kè wū xiāng
doljești,多列什蒂乡,duō liè shén dì xiāng
piatra,皮亚特拉乡,pí yà tè lā xiāng
ileanda,伊良达乡,yī liáng dá xiāng
ip,伊普乡,yī pǔ xiāng
letca,莱特卡乡,lái tè kǎ xiāng
drăcșenei,德勒克谢内乡,dé lè kè xiè nèi xiāng
moșteni,莫什泰尼乡,mò shén tài ní xiāng
necșești,内克谢什蒂乡,nèi kè xiè shén dì xiāng
gohor,戈霍尔乡,gē huò ěr xiāng
sânger,圣杰尔乡,shèng jié ěr xiāng
viziru,维济鲁乡,wéi jì lǔ xiāng
vinderei,温代雷乡,wēn dài léi xiāng
plosca,普洛斯卡乡,pǔ luò sī kǎ xiāng
poroschia,波罗斯基亚乡,bō luó sī jī yà xiāng
purani,普拉尼乡,pǔ lā ní xiāng
cerubăcăinți,切鲁伯克齐乡,qiè lǔ bǎi kè qí xiāng
ciugud,丘古德乡,qiū gǔ dé xiāng
stroiești,斯特罗耶什蒂乡,sī tè luó yē shén dì xiāng
cefa,切法乡,qiè fǎ xiāng
ceica,切伊卡乡,qiè yī kǎ xiāng
boteni,博泰尼乡,bó tài ní xiāng
ciuperceni,丘佩尔切尼乡,qiū pèi ěr qiè ní xiāng
crevenicu,克雷韦尼库乡,kè léi wéi ní kù xiāng
dracea,德拉恰乡,dé lā qià xiāng
cudalbi,库达尔比乡,kù dá ěr bǐ xiāng
cazasu,卡扎苏乡,kǎ zhā sū xiāng
smulți,斯穆尔齐乡,sī mù ěr qí xiāng
câmpani,肯帕尼乡,kěn pà ní xiāng
căpâlna,克珀尔纳乡,kè pò ěr nà xiāng
ghindăoani,京德瓦尼乡,jīng dé wǎ ní xiāng
cărpinet,克尔皮内特乡,kè ěr pí nèi tè xiāng
avram iancu,阿夫拉姆·伊安库乡,ā fū lā mǔ · yī ān kù xiāng
bucium,布丘姆乡,bù qiū mǔ xiāng
pogana,波加纳乡,bō jiā nà xiāng
hopârta,霍珀尔塔乡,huò pò ěr tǎ xiāng
horea,霍雷亚乡,huò léi yà xiāng
păltinoasa,珀尔蒂诺阿萨乡,pò ěr dì nuò ā sà xiāng
mușenița,穆谢尼察乡,mù xiè ní chá xiāng
suraia,苏拉亚乡,sū lā yà xiāng
copăceni,科珀塞尼乡,kē pò sāi ní xiāng
solești,索莱什蒂乡,suǒ lái shén dì xiāng
vetrișoaia,韦特里什瓦亚乡,wéi tè lǐ shén wǎ yà xiāng
tătărăni,鞑靼勒尼乡,dá dá lè ní xiāng
tutova,图托瓦,tú tuō wǎ
havârna,哈沃尔纳乡,hā wò ěr nà xiāng
crișan,克里尚乡,kè lǐ shàng xiāng
ștorobăneasa,什托罗伯内亚萨乡,shén tuō luó bǎi nèi yà sà xiāng
sfințești,斯芬采什蒂乡,sī fēn cǎi shén dì xiāng
smârdioasa,斯马尔迪瓦萨乡,sī mǎ ěr dí wǎ sà xiāng
suhaia,苏哈亚乡,sū hā yà xiāng
fibiș,菲比什乡,fēi bǐ shén xiāng
cârlibaba,克尔利巴巴乡,kè ěr lì bā bā xiāng
vârciorog,沃尔乔罗格乡,wò ěr qiáo luó gé xiāng
burla,布尔拉乡,bù ěr lā xiāng
calafindești,卡拉芬代什蒂乡,kǎ lā fēn dài shén dì xiāng
tulca,图尔卡乡,tú ěr kǎ xiāng
toboliu,托博利乌乡,tuō bó lì wū xiāng
răsmirești,勒斯米雷什蒂乡,lè sī mǐ léi shén dì xiāng
săceni,瑟切尼乡,sè qiè ní xiāng
scrioaștea,斯克里瓦什泰亚乡,sī kè lǐ wǎ shén tài yà xiāng
segarceavale,塞加尔恰瓦莱乡,sāi jiā ěr qià wǎ lái xiāng
săliștea,瑟利什泰亚乡,sè lì shén tài yà xiāng
șirineasa,希里内亚萨乡,xī lǐ nèi yà sà xiāng
șușani,舒沙尼乡,shū shā ní xiāng
tetoiu,泰托尤乡,tài tuō yóu xiāng
ohaba,奥哈巴乡,ào hā bā xiāng
ponor,波诺尔乡,bō nuò ěr xiāng
zătreni,泽特雷尼乡,zé tè léi ní xiāng
gologanu,戈洛加努乡,gē luò jiā nǔ xiāng
răstoaca,勒斯托阿卡乡,lè sī tuō ā kǎ xiāng
mașloc,马什洛克乡,mǎ shén luò kè xiāng
orțișoara,奥尔齐什瓦拉乡,ào ěr qí shén wǎ lā xiāng
pădureni,珀杜雷尼乡,pò dù léi ní xiāng
trivaleamoșteni,特里瓦莱亚莫什泰尼乡,tè lǐ wǎ lái yà mò shén tài ní xiāng
ciuruleasa,丘鲁莱亚萨乡,qiū lǔ lái yà sà xiāng
cut,库特乡,kù tè xiāng
cherechiu,凯雷基乌乡,kǎi léi jī wū xiāng
măldăeni,默尔德埃尼乡,mò ěr dé āi ní xiāng
țigănești,齐格内什蒂乡,qí gé nèi shén dì xiāng
daia,达亚乡,dá yà xiāng
dângeni,登杰尼乡,dēng jié ní xiāng
mileanca,米良卡乡,mǐ liáng kǎ xiāng
slătioara,斯勒蒂瓦拉乡,sī lè dì wǎ lā xiāng
crețeni,克雷采尼乡,kè léi cǎi ní xiāng
ghioroiu,吉奥罗尤乡,jí ào luó yóu xiāng
pesceana,佩斯恰纳乡,pèi sī qià nà xiāng
caraula,卡拉乌拉乡,kǎ lā wū lā xiāng
gighera,吉盖拉乡,jí gài lā xiāng
țuglui,楚格卢伊乡,chǔ gé lú yī xiāng
șendriceni,申德里切尼乡,shēn dé lǐ qiè ní xiāng
dognecea,多格内恰乡,duō gé nèi qià xiāng
zăvoi,泽沃伊乡,zé wò yī xiāng
șpring,什普林乡,shén pǔ lín xiāng
șugag,舒加格乡,shū jiā gé xiāng
mirăslău,米勒斯勒乌乡,mǐ lè sī lè wū xiāng
mogoș,莫戈什乡,mò gē shén xiāng
noșlac,诺什拉克乡,nuò shén lā kè xiāng
ocoliș,奥科利什乡,ào kē lì shén xiāng
apateu,阿帕泰乌乡,ā pà tài wū xiāng
nămoloasa,纳莫罗阿萨,nà mò luó ā sà
oancea,万恰乡,wàn qià xiāng
coroiești,科罗耶什蒂乡,kē luó yē shén dì xiāng
delești,代莱什蒂乡,dài lái shén dì xiāng
gherghești,盖尔盖什蒂乡,gài ěr gài shén dì xiāng
sohodol,索霍多尔乡,suǒ huò duō ěr xiāng
stremț,斯特雷姆茨乡,sī tè léi mǔ cí xiāng
ighiu,伊吉乌乡,yī jí wū xiāng
întregalde,恩特雷加尔代乡,ēn tè léi jiā ěr dài xiāng
jidvei,日德韦乡,rì dé wéi xiāng
oltenești,奥尔泰尼什蒂乡,ào ěr tài ní shén dì xiāng
pogonești,波戈内什蒂乡,bō gē nèi shén dì xiāng
pungești,蓬杰什蒂乡,péng jié shén dì xiāng
dâmbovicioara,登博维奇瓦拉乡,dēng bó wéi qí wǎ lā xiāng
vladimirescu,弗拉迪米雷斯库乡,fú lā dí mǐ léi sī kù xiāng
băbana,伯巴纳乡,bǎi bā nà xiāng
bârla,伯尔拉乡,bǎi ěr lā xiāng
căteasca,克泰亚斯卡乡,kè tài yà sī kǎ xiāng
lăzăreni,勒泽雷尼乡,lè zé léi ní xiāng
săsciori,瑟斯乔里乡,sè sī qiáo lǐ xiāng
sâncel,圣切尔乡,shèng qiè ěr xiāng
tarcea,塔尔恰乡,tǎ ěr qià xiāng
tărcaia,特尔卡亚乡,tè ěr kǎ yà xiāng
tăuteu,特乌泰乌乡,tè wū tài wū xiāng
tileagd,蒂莱亚格德乡,dì lái yà gé dé xiāng
gârbova,格尔博瓦乡,gé ěr bó wǎ xiāng
doștat,多什塔特乡,duō shén tǎ tè xiāng
fărău,弗勒乌乡,fú lè wū xiāng
nojorid,诺若里德乡,nuò ruò lǐ dé xiāng
olcea,奥尔恰乡,ào ěr qià xiāng
pocola,波科拉乡,bō kē lā xiāng
sălacea,瑟拉恰乡,sè lā qià xiāng
sălard,瑟拉尔德乡,sè lā ěr dé xiāng
sâmbăta,森伯塔乡,sēn bǎi tǎ xiāng
meteș,梅泰什乡,méi tài shén xiāng
mihalț,米哈尔茨乡,mǐ hā ěr cí xiāng
derna,代尔纳乡,dài ěr nà xiāng
diosig,迪奥西格乡,dí ào xī gé xiāng
holod,霍洛德乡,huò luò dé xiāng
săcădat,瑟克达特乡,sè kè dá tè xiāng
pomezeu,波梅泽乌乡,bō méi zé wū xiāng
răbăgani,勒伯加尼乡,lè bǎi jiā ní xiāng
rieni,列尼乡,liè ní xiāng
știubieni,什蒂乌别尼乡,shén dì wū bié ní xiāng
tazlău,塔兹勒乌乡,tǎ zī lè wū xiāng
creaca,克雷亚卡乡,kè léi yà kǎ xiāng
hereclean,海雷克良乡,hǎi léi kè liáng xiāng
laloșu,拉洛舒乡,lā luò shū xiāng
hilișeuhoria,希利谢乌霍里亚乡,xī lì xiè wū huò lǐ yà xiāng
mitoc,米托克乡,mǐ tuō kè xiāng
nicșeni,尼克谢尼乡,ní kè xiè ní xiāng
gioseni,吉奥塞尼乡,jí ào sāi ní xiāng
balc,巴尔克乡,bā ěr kè xiāng
ciumeghiu,丘梅吉乌乡,qiū méi jí wū xiāng
copăcel,科珀切尔乡,kē pò qiè ěr xiāng
merișani,梅里沙尼乡,méi lǐ shā ní xiāng
oarja,瓦里亚乡,wǎ lǐ yà xiāng
rătești,勒泰什蒂乡,lè tài shén dì xiāng
rimetea,里梅泰亚乡,lǐ méi tài yà xiāng
mădăras,默德拉斯乡,mò dé lā sī xiāng
fârliug,弗尔柳格乡,fú ěr liǔ gé xiāng
glimboca,格林博卡乡,gé lín bó kǎ xiāng
măureni,默乌雷尼乡,mò wū léi ní xiāng
țigănași,齐格纳希乡,qí gé nà xī xiāng
benesat,贝内萨特乡,bèi nèi sà tè xiāng
chieșd,基耶什德乡,jī yē shén dé xiāng
tinca,廷卡乡,tíng kǎ xiāng
coșbuc,科什布克乡,kē shén bù kè xiāng
rebra,雷布拉乡,léi bù lā xiāng
stâlpu,斯特尔普乡,sī tè ěr pǔ xiāng
trușești,特鲁谢什蒂乡,tè lǔ xiè shén dì xiāng
budila,布迪拉乡,bù dí lā xiāng
glodeanusiliștea,格洛代亚努锡利什泰亚乡,gé luò dài yà nǔ xī lì shén tài yà xiāng
coșula,科舒拉乡,kē shū lā xiāng
cristinești,克里斯蒂内什蒂乡,kè lǐ sī dì nèi shén dì xiāng
durnești,杜尔内什蒂乡,dù ěr nèi shén dì xiāng
căscioarele,克斯乔阿雷莱乡,kè sī qiáo ā léi lái xiāng
chirnogi,基尔诺吉乡,jī ěr nuò jí xiāng
chiselet,基塞莱特乡,jī sāi lái tè xiāng
crivăț,克里沃茨,kè lǐ wò cí
mehadia,梅哈迪亚乡,méi hā dí yà xiāng
prigor,普里戈尔乡,pǔ lǐ gē ěr xiāng
sichevița,锡凯维察乡,xī kǎi wéi chá xiāng
rucăr,鲁克尔乡,lǔ kè ěr xiāng
ciudanovița,丘达诺维察乡,qiū dá nuò wéi chá xiāng
cornea,科尔内亚乡,kē ěr nèi yà xiāng
cornereva,科尔内雷瓦乡,kē ěr nèi léi wǎ xiāng
coronini,科罗尼尼乡,kē luó ní ní xiāng
salva,萨尔瓦乡,sà ěr wǎ xiāng
broscăuți,布罗斯克乌齐乡,bù luó sī kè wū qí xiāng
corlăteni,科尔勒泰尼乡,kē ěr lè tài ní xiāng
apahida,阿帕希达,ā pà xī dá
lemnia,莱姆尼亚乡,lái mǔ ní yà xiāng
micfalău,米克法勒乌乡,mǐ kè fǎ lè wū xiāng
ozun,奥尊乡,ào zūn xiāng
văliug,沃利乌格乡,wò lì wū gé xiāng
vermeș,韦尔梅什乡,wéi ěr méi shén xiāng
vrani,弗拉尼乡,fú lā ní xiāng
feleacu,费莱阿库山,fèi lái ā kù shān
barcani,巴尔卡尼乡,bā ěr kǎ ní xiāng
ileana,伊莱亚纳乡,yī lái yà nà xiāng
surani,苏拉尼乡,sū lā ní xiāng
comandău,科曼德乌乡,kē màn dé wū xiāng
dobârlău,多伯尔勒乌乡,duō bǎi ěr lè wū xiāng
estelnic,埃斯泰尼克乡,āi sī tài ní kè xiāng
hăghig,赫吉格乡,hè jí gé xiāng
murgași,穆尔加希乡,mù ěr jiā xī xiāng
negoi,内戈伊乡,nèi gē yī xiāng
botoșeștipaia,博托谢什蒂帕亚乡,bó tuō xiè shén dì pà yà xiāng
braloștița,布拉洛什蒂察乡,bù lā luò shén dì chá xiāng
breasta,布雷亚斯塔乡,bù léi yà sī tǎ xiāng
poian,波扬乡,bō yáng xiāng
sânzieni,圣济耶尼乡,shèng jì yē ní xiāng
turia,图里亚乡,tú lǐ yà xiāng
moțăței,莫策采伊乡,mò cè cǎi yī xiāng
lipovu,利波武乡,lì bō wǔ xiāng
maglavit,马格拉维特乡,mǎ gé lā wéi tè xiāng
melinești,梅利内什蒂乡,méi lì nèi shén dì xiāng
mischii,米斯基乡,mǐ sī jī xiāng
daneți,达内茨乡,dá nèi cí xiāng
calopăr,卡洛珀尔乡,kǎ luò pò ěr xiāng
castranova,卡斯特拉诺瓦乡,kǎ sī tè lā nuò wǎ xiāng
catane,卡塔内乡,kǎ tǎ nèi xiāng
cerăt,切勒特乡,qiè lè tè xiāng
bilbor,比尔博尔乡,bǐ ěr bó ěr xiāng
ciceu,奇切乌乡,qí qiè wū xiāng
ciucsângeorgiu,丘克圣乔治乌乡,qiū kè shèng qiáo zhì wū xiāng
corund,科伦德乡,kē lún dé xiāng
rast,拉斯特乡,lā sī tè xiāng
secu,塞库乡,sāi kù xiāng
sopot,索波特乡,suǒ bō tè xiāng
leu,莱乌乡,lái wū xiāng
ghercești,盖尔切什蒂乡,gài ěr qiè shén dì xiāng
ghidici,吉迪齐乡,jí dí qí xiāng
gângiova,根吉奥瓦乡,gēn jí ào wǎ xiāng
goicea,戈伊恰乡,gē yī qià xiāng
ocnița,奥克尼察乡,ào kè ní chá xiāng
zagon,扎贡乡,zhā gòng xiāng
zăbala,泽巴拉乡,zé bā lā xiāng
cojasca,科亚斯卡乡,kē yà sī kǎ xiāng
peștișani,佩什蒂沙尼乡,pèi shén dì shā ní xiāng
