françois hollande,프랑수아 올랑드,peurangsua olrangdeu
gabriel delanne,가브리엘 들란,gabeuriel deulran
quentin westberg,퀜틴 웨스트버그,kwentin weseuteubeogeu
lucien lelong,뤼시앵 를롱,rwisiaeng reulrong
alexandre soumet,알렉상드르 수메,alregsangdeureu sume
jean cau,장 코,jang ko
georges caussade,조르주 코사드,joreuju kosadeu
curnonsky,퀴르농스키,kwireunongseuki
hector dubois,엑토르 뒤부아,egtoreu dwibua
jeanne loriod,잔 로리오,jan rorio
jacques baratier,자크 바라티에,jakeu baratie
alex rodríguez,알렉스 로드리게스,alregseu rodeurigeseu
pierre laffillé,피에르 라필레,piereu rapilre
alain attal,알랭 아탈,alraeng atal
alain accardo,알랭 아카르도,alraeng akareudo
léon chertok,레옹 셰르토크,reong syereutokeu
julien quesne,쥘리앵 켄,jwilriaeng ken
albert charpin,알베르 샤르팽,albereu syareupaeng
josephmichel montgolfier,조제프미셸 몽골피에,jojepeumisyel monggolpie
malek chebel,말레크 슈벨,malrekeu syubel
alain blottière,알랭 블로티에르,alraeng beulrotiereu
albert fornetti,알베르 포르네티,albereu poreuneti
éric alauzet,에리크 알로제,erikeu alroje
alain bénédet,알랭 베네데,alraeng benede
alain bournazel,알랭 부르나젤,alraeng bureunajel
serge brussolo,세르주 브뤼솔로,sereuju beurwisolro
albert domenech,알베르 도메네크,albereu domenekeu
gérald laroche,제랄드 라로쉬,jeraldeu raroswi
chantal thomas,샹탈 토마,syangtal toma
alain brossat,알랭 브로사,alraeng beurosa
alain bosquet,알랭 보스케,alraeng boseuke
alain bonfand,알랭 봉팡,alraeng bongpang
albert kammerer,알베르 카메레르,albereu kamerereu
jacques yvart,자크 이바르,jakeu ibareu
benjamin andré,뱅자맹 앙드레,baengjamaeng angdeure
louis norblin,루이피에르 노르블랭,ruipiereu noreubeulraeng
alain croix,알랭 크루아,alraeng keurua
xavier de maistre,그자비에 드 메스트르,geujabie deu meseuteureu
gaston berger,가스통 베르제,gaseutong bereuje
alain chamfort,알랭 샹포르,alraeng syangporeu
alain chapel,알랭 샤펠,alraeng syapel
alain deloeuil,알랭 들뢰유,alraeng deulroeyu
jeancharles cazin,장샤를 카쟁,jangsyareul kajaeng
albert maignan,알베르 메냥,albereu menyang
mariefrance garaud,마리프랑스 가로,maripeurangseu garo
nina bouraoui,니나 부라우이,nina buraui
franck gava,프랑크 가바,peurangkeu gaba
raymond abellio,레몽 아벨리오,remong abelrio
alain devaquet,알랭 드바케,alraeng deubake
alassane n'dour,알라산 은두르,alrasan eundureu
alain duhamel,알랭 뒤아멜,alraeng dwiamel
alain doutey,알랭 두테,alraeng dute
yves fromion,이브 프로미옹,ibeu peuromiong
pierre billotte,피에르 비요트,piereu biyoteu
alain dorémieux,알랭 도레미외,alraeng doremioe
alain dubois,알랭 뒤부아,alraeng dwibua
roger pigaut,로제 피고,roje pigo
alain garnier,알랭 가르니에,alraeng gareunie
gabriel bacquier,가브리엘 바키에,gabeuriel bakie
rudy ricciotti,뤼디 리치오티,rwidi ricioti
yves pomeau,이브  포모,ibeu  pomo
éric chevillard,에리크 슈비야르,erikeu syubiyareu
yves rénier,이브 레니에,ibeu renie
amara traoré,아마라 트라오레,amara teuraore
benedetto,베네데토,benedeto
alain jamet,알랭 자메,alraeng jame
philippe galli,필리프 갈리,pilripeu galri
alain houziaux,알랭 우지오,alraeng ujio
alain houpert,알랭 우페르,alraeng upereu
jacques duphly,자크 뒤플리,jakeu dwipeulri
gérard caussé,제라르 코세,jerareu kose
rolland courbis,롤랑 쿠르비스,rolrang kureubiseu
alain layrac,알랭 레라크,alraeng rerakeu
yakhouba diawara,야쿠바 디아와라,yakuba diawara
alain marleix,알랭 마를레,alraeng mareulre
alberto varanda,알베르투 바란다,albereutu baranda
dimitri yachvili,디미트리 야슈빌리,dimiteuri yasyubilri
alain nadaud,알랭 나도,alraeng nado
victor margueritte,빅토르 마르그리트,bigtoreu mareugeuriteu
mike sinterniklaas,마이클 신터니클라스,maikeul sinteonikeulraseu
philippe massoni,필리프 마소니,pilripeu masoni
sacha tcherny,사샤 초르니,sasya coreuni
paul dubois,폴 뒤부아,pol dwibua
yannick kocon,야니크 코콩,yanikeu kokong
onésime reclus,오네짐 르클뤼,onejim reukeulrwi
alexis philonenko,알렉시 필로넨코,alregsi pilronenko
alain orsoni,알랭 오르소니,alraeng oreusoni
achille alexandre joubertbonnaire,아실 알렉상드르 주베르보네르,asil alregsangdeureu jubereubonereu
achille adamfontaine,아실 아당퐁텐,asil adangpongten
achille auban,아실 오방,asil obang
alfred richet,알프레드 리셰,alpeuredeu risye
saïd ennjimi,사이드 엔지미,saideu enjimi
alessandra sublet,알레산드라 서블렛,alresandeura seobeulres
mustapha el hadaoui,무스타파 엘 하다오위,museutapa el hadaowi
achille araud,아실 아로,asil aro
achille ballière,아실 발리에르,asil balriereu
achille allier,아실 알리에,asil alrie
achille broutin,아실 브루탱,asil beurutaeng
achillejoseph bernot,아실조제프 베르노,asiljojepeu bereuno
achille joseph delamare,아실 조제프 들라마르,asil jojepeu deulramareu
achille germain,아실 제르맹,asil jereumaeng
achille jacquet,아실 자케,asil jake
alain besançon,알랭 브장송,alraeng beujangsong
achille adam,아실 아당,asil adang
jean petit,장 프티,jang peuti
achille cléophas flaubert,아실 클레오파스 플로베르,asil keulreopaseu peulrobereu
achille rémy percheron,아실 레미 페르슈롱,asil remi pereusyurong
achille renéboisneuf,아실 르네부아뇌프,asil reunebuanoepeu
alain rollat,알랭 롤라,alraeng rolra
nicolas tournier,니콜라 투르니에,nikolra tureunie
achille urbain,아실 위르뱅,asil wireubaeng
achille georges vigier,아실 조르주 비지에,asil joreuju bijie
achille luchaire,아실 뤼셰르,asil rwisyereu
alain schnapp,알랭 슈나프,alraeng syunapeu
paul arène,폴 아렌,pol aren
achille clarac,아실 클라라크,asil keulrarakeu
alain zabulon,알랭 자뷜롱,alraeng jabwilrong
adolphevictor geoffroydechaume,아돌프빅토르 조프루아드숌,adolpeubigtoreu jopeuruadeusyom
alexandre besredka,알렉상드르 베즈레드카,alregsangdeureu bejeuredeuka
achille paroche,아실 파로슈,asil parosyu
léon binoche,레옹 비노쉬,reong binoswi
adolphe grognier,아돌프 그로니에,adolpeu geuronie
alexandre bompard,알렉상드르 봉파르,alregsangdeureu bongpareu
alexandre boyon,알렉상드르 부아용,alregsangdeureu buayong
frédérique jossinet,프레데리크 조시네,peurederikeu josine
adolphe javal,아돌프 자발,adolpeu jabal
alexandre devoise,알렉상드르 드부아즈,alregsangdeureu deubuajeu
camille doncieux,카미유 동시외,kamiyu dongsioe
alexandre debanne,알렉상드르 드반,alregsangdeureu deuban
alexandre delpérier,알렉상드르 델페리에,alregsangdeureu delperie
héloïse de villefort,엘로이즈 드 빌포르,elroijeu deu bilporeu
alexandre defaux,알렉상드르 드포,alregsangdeureu deupo
ali baddou,알리 바두,alri badu
alibi montana,알리비 몽타나,alribi mongtana
alexandre djouhri,알렉상드르 주리,alregsangdeureu juri
alice hoschedé,알리스 오슈데,alriseu osyude
adolphe sicé,아돌프 시세,adolpeu sise
alfred delvau,알프레드 델보,alpeuredeu delbo
alice saunierseïté,알리스 소니에세이테,alriseu sonieseite
alice zeniter,알리스 제니테르,alriseu jenitereu
andré allix,앙드레 알릭스,angdeure alrigseu
lucile lefevre,뤼실 르페브르,rwisil reupebeureu
alka balbir,알카 발비르,alka balbireu
fernand dubief,페르낭 뒤비에프,pereunang dwibiepeu
alphonse antoine,알퐁스 앙투안,alpongseu angtuan
alix poisson,알릭스 푸아송,alrigseu puasong
alphonseamédée cordonnier,알퐁스아메데 코르도니에,alpongseuamede koreudonie
xavier gélin,그자비에 젤랭,geujabie jelraeng
alphonse cassar,알퐁스 카사르,alpongseu kasareu
aloïs vasatko,알로이스 바샤트코,alroiseu basyateuko
philippe hériat,필리프 에리아,pilripeu eria
alphonse defrasse,알퐁스 드프라스,alpongseu deupeuraseu
alphonse delacroix,알퐁스 들라크루아,alpongseu deulrakeurua
andré badin,앙드레 바댕,angdeure badaeng
alexandre nozal,알렉상드르 노잘,alregsangdeureu nojal
alexandre pougatchev,알렉상드르 푸가치요프,alregsangdeureu pugaciyopeu
adrien ponsard,아드리앵 퐁사르,adeuriaeng pongsareu
andré bercoff,앙드레 베르코프,angdeure bereukopeu
alexandre piton,알렉상드르 피통,alregsangdeureu pitong
alexandre rignault,알렉상드르 리뇨,alregsangdeureu rinyo
armand amar,아르망 아마르,areumang amareu
krzysztof pomian,크시슈토프 포미안,keusisyutopeu pomian
yvette chauviré,이베트 쇼비레,ibeteu syobire
andréa parisy,앙드레아 파리지,angdeurea pariji
andré biard,앙드레 비아르,angdeure biareu
alexandre tarta,알렉상드르 타르타,alregsangdeureu tareuta
andré berthomieu,앙드레 베르토미외,angdeure bereutomioe
andré beucler,앙드레 뵈클레르,angdeure boekeulrereu
alphonse humbert,알폰스 험버트,alponseu heombeoteu
andrée feix,앙드레 페,angdeure pe
alphonse muraton,알퐁스 뮈라통,alpongseu mwiratong
andré de la franquerie,앙드레 드 라 프랑크리,angdeure deu ra peurangkeuri
alphonse dumilatre,알퐁스 뒤밀라트르,alpongseu dwimilrateureu
alphonse leroy,알퐁스 르루아,alpongseu reurua
karim belhocine,카림 벨로신,karim belrosin
alphonse tavan,알퐁스 타방,alpongseu tabang
nicolas tournadre,니콜라 투르나드르,nikolra tureunadeureu
andré chardar,앙드레 샤르다르,angdeure syareudareu
alexis bachelay,알렉시 바슐레,alregsi basyulre
alexis corbière,알렉시 코르비에르,alregsi koreubiereu
alexis hénon,알렉시 에농,alregsi enong
amadou lamineguèye,라미네 기예,ramine giye
amanda sthers,아망다 스테르스,amangda seutereuseu
amara baby,아마라 바비,amara babi
valentine de villefort,발랑틴 드 빌포르,balrangtin deu bilporeu
anna fárová,안나 파로바,anna paroba
jocelyn gourvennec,조슬린 구르베네크,joseulrin gureubenekeu
andré corap,앙드레 코라프,angdeure korapeu
annecharles hérisson,안샤를 에리송,ansyareul erisong
anna moï,아나 모이,ana moi
antoine goléa,앙트와느 골레아,angteuwaneu golrea
annemarie charvet,안마리 샤르베,anmari syareube
anneclaire coudray,안클레르 쿠드레,ankeulrereu kudeure
antoine herth,앙투안 에르트,angtuan ereuteu
antoine garapon,앙투안 가라퐁,angtuan garapong
annemarie jaccottet,안마리 자코테,anmari jakote
andré fraigneau,앙드레 프레뇨,angdeure peurenyo
antoine lacassagne,앙투안 라카사뉴,angtuan rakasanyu
amélie sarn,아멜리 사른,amelri sareun
arnaud léonard,아르노 레오나르드,areuno reonareudeu
annemarie peysson,안마리 페송,anmari pesong
arnaud tsamere,아르노 차메르,areuno camereu
antoine loysel,앙투안 루아젤,angtuan ruajel
annemarie vernet,안마리 베르네,anmari bereune
andré girard,앙드레 지라르,angdeure jirareu
arnaud teyssier,아르노 테시에,areuno tesie
andré gounelle,앙드레 구넬,angdeure gunel
andré giroux,앙드레 지루,angdeure jiru
arnold migus,아르놀 미귀스,areunol migwiseu
andré hugon,앙드레 위공,angdeure wigong
anneélisabeth blateau,안엘리자베트 블라토,anelrijabeteu beulrato
anaïs bouton,아나이스 부통,anaiseu butong
arno cost,아노 코스트,ano koseuteu
anne delbée,안 델베,an delbe
anne fagotlargeault,안 파고라르조,an pagorareujo
florent boudié,플로랑 부디에,peulrorang budie
antoine reboulot,앙투안 르불로,angtuan reubulro
arthur dubois,아르튀르 뒤부아,areutwireu dwibua
arthur hennique,아르튀르 앙니크,areutwireu angnikeu
anne girouard,안 지루아르,an jiruareu
aymeric lompret,에므리크 롱프레,emeurikeu rongpeure
aymeric mantoux,에므리크 망투,emeurikeu mangtu
andré lallemand,앙드레 랄망,angdeure ralmang
andré luguet,앙드레 뤼게,angdeure rwige
andré lefaur,앙드레 르포르,angdeure reuporeu
andré lebon,앙드레 르봉,angdeure reubong
arthur midy,아르튀르 미디,areutwireu midi
anne loiret,안 루아레,an ruare
antoine schnapper,앙투안 슈나페르,angtuan syunapereu
andré lévy,앙드레 레비,angdeure rebi
anne tronche,안 트롱슈,an teurongsyu
andré marchal,앙드레 마르샬,angdeure mareusyal
aïda touihri,아이다 투이리,aida tuiri
antoine saout,앙투안 사우,angtuan sau
antoine schmitt,앙투안 슈미트,angtuan syumiteu
raymond boutique,레몽 부티크,remong butikeu
antoine d'aguesseau,앙투안 다게소,angtuan dageso
antoine d'agata,앙투안 다가타,angtuan dagata
artus de penguern,아르투 드 팡게른,areutu deu panggereun
anne roumanoff,안 루마노프,an rumanopeu
antoine veil,앙투안 베유,angtuan beyu
attilio moretti,아틸리오 모레티,atilrio moreti
andré mouëzyéon,앙드레 무에지에옹,angdeure muejieong
aude rossigneux,오드 로시뇨,odeu rosinyo
annick girardin,아니크 지라르댕,anikeu jirareudaeng
andré morizet,앙드레 모리제,angdeure morije
barthélémy courmont,바르텔레미 쿠르몽,bareutelremi kureumong
annick alane,아니크 알란,anikeu alran
audric chapus,오브리크 샤퓌,obeurikeu syapwi
augustejoseph herlin,오귀스트조제프 에를랭,ogwiseuteujojepeu ereulraeng
antonin berval,앙토냉 베르발,angtonaeng bereubal
annie ducaux,아니 뒤코,ani dwiko
andré pergament,앙드레 페르가망,angdeure pereugamang
augusteolympe hériot,오귀스트올랭프 에리오,ogwiseuteuolraengpeu erio
audrey pulvar,오드레 퓔바르,odeure pwilbareu
andré robinet,앙드레 로비네,angdeure robine
rené massigli,르네 마시글리,reune masigeulri
ben mazué,벤 마쥐에,ben majwie
ariane fornia,아리안 포르니아,arian poreunia
anthony garcia,앙토니 가르시아,angtoni gareusia
ariane brodier,아리안 브로디에,arian beurodie
andré trigano,앙드레 트리가노,angdeure teurigano
katya lycheva,카탸 리초바,katya ricoba
ariane matiakh,아리안 마티아크,arian matiakeu
ariane séguillon,아리안 세기용,arian segiyong
ariane carletti,아리안 카를레티,arian kareulreti
benjamin castaldi,뱅자맹 카스탈디,baengjamaeng kaseutaldi
andré thobois,앙드레 토부아,angdeure tobua
benjaminoctave rolandgosselin,뱅자맹옥타브 롤랑고슬랭,baengjamaengogtabeu rolranggoseulraeng
andré vallini,앙드레 발리니,angdeure balrini
raphaël nadjari,라파엘 나자리,rapael najari
andré velter,앙드레 벨테르,angdeure beltereu
benjamin guérard,뱅자맹 게라르,baengjamaeng gerareu
auguste durand,오귀스트 뒤랑,ogwiseuteu dwirang
bernard lemaire,베르나르 르메르,bereunareu reumereu
auguste lepère,오귀스트 르페르,ogwiseuteu reupereu
hélène darroze,엘렌 다로즈,elren darojeu
bernard marie,베르나르 마리,bereunareu mari
bernard morlino,베르나르 모를리노,bereunareu moreulrino
bernard minier,베르나르 미니에,bereunareu minie
bernard minet,베르나르 미네,bereunareu mine
antoine arnault,앙투안 아르노,angtuan areuno
armand chagot,아르망 샤고,areumang syago
antoine beauvilliers,앙투안 보빌리에르,angtuan bobilriereu
armand jammot,아르망 자모,areumang jamo
bernard pariset,베르나르 파리제,bereunareu parije
antoine andrieux,앙투안 앙드리외,angtuan angdeurioe
bernard pache,베르나르 파슈,bereunareu pasyu
auguste pinton,오귀스트 팽통,ogwiseuteu paengtong
benoît dellac,브누아 델라크,beunua delrakeu
benoît dauga,브누아 도가,beunua doga
benoît forgeard,브누아 포르자르,beunua poreujareu
benoît duteurtre,브누아 뒤퇴르트르,beunua dwitoereuteureu
bernard poirette,베르나르 푸아레트,bereunareu puareteu
benoît frachon,브누아 프라숑,beunua peurasyong
armand vaquerin,아르망 바크랭,areumang bakeuraeng
benoît dupac,브누아 뒤파크,beunua dwipakeu
benoît poulain,브누아 풀랭,beunua pulraeng
armand toupet,아르망 투페,areumang tupe
benoît yvert,브누아 이베르,beunua ibereu
augustin landier,오귀스탱 랑디에,ogwiseutaeng rangdie
bernard saugey,베르나르 소제,bereunareu soje
bernard sichère,베르나르 시셰르,bereunareu sisyereu
bruno ducol,브뤼노 뒤콜,beurwino dwikol
aurlus mabélé,오를뤼스 마벨레,oreulrwiseu mabelre
augustin trapenard,오귀스탱 트라프나르,ogwiseutaeng teurapeunareu
arnaud cosson,아르노 코송,areuno kosong
arnaud binard,아르노 비나르,areuno binareu
aurélia bruno,오렐리아 브뤼노,orelria beurwino
bernard tomasini,베르나르 토마시니,bereunareu tomasini
aurélia petit,오렐리아 프티,orelria peuti
aurélia aurita,오렐리아 오리타,orelria orita
aurélia truel,오렐리아 트뤼엘,orelria teurwiel
